,importance
"Labor force, female (% of total labor force)",0.143015340449224
"Population, female (% of total population)",0.12573745118559093
Population density (people per sq. km of land area),0.1097493713999308
"Compulsory education, duration (years)",0.07706658055699457
Employment in industry (% of total employment) (modeled ILO estimate),0.05800012536885299
Out-of-pocket expenditure (% of current health expenditure),0.05047690511890818
GDP (current US$),0.04702861426805555
Urban population (% of total population),0.04631728857487518
"Labor force, total",0.03771918359560314
"External health expenditure per capita, PPP (current international $)",0.03383413660640161
Compensation of employees (% of expense),0.03305995808449217
"Manufacturing, value added (% of GDP)",0.028082406550592885
Access to electricity (% of population),0.020388536609875926
Employment in agriculture (% of total employment) (modeled ILO estimate),0.015658056360614073
"Armed forces personnel, total",0.013340291599715755
Population ages 15-64 (% of total population),0.011552980984906432
Armed forces personnel (% of total labor force),0.01032443841777811
"Government expenditure on education, total (% of GDP)",0.009241998992169561
Fixed telephone subscriptions (per 100 people),0.009144413212567634
Public and publicly guaranteed debt service (% of GNI),0.008339993824250831
"Services, value added (% of GDP)",0.008144847248374746
Individuals using the Internet (% of population),0.007392458733435151
Goods and services expense (% of expense),0.006992992155343257
"Agriculture, forestry, and fishing, value added (% of GDP)",0.005837055771473138
"Agriculture, forestry, and fishing, value added (current US$)",0.005812550061594249
"School enrollment, tertiary (% gross)",0.0054110922150867845
"Employment to population ratio, 15+, total (%) (national estimate)",0.004531939155275894
"Unemployment, total (% of total labor force) (national estimate)",0.004287668074857467
Population growth (annual %),0.004109265613459524
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.004078353158021725
Voice and Accountability: Estimate,0.0035221532936744807
"Industry (including construction), value added (% of GDP)",0.003314338681218096
Domestic general government health expenditure (% of general government expenditure),0.003268897308064224
"Personal remittances, received (current US$)",0.0031303946420339116
"Personal remittances, received (% of GDP)",0.0030842088107809243
General government final consumption expenditure (% of GDP),0.002649116384306291
Population ages 0-14 (% of total population),0.0026000337188354502
Expense (% of GDP),0.002577040032838072
"Domestic private health expenditure per capita, PPP (current international $)",0.0023922862080024087
Population ages 65 and above (% of total population),0.0023054421466101966
"Net bilateral aid flows from DAC donors, Total (current US$)",0.0021184717698789993
Final consumption expenditure (% of GDP),0.0020119771127104936
Gross savings (% of GNI),0.001857933728839167
Rule of Law: Estimate,0.0018357191262683144
Domestic general government health expenditure (% of GDP),0.0017845215309937575
"School enrollment, secondary (% gross)",0.0015865342310813248
"Out-of-pocket expenditure per capita, PPP (current international $)",0.0013959255914501806
Gross savings (% of GDP),0.0011389983685167306
Domestic general government health expenditure (% of current health expenditure),0.0011182165574858387
GDP per capita (current US$),0.0010901983305218713
External health expenditure (% of current health expenditure),0.0009621844606914193
"Government expenditure on education, total (% of government expenditure)",0.0008633754382610543
"School enrollment, primary (% gross)",0.0008389406837514496
Domestic credit to private sector (% of GDP),0.0008384588882001064
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.0008228974371821372
Gross capital formation (% of GDP),0.0007095773646502725
GDP per capita growth (annual %),0.0007054411604193325
Current health expenditure (% of GDP),0.000694150193636311
Proportion of seats held by women in national parliaments (%),0.0006546128345368013
Fixed broadband subscriptions (per 100 people),0.0006027003206234356
"Inflation, consumer prices (annual %)",0.0005990215007066562
"GDP per capita, PPP (current international $)",0.0005798863344734114
"Net intake rate in grade 1, female (% of official school-age population)",0.0005509900240140454
Political Stability and Absence of Violence/Terrorism: Estimate,0.00030159919559788137
"Current health expenditure per capita, PPP (current international $)",0.0002962067092041731
GNI growth (annual %),0.00019096267162991724
Income share held by highest 10%,0.00012184034479241501
Income share held by lowest 20%,9.192038329011644e-05
Adjusted net national income per capita (annual % growth),6.504160012906924e-05
CPIA macroeconomic management rating (1=low to 6=high),2.3755793315880983e-05
"Human capital index (HCI), upper bound (scale 0-1)",1.6882681062058172e-05
"Literacy rate, adult male (% of males ages 15 and above)",1.0844128288983422e-05
CPIA fiscal policy rating (1=low to 6=high),8.329110109978822e-09
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",0.0
