,coefficient
Employment in industry (% of total employment) (modeled ILO estimate),1.9648352817556451
Access to electricity (% of population),-1.9139873274910568
"Labor force, female (% of total labor force)",1.8458153005598303
"Population, female (% of total population)",1.4316587472890234
"Industry (including construction), value added (% of GDP)",-1.2024917367157937
"Armed forces personnel, total",1.1152391006179523
"Agriculture, forestry, and fishing, value added (current US$)",-1.0625127524921818
Gross savings (% of GDP),-0.9695228448052025
Individuals using the Internet (% of population),-0.945815431503379
"Services, value added (% of GDP)",-0.9267915199061227
"Manufacturing, value added (% of GDP)",0.9213405248689243
Gross savings (% of GNI),0.8206792935499354
"Government expenditure on education, total (% of GDP)",0.8180841035933049
Out-of-pocket expenditure (% of current health expenditure),-0.8146113681009561
"School enrollment, tertiary (% gross)",0.7619573158477004
"External health expenditure per capita, PPP (current international $)",0.7412156005295865
Domestic general government health expenditure (% of current health expenditure),0.6970500718297017
"Current health expenditure per capita, PPP (current international $)",-0.6847195929650459
"GDP per capita, PPP (current international $)",0.6822840946564371
"Compulsory education, duration (years)",-0.6335487388230376
Income share held by lowest 20%,0.6132093907541096
CPIA fiscal policy rating (1=low to 6=high),-0.5954617391907182
General government final consumption expenditure (% of GDP),0.58227474543982
"Domestic private health expenditure per capita, PPP (current international $)",0.5695261476458681
Expense (% of GDP),-0.5601488172272042
"Agriculture, forestry, and fishing, value added (% of GDP)",-0.5531003783135835
Compensation of employees (% of expense),-0.47682703755280736
Goods and services expense (% of expense),0.42868107794984545
Population density (people per sq. km of land area),-0.36920597712602193
Population ages 65 and above (% of total population),-0.35019387383351946
Current health expenditure (% of GDP),-0.3382962168942835
"Net bilateral aid flows from DAC donors, Total (current US$)",-0.32579166601167536
GDP (current US$),0.3085183318281305
"School enrollment, primary (% gross)",-0.29374827585374336
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.2882571770074188
Voice and Accountability: Estimate,-0.2729350919713531
"Personal remittances, received (current US$)",0.27179653253147334
Population growth (annual %),-0.25083206325512464
Public and publicly guaranteed debt service (% of GNI),-0.2221779733219311
Domestic credit to private sector (% of GDP),-0.20067733100527313
Rural population (% of total population),-0.1801484764236848
"Human capital index (HCI), upper bound (scale 0-1)",-0.17743234295321106
Political Stability and Absence of Violence/Terrorism: Estimate,0.17094922559285858
"Inflation, consumer prices (annual %)",0.1370630322332469
"Out-of-pocket expenditure per capita, PPP (current international $)",-0.13266030804947948
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.10145087963830213
GDP per capita growth (annual %),0.09516909272972657
"Net intake rate in grade 1, female (% of official school-age population)",-0.08810270074110087
"Labor force, total",0.08664881030468023
"Unemployment, total (% of total labor force) (national estimate)",-0.08584666802045723
Income share held by highest 10%,-0.08297517406038854
Armed forces personnel (% of total labor force),0.07743746681682487
Adjusted net national income per capita (annual % growth),0.07204395685072924
External health expenditure (% of current health expenditure),-0.06754350527796374
GNI growth (annual %),-0.060934705677307
Population ages 0-14 (% of total population),0.04798280920434382
Fixed telephone subscriptions (per 100 people),-0.04245932361453273
Gross capital formation (% of GDP),-0.038388648864867043
Employment in agriculture (% of total employment) (modeled ILO estimate),0.036617968332504726
"Personal remittances, received (% of GDP)",0.03282253409040533
CPIA macroeconomic management rating (1=low to 6=high),-0.031310599800746665
"Government expenditure on education, total (% of government expenditure)",0.027524248743948734
"Employment to population ratio, 15+, total (%) (national estimate)",-0.023693824854744604
Domestic general government health expenditure (% of general government expenditure),0.019453222816824503
"Literacy rate, adult male (% of males ages 15 and above)",0.018849343499865893
"School enrollment, secondary (% gross)",0.017897141899916338
"Population, male (% of total population)",-4.758804293216343e-14
