,coefficient
Employment in industry (% of total employment) (modeled ILO estimate),2.0582249254006486
Access to electricity (% of population),-1.979988518702221
"Labor force, female (% of total labor force)",1.7766108192378598
"Current health expenditure per capita, PPP (current international $)",-1.5866037074739796
"Industry (including construction), value added (% of GDP)",-1.4816366377925192
"Agriculture, forestry, and fishing, value added (current US$)",-1.3776440649976327
"GDP per capita, PPP (current international $)",1.1594834291601606
"Services, value added (% of GDP)",-1.0759692001096082
Gross savings (% of GDP),-1.0593625332938597
Individuals using the Internet (% of population),-1.0263036961161358
"Domestic private health expenditure per capita, PPP (current international $)",0.9742231439734559
"Armed forces personnel, total",0.9698575465633557
"Manufacturing, value added (% of GDP)",0.9356053301830244
Gross savings (% of GNI),0.9118259901609633
"External health expenditure per capita, PPP (current international $)",0.882495758707803
"Government expenditure on education, total (% of GDP)",0.8409623221970002
"School enrollment, tertiary (% gross)",0.828592643497558
"Population, male (% of total population)",-0.8005586170867531
"Population, female (% of total population)",0.8005586170867509
Out-of-pocket expenditure (% of current health expenditure),-0.753949012729453
"Agriculture, forestry, and fishing, value added (% of GDP)",-0.7239969924910868
"Compulsory education, duration (years)",-0.6689206997146495
General government final consumption expenditure (% of GDP),0.6642053540375434
Income share held by lowest 20%,0.6465922287009712
Current health expenditure (% of GDP),-0.6388071533958478
CPIA fiscal policy rating (1=low to 6=high),-0.6201061256141904
Expense (% of GDP),-0.6023374908312662
Domestic general government health expenditure (% of GDP),0.598462637105525
Domestic general government health expenditure (% of current health expenditure),0.5462030827958014
Compensation of employees (% of expense),-0.5117695597103025
Population ages 65 and above (% of total population),-0.48215313147389993
Population density (people per sq. km of land area),-0.47546180469275534
GDP (current US$),0.46010273712277683
Goods and services expense (% of expense),0.4570098186363126
"Labor force, total",0.42711655950883753
"Net bilateral aid flows from DAC donors, Total (current US$)",-0.3445993268098665
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.3317863140891319
"School enrollment, primary (% gross)",-0.326989620734644
"Personal remittances, received (current US$)",0.31822428794170865
Population growth (annual %),-0.3108935855513243
Voice and Accountability: Estimate,-0.28445381971855555
Public and publicly guaranteed debt service (% of GNI),-0.24651429636775457
Population ages 0-14 (% of total population),0.22792047867184106
Employment in agriculture (% of total employment) (modeled ILO estimate),0.21722183034916187
"Human capital index (HCI), upper bound (scale 0-1)",-0.20055173291747153
Domestic credit to private sector (% of GDP),-0.17816028966592679
Political Stability and Absence of Violence/Terrorism: Estimate,0.17221564821236035
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.14822347228297678
Fixed broadband subscriptions (per 100 people),0.1471174923972552
Rural population (% of total population),-0.140454281111963
Urban population (% of total population),0.1404542811119625
"Inflation, consumer prices (annual %)",0.1396594255490453
"Out-of-pocket expenditure per capita, PPP (current international $)",-0.13796878348527775
"Unemployment, total (% of total labor force) (national estimate)",-0.1338803516998034
External health expenditure (% of current health expenditure),-0.12477903773789872
GDP per capita growth (annual %),0.11429930728788218
Armed forces personnel (% of total labor force),0.11029109240730889
Fixed telephone subscriptions (per 100 people),-0.10723005035817301
"School enrollment, secondary (% gross)",0.09971875981520942
Income share held by highest 10%,-0.09709010940968205
"Net intake rate in grade 1, female (% of official school-age population)",-0.09488345889766503
GNI growth (annual %),-0.08938581900379927
Domestic general government health expenditure (% of general government expenditure),0.08173626756377428
"Employment to population ratio, 15+, total (%) (national estimate)",-0.08038853828336712
Adjusted net national income per capita (annual % growth),0.07793090919034695
Gross capital formation (% of GDP),-0.06717613968238645
Gross domestic savings (% of GDP),0.0449289046419008
Final consumption expenditure (% of GDP),-0.04492890464189686
"Personal remittances, received (% of GDP)",0.040105377911544504
Population ages 15-64 (% of total population),0.03914304298441962
GDP per capita (current US$),0.03733568801942777
"Literacy rate, adult male (% of males ages 15 and above)",0.0248850749421011
Rule of Law: Estimate,-0.0248693986139204
CPIA macroeconomic management rating (1=low to 6=high),-0.02061231625861254
Proportion of seats held by women in national parliaments (%),0.008797180222612833
"Government expenditure on education, total (% of government expenditure)",-0.006736061801929538
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",-2.8893785096295588e-05
