,coefficient
Employment in industry (% of total employment) (modeled ILO estimate),1.9582179866445426
Access to electricity (% of population),-1.8512735748003537
"Labor force, female (% of total labor force)",1.7546274105493624
"Industry (including construction), value added (% of GDP)",-1.2445876470125588
"Agriculture, forestry, and fishing, value added (current US$)",-1.158832112911538
"Armed forces personnel, total",1.0087813867542412
Gross savings (% of GDP),-0.9630904826466993
Individuals using the Internet (% of population),-0.9520268977247349
"Services, value added (% of GDP)",-0.9283333479422762
"Manufacturing, value added (% of GDP)",0.9221094250299369
"Current health expenditure per capita, PPP (current international $)",-0.8620276203878559
Out-of-pocket expenditure (% of current health expenditure),-0.8153381570014574
"Government expenditure on education, total (% of GDP)",0.8123411851490084
Gross savings (% of GNI),0.7965507987433542
"GDP per capita, PPP (current international $)",0.7929136256051466
"External health expenditure per capita, PPP (current international $)",0.7911092981246542
"School enrollment, tertiary (% gross)",0.7807109855288149
"Population, male (% of total population)",-0.7499865880297928
"Population, female (% of total population)",0.7499865880297194
"Domestic private health expenditure per capita, PPP (current international $)",0.6926402723716144
"Compulsory education, duration (years)",-0.651306806143008
General government final consumption expenditure (% of GDP),0.6283538446668278
CPIA fiscal policy rating (1=low to 6=high),-0.601184711385715
"Agriculture, forestry, and fishing, value added (% of GDP)",-0.589729626875783
Income share held by lowest 20%,0.5889799884381725
Domestic general government health expenditure (% of current health expenditure),0.5850473914730591
Expense (% of GDP),-0.5585863829624398
Compensation of employees (% of expense),-0.5010540454328918
Current health expenditure (% of GDP),-0.45423655156543313
Goods and services expense (% of expense),0.43995008397109864
Population density (people per sq. km of land area),-0.39691325705079933
Population ages 65 and above (% of total population),-0.36377375552216284
GDP (current US$),0.3465760232848788
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.34141977969335086
"Net bilateral aid flows from DAC donors, Total (current US$)",-0.3409171705764316
"School enrollment, primary (% gross)",-0.3240294346722566
"Personal remittances, received (current US$)",0.28316192733474527
Population growth (annual %),-0.27939421796747094
"Labor force, total",0.25512851611126847
Voice and Accountability: Estimate,-0.25309810172026187
Public and publicly guaranteed debt service (% of GNI),-0.2432607725862338
Political Stability and Absence of Violence/Terrorism: Estimate,0.21949257254625382
Domestic credit to private sector (% of GDP),-0.20107133257303053
"Human capital index (HCI), upper bound (scale 0-1)",-0.1950922887406661
Domestic general government health expenditure (% of GDP),0.19504419459207287
"Out-of-pocket expenditure per capita, PPP (current international $)",-0.19145554840647488
Population ages 0-14 (% of total population),0.17261043544542432
"Inflation, consumer prices (annual %)",0.14760053436871376
Employment in agriculture (% of total employment) (modeled ILO estimate),0.14522377412713447
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.14207145171314414
Income share held by highest 10%,-0.13570715048503074
GDP per capita growth (annual %),0.12703383603926888
Rural population (% of total population),-0.11300621509171993
Urban population (% of total population),0.11300621509171745
"Unemployment, total (% of total labor force) (national estimate)",-0.10780643229464688
Armed forces personnel (% of total labor force),0.10643614304880578
"Net intake rate in grade 1, female (% of official school-age population)",-0.1047868058917235
External health expenditure (% of current health expenditure),-0.0994717934284687
GNI growth (annual %),-0.09171083098480082
Adjusted net national income per capita (annual % growth),0.08154251334588172
Gross capital formation (% of GDP),-0.06742918364617065
"School enrollment, secondary (% gross)",0.06640034972694378
Rule of Law: Estimate,-0.062462304936116965
Fixed broadband subscriptions (per 100 people),0.05999904471051701
Fixed telephone subscriptions (per 100 people),-0.05953904172729579
Domestic general government health expenditure (% of general government expenditure),0.05916458992085851
"Employment to population ratio, 15+, total (%) (national estimate)",-0.05892960555854801
"Personal remittances, received (% of GDP)",0.05501374674937165
Final consumption expenditure (% of GDP),-0.045826730660609764
Gross domestic savings (% of GDP),0.04582673066058562
CPIA macroeconomic management rating (1=low to 6=high),-0.03670738309441711
"Government expenditure on education, total (% of government expenditure)",0.03417262381590346
Population ages 15-64 (% of total population),0.028511509209204415
"Literacy rate, adult male (% of males ages 15 and above)",0.027407065494791917
GDP per capita (current US$),-0.02594289985699309
Proportion of seats held by women in national parliaments (%),0.001606445484530551
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",-0.0009902065788566763
