iso3,Year,EG.ELC.ACCS.ZS,EN.POP.DNST,SH.XPD.PVTD.PP.CD,SL.IND.EMPL.ZS,SL.TLF.TOTL.FE.ZS,SuicideRatesPer100k
AFG,2002,14.1,32.77696058139,73.296500283769,10.0138980692638,15.4681024024914,7.11
AFG,2003,19.0,34.8543443263879,73.9564420745369,10.3404238369538,15.4540373237616,7.04
AFG,2004,23.8,36.1232295355933,79.3922385067553,10.8088730169085,15.4872829663627,7.03
AFG,2005,28.7,37.4171181945019,83.6415579946416,11.2277583851206,15.5637763476013,6.9
AFG,2006,33.5,38.9802584977692,90.956297239173,11.6346703097012,15.6961942592096,6.6
AFG,2007,38.4,39.7250233813225,87.7374325371581,11.8600391222661,15.896548904235,6.47
AFG,2008,42.4,40.6031951918802,103.615806620025,12.4186757786708,16.1551622947386,6.3
AFG,2009,48.3,42.1110666482682,111.418895275321,13.5837305819466,16.4397545671275,5.89
AFG,2010,42.7,43.3652070588596,117.123999918436,14.859119986692,16.7430582537576,5.73
AFG,2011,43.2,44.9959492816951,107.571107457707,15.8227705054974,17.0434262738665,5.89
AFG,2012,69.1,46.8546892967205,115.384605373971,17.154523449935,17.3341342003836,5.77
AFG,2013,68.0,48.4839765113534,127.971474851054,19.5295086542325,18.2833912859109,5.68
AFG,2014,89.5,50.2775447311531,147.420164269792,22.0467416152603,19.2702186833505,5.53
AFG,2015,71.5,51.8709105683578,168.699231474153,20.8147344539696,20.2941507106953,5.32
AFG,2016,97.7,53.2030296061205,181.384780487855,19.2959876584963,21.3541814997194,5.32
AFG,2017,97.7,54.7183278904681,199.433833003169,18.026459473784,22.4631265094613,5.47
AFG,2018,93.4,56.3344817012404,228.653940383628,18.3076601254034,21.7516226112499,5.42
AFG,2019,97.7,58.0410606687825,246.454060019392,18.2147655674839,20.9067977474871,5.37
AFG,2020,97.7,59.9006163469942,247.498716298377,18.4813121380722,19.8349761768377,5.32
AFG,2021,97.7,61.3286907992579,279.043913629605,18.5222619343237,17.9461351135492,5.32
AGO,2000,24.2,12.9901892997513,26.1696025756805,8.41812161825672,50.3998512836396,17.15
AGO,2002,26.3,13.8988521697281,75.6509303784096,8.86785034795357,50.4730006272579,15.95
AGO,2003,27.4,14.392967032967,79.3292591215375,8.83383526446533,50.4783114444896,16.4
AGO,2004,28.4,14.9197264779017,93.9443180828292,9.09548794623587,50.4656253200158,16.33
AGO,2005,29.4,15.4737795780861,72.4919195716172,8.95790487938175,50.4458317785284,15.31
AGO,2006,30.5,16.0546073634395,58.5852429776701,8.6744573426237,50.4182606228414,15.72
AGO,2007,37.5,16.6668492821048,71.4434618519473,8.47795997349525,50.3853072600525,14.66
AGO,2008,38.5,17.3086187535093,73.264386736918,8.177166683039,50.345680917421,13.82
AGO,2009,33.8,17.9792837089917,71.1592410347076,7.86869556895397,50.3025153593868,13.47
AGO,2010,35.0,18.6851888986925,61.6683328889964,8.30410747552359,50.2612969215801,12.8
AGO,2011,34.6,19.4259661506377,57.4960122898044,8.15061089455927,49.6928851831463,12.88
AGO,2012,37.3,20.1952306088073,57.6834918210658,8.21011971297732,49.6935864846165,12.65
AGO,2013,38.4,20.9879040667362,73.9051268065281,8.13639540780199,49.7012146797074,12.78
AGO,2014,32.0,21.7861305847437,84.281712372774,8.09022444444071,49.7127962856803,11.87
AGO,2015,42.0,22.5858650838213,94.6053741114233,7.83704898061265,49.7293671462917,12.14
AGO,2016,41.8,23.4082537900056,99.4646586823577,7.47944675739682,49.7466731277636,12.03
AGO,2017,42.9,24.2518962059838,101.85165063196,7.26613054056167,49.763782635441,11.88
AGO,2018,45.3,25.1039985561883,98.3100287067601,7.05617761035237,49.783801287152,12.97
AGO,2019,45.6,25.969063928772,87.666457726627,6.91048015124639,49.8040700912994,13.55
AGO,2020,47.0,26.8317413972888,92.618693467455,6.33092288651698,49.816717969628,13.8
AGO,2021,48.2,27.6990687414775,85.7866294018349,5.71756681941162,50.0541807630485,14.58
ALB,2000,99.4,112.738211678832,116.029517180534,11.8598049086438,42.6356193866904,5.07
ALB,2001,99.4,111.685145985401,121.718120537854,12.7054387098669,42.6901659487498,4.4
ALB,2002,99.4,111.350729927007,133.26098106012,13.6195595163752,42.6280650587519,4.46
ALB,2003,99.4,110.934890510949,143.832191027383,13.4429051889814,42.768925337026,4.57
ALB,2004,99.4,110.472226277372,151.080963796818,14.4789690084043,42.9254401023417,4.48
ALB,2005,99.4,109.908284671533,162.248544387251,14.473013726881,43.1062157656585,6.89
ALB,2006,99.4,109.21704379562,177.923756883179,14.8400069647661,43.3166357596483,6.84
ALB,2007,99.4,108.394781021898,209.559078455013,16.2697334430433,43.5605418963098,6.92
ALB,2008,100.0,107.566204379562,251.041236652505,17.7778867193797,43.8369310544298,6.93
ALB,2009,99.6,106.843759124088,286.990050340279,19.940687964523,42.7477213103187,6.8
ALB,2010,99.6,106.314635036496,358.216801626032,20.5927945952109,43.3310063907532,6.48
ALB,2011,99.7,106.02901459854,376.964450526467,18.8646310155501,44.7612864054754,6.58
ALB,2012,99.9,105.854051094891,376.145809239737,17.2752517093532,43.8492969996312,4.07
ALB,2013,99.9,105.660291970803,381.828189657101,16.8779206232219,42.6721811293968,4.03
ALB,2014,100.0,105.441751824818,426.63062698474,17.740079692317,42.04858554715,3.77
ALB,2015,100.0,105.135145985401,429.49411120105,18.6698150626281,43.3882963772883,3.56
ALB,2016,99.9,104.967189781022,455.959926627532,19.3798286902694,44.4821163582646,3.42
ALB,2017,99.9,104.870693430657,477.066574057238,19.3813290766241,43.7711262646417,3.26
ALB,2018,100.0,104.612262773723,503.426194874832,19.7456941750012,44.2877541941132,3.11
ALB,2019,100.0,104.167554744526,562.253269777909,20.1506525937613,44.8243956703689,2.99
ALB,2020,100.0,103.571131386861,636.702143712474,20.6416340686907,44.741529681699,2.47
ALB,2021,100.0,102.615547445255,709.608086289368,20.911457802804,45.0351457227794,2.13
ARE,2000,100.0,49.1914249507181,672.799198740951,28.3368761337044,12.3625820383108,2.44
ARE,2001,100.0,52.4301605181639,507.302481589106,28.2977014553879,12.6019436112347,2.38
ARE,2002,100.0,55.7142495071811,916.228611854312,28.0478000214338,12.8011690170581,2.27
ARE,2003,100.0,59.0320613911574,933.095791644072,28.1173461707257,12.9723904651134,2.16
ARE,2004,100.0,62.3622500704027,1024.03942589185,27.8492960536408,13.1168520075454,2.19
ARE,2005,100.0,65.6827654181921,997.018339188327,27.505973532923,13.2485692591035,2.2
ARE,2006,100.0,70.5308363841172,1042.34815065523,26.194526731919,13.6407299472878,2.12
ARE,2007,100.0,79.1979019994368,1050.55756446845,25.3044575796428,14.2885191170818,1.83
ARE,2008,100.0,88.7449169248099,982.829382426989,24.3944299990219,15.097318451519,1.89
ARE,2009,100.0,94.439003097719,888.231650321725,26.07655796552,15.9916388053778,2.02
ARE,2010,100.0,96.7310335116868,903.966927347577,26.7034552070053,16.8351040265115,2.15
ARE,2011,100.0,100.035736412278,851.380272476909,27.0858815905539,17.6656671307893,2.22
ARE,2012,100.0,104.075584342439,792.376147651827,27.7263387302275,18.4287569934559,2.25
ARE,2013,100.0,108.322036046184,832.321955322924,28.6745413742511,18.98220841593,2.18
ARE,2014,100.0,113.481272880879,867.695624921871,29.8185167941572,19.4189880832349,2.08
ARE,2015,100.0,119.75833568009,713.991946580138,31.4812771066376,19.8573647175655,2.08
ARE,2016,100.0,125.8109687412,633.783820388692,32.5705231171756,20.2769889956534,2.01
ARE,2017,100.0,129.867994931005,1266.2199427352,33.4772147488979,20.9879795844786,2.08
ARE,2018,100.0,131.606603773585,1421.95609199523,34.5965514744327,21.1382938906538,2.1
ARE,2019,100.0,133.001760067587,1580.09067706226,28.844743884838,22.3954616384063,2.05
ARE,2020,100.0,132.371698113208,1596.1659233841,27.5769022115906,24.2940991478092,2.07
ARE,2021,100.0,134.823317375387,1407.65011358421,29.6575593895852,21.6731244127477,1.7
ARG,2000,95.7,13.5981729753827,478.062161568764,22.6821568510036,41.7307063921041,9.22
ARG,2001,95.5,13.7482962995443,467.690329528609,21.967694517928,41.5075208800309,10.35
ARG,2002,96.1,13.8961113608045,357.69095173952,20.2072823511607,40.9578712482256,10.32
ARG,2003,96.3,14.0404218234436,378.763104398711,21.875644795885,41.2091313237418,9.66
ARG,2004,96.5,14.1835268152403,367.07462726728,22.8144475296486,41.4591721374085,8.67
ARG,2005,96.7,14.3300077831249,485.666461438218,23.3459141837039,41.0098110524289,8.53
ARG,2006,97.0,14.4781158991336,533.783976528207,23.715321653986,41.3329800969844,8.5
ARG,2007,97.2,14.6223222213696,585.979057663179,23.9756595985387,41.067381097597,8.18
ARG,2008,97.5,14.7711827061158,621.53194426906,24.1165454976498,40.7976360050623,8.56
ARG,2009,97.8,14.9285563947689,608.269407606146,23.2952997990484,41.1465624561473,8.33
ARG,2010,98.8,15.0870920710786,686.548561013218,23.4651798026944,40.5900049662423,8.4
ARG,2011,99.0,15.2485886234831,703.517376934019,24.3054233606184,40.4758223030244,8.5
ARG,2012,99.1,15.4061004351973,707.915749679583,23.9791299835126,40.7365007792398,9.1
ARG,2013,99.3,15.5598387102668,701.708779535658,24.3203972272539,40.6222954901307,8.69
ARG,2014,100.0,15.7212073709481,642.82314024585,24.6560454555985,40.7548590472828,9.41
ARG,2015,99.7,15.8867142423877,673.350127422425,23.524056306464,40.949878735332,8.57
ARG,2016,99.9,16.0413905118958,682.151644085711,22.7021930969164,41.1544274598568,8.18
ARG,2017,100.0,16.1833799224611,842.652294035132,22.7681663744079,41.3536477921114,8.84
