iso3,Year,SL.TLF.TOTL.FE.ZS,SP.POP.TOTL.FE.ZS,EN.POP.DNST,SE.COM.DURS,SL.IND.EMPL.ZS,SH.XPD.OOPC.CH.ZS,NY.GDP.MKTP.CD,SP.URB.TOTL.IN.ZS,SL.TLF.TOTL.IN,SH.XPD.EHEX.PP.CD,GC.XPN.COMP.ZS,NV.IND.MANF.ZS,EG.ELC.ACCS.ZS,SL.AGR.EMPL.ZS,MS.MIL.TOTL.P1,SP.POP.1564.TO.ZS,MS.MIL.TOTL.TF.ZS,SE.XPD.TOTL.GD.ZS,IT.MLT.MAIN.P2,DT.TDS.DPPG.GN.ZS,SuicideRatesPer100k
AFG,2002,15.4681024024914,49.7748188018617,32.77696058139,6.0,10.0138980692638,85.37560272,3825701438.99963,22.261,4947614.0,11.7900035559495,24.3289207281494,18.8227521829407,14.1,64.1866885429726,120000.0,47.498128576993,2.42541152159405,4.32492995262146,0.155,1.50003420459832,7.11
AFG,2003,15.4540373237616,49.7353610595745,34.8543443263879,6.0,10.3404238369538,86.06919098,4520946818.54581,22.353,5259920.0,5.71443986929736,24.3289207281494,16.9238662341696,19.0,63.4815570476004,130000.0,47.4929561802291,2.47152047939893,4.32492995262146,0.161,1.50003420459832,7.04
AFG,2004,15.4872829663627,49.6977736567828,36.1232295355933,6.0,10.8088730169085,84.52758789,5224896718.67782,22.5,5459292.0,9.33342084557804,24.3289207281494,17.5540062570161,23.8,62.4699483373933,27000.0,47.5544385897446,0.49456962551188,4.32492995262146,11.9,1.50003420459832,7.03
AFG,2005,15.5637763476013,49.6624648026931,37.4171181945019,6.0,11.2277583851206,78.97008514,6203256538.70967,22.703,5672338.0,16.639923656983,24.3289207281494,16.5982122192596,28.7,61.7035520555844,27000.0,47.6806841112977,0.475994202038031,4.32492995262146,11.9,1.50003420459832,6.9
AFG,2006,15.6961942592096,49.6325060786827,38.9802584977692,6.0,11.6346703097012,76.82497406,6971758282.29351,22.907,5937057.0,21.8892913791901,36.7641537328888,16.3855371972017,33.5,60.8938116273357,51000.0,47.872283121037,0.859011459718174,4.68476057052612,11.9,0.130405136516398,6.6
AFG,2007,15.896548904235,49.6085021870639,39.7250233813225,6.0,11.8600391222661,78.16998291,9747886187.39393,23.113,6089718.0,18.1565520544791,28.2277820784536,17.7473095255876,38.4,60.1907517756168,51000.0,48.1377315470579,0.83747720337789,4.17489528656006,11.9,0.0456990740952178,6.47
AFG,2008,16.1551622947386,49.5862305477154,40.6031951918802,9.0,12.4186757786708,75.40338898,10109297047.5432,23.32,6273586.0,25.3883250421853,18.3605751100374,17.839116299,42.4,59.0112428140534,94000.0,48.4650217036667,1.49834560329611,4.38367223739624,11.9,0.0721466171740633,6.3
AFG,2009,16.4397545671275,49.5627082112131,42.1110666482682,9.0,13.5837305819466,72.77924347,12416152732.0567,23.528,6563261.0,33.3791520824799,23.4535383334864,13.14987660941,48.3,57.0509516045728,255745.0,48.8282510289366,3.89661480779143,4.81063985824585,0.0187,0.0781203236708296,5.89
AFG,2010,16.7430582537576,49.539440691883,43.3652070588596,9.0,14.859119986692,78.9966507,15856668555.8336,23.737,6822959.0,23.0235877065693,23.2801147984071,12.5225768432907,42.7,54.5618800716177,306800.0,49.2260551369721,4.49658278761458,3.4794499874115,0.0588,0.0546086040176538,5.73
AFG,2011,17.0434262738665,49.5184921942965,44.9959492816951,9.0,15.8227705054974,73.25517273,17805098206.3141,23.948,7148944.0,31.0408570138032,21.9683395897047,13.7791892429929,43.2,52.784792865023,340350.0,49.6380620251503,4.7608430000291,3.4620099067688,0.046,0.0548204517804912,5.89
AFG,2012,17.3341342003836,49.4997714989453,46.8546892967205,9.0,17.154523449935,74.48620605,19907329777.5872,24.16,7518518.0,32.7968211401995,28.8093672830339,12.4860851363953,69.1,50.4337758395886,338150.0,50.0567833137882,4.49756188653136,2.60419988632202,0.295,0.0496648894299881,5.77
AFG,2013,18.2833912859109,49.4826501870302,48.4839765113534,9.0,19.5295086542325,72.04785919,20146416757.5987,24.373,7857574.0,40.7058623862727,28.8305202485778,11.4998672561905,68.0,47.7279987371512,330650.0,50.4888449766978,4.20804182054156,3.45445990562439,0.303,0.057796378834158,5.68
AFG,2014,19.2702186833505,49.4681150334178,50.2775447311531,9.0,22.0467416152603,73.05592346,20497128555.6972,24.587,8229616.0,44.3613419193339,28.5808909988014,11.477587555803,89.5,44.7985873110296,308800.0,50.9303980666568,3.75230144395559,3.69521999359131,0.311,0.103349374271186,5.53
AFG,2015,20.2941507106953,49.4572024089551,51.8709105683578,9.0,20.8147344539696,78.3822937,19134221644.7325,24.803,8575264.0,35.394944712401,33.6964479786467,11.4200060049012,71.5,44.2968985704854,319400.0,51.3839679093288,3.72466666915444,3.2558000087738,0.325,0.142426644844676,5.32
AFG,2016,21.3541814997194,49.449550069908,53.2030296061205,9.0,19.2959876584963,75.97433472,18116572395.0772,25.02,8883595.0,45.2369354068827,30.0932594614547,4.1141966128347,97.7,44.3694895501554,323000.0,51.843053949596,3.63591541487427,4.54397010803223,0.329,0.164954212117975,5.32
AFG,2017,22.4631265094613,49.4549248947888,54.7183278904681,9.0,18.026459473784,75.48258209,18753456497.8159,25.25,9223903.0,51.3092777942358,33.9507846723033,3.53042246146676,97.7,43.9890277482446,323000.0,52.2756584397329,3.50177143016357,4.34319019317627,0.333,0.161366154335676,5.47
AFG,2018,21.7516226112499,49.4744514736519,56.3344817012404,9.0,18.3076601254034,76.22302246,18053222687.4126,25.495,9215855.0,59.0795367321767,24.3289207281494,6.16017721650239,93.4,44.2482711700717,272900.0,52.6732723441847,2.96120110396702,4.32492995262146,0.348,0.178605787373275,5.42
AFG,2019,20.9067977474871,49.4939087921871,58.0410606687825,9.0,18.2147655674839,76.818367,18799444490.1128,25.754,9194531.0,63.6207503187403,24.3289207281494,7.04318108092508,97.7,45.0509589051832,278000.0,53.0470145105464,3.02353649142082,4.32492995262146,0.356,0.171797192264794,5.37
AFG,2020,19.8349761768377,49.5112221898607,59.9006163469942,9.0,18.4813121380722,74.81396484,19955929052.1496,26.026,9060510.0,52.3754283794342,24.3289207281494,7.52811462924912,97.7,45.9834110129553,165000.0,53.4051619316696,1.82108954131721,4.32492995262146,0.373,0.142751446454677,5.32
AFG,2021,17.9461351135492,49.5343797958881,61.3286907992579,9.0,18.5222619343237,77.21405029,14259995441.0759,26.314,9183905.0,69.7996261805229,24.3289207281494,8.49315681616916,97.7,45.9551993550382,34600.0,53.7393252349501,0.928209783292858,4.32492995262146,0.364,0.134071382491436,5.32
AGO,2000,50.3998512836396,50.8791333847776,12.9901892997513,4.0,8.41812161825672,27.3046875,9129594970.15301,50.087,6815659.0,0.325658172296901,23.9661079473176,2.89016332100962,24.2,37.6802847998839,117500.0,51.7076319576167,1.72397122567312,2.60753011703491,0.401,22.5483306150677,17.15
AGO,2002,50.4730006272579,50.8887244636463,13.8988521697281,4.0,8.86785034795357,49.66205215,15285592370.374,52.461,7312781.0,1.62640937174227,37.7595866238821,3.66182566484066,26.3,36.6266999159816,110000.0,51.8486657735495,1.50421570124963,4.32492995262146,0.463,10.4377374512691,15.95
AGO,2003,50.4783114444896,50.8745013294908,14.392967032967,4.0,8.83383526446533,48.51068878,17812704586.4397,53.645,7583239.0,1.42995896372579,36.6201970142837,3.99981452887264,27.4,36.6071403190987,130000.0,51.9264269288317,1.71430703951174,4.32492995262146,0.474,9.17727564348531,16.4
AGO,2004,50.4656253200158,50.8510558684039,14.9197264779017,4.0,9.09548794623587,46.89109802,23552057679.4994,54.827,7870706.0,3.26248637509822,52.697900041867,4.68193830870652,28.4,36.1663215397628,118000.0,52.0010593307475,1.49923018341684,4.32492995262146,0.507,8.86699090737718,16.33
AGO,2005,50.4458317785284,50.8265054653787,15.4737795780861,4.0,8.95790487938175,42.33265686,36970900883.8109,56.0,8170907.0,4.22456222337395,36.4961785081504,3.91288354903499,29.4,38.2079742002132,118000.0,52.0638895726361,1.44414812211178,2.12011003494263,0.502,7.72831667028257,15.31
AGO,2006,50.4182606228414,50.8006158695065,16.0546073634395,4.0,8.6744573426237,30.66570091,52381025141.4268,56.764,8483347.0,8.49903334129191,38.6956787634996,3.61281577438344,30.5,40.4966362494466,110000.0,52.1113870058968,1.29665802895956,2.28146004676819,0.49,9.3699491943314,15.72
AGO,2007,50.3853072600525,50.7738793473774,16.6668492821048,6.0,8.47795997349525,28.38397217,65266415494.2584,57.524,8810501.0,4.89052695525975,34.9564016230683,3.399491640092,37.5,42.6128973089827,117000.0,52.1442449228259,1.32796080495309,4.32492995262146,0.454,7.56521730158663,14.66
AGO,2008,50.345680917421,50.7478107416797,17.3086187535093,6.0,8.177166683039,21.6532383,88538665084.8634,58.282,9150346.0,5.49935169816954,36.5096325185758,3.46173680669987,38.5,44.9093970557712,117000.0,52.1529400233703,1.27864017382512,4.32492995262146,0.53,2.10717323630867,13.82
