indicator,countryiso3code,date,value,country_id,country_name
NY.ADJ.NNTY.PC.CD,CIV,2021,2164.04317815456,CI,Cote d'Ivoire
NY.ADJ.NNTY.PC.CD,CIV,2020,1972.11548154409,CI,Cote d'Ivoire
NY.ADJ.NNTY.PC.CD,CIV,2019,1929.04507419598,CI,Cote d'Ivoire
NY.ADJ.NNTY.PC.CD,CIV,2018,1947.71213990439,CI,Cote d'Ivoire
NY.ADJ.NNTY.PC.CD,CIV,2017,1783.15386965419,CI,Cote d'Ivoire
NY.ADJ.NNTY.PC.CD,CIV,2016,1720.58815655954,CI,Cote d'Ivoire
NY.ADJ.NNTY.PC.CD,CIV,2015,1715.60341563536,CI,Cote d'Ivoire
NY.ADJ.NNTY.PC.CD,CIV,2014,1894.47268249757,CI,Cote d'Ivoire
NY.ADJ.NNTY.PC.CD,CIV,2013,1183.40512328937,CI,Cote d'Ivoire
NY.ADJ.NNTY.PC.CD,CIV,2012,1040.7160086954,CI,Cote d'Ivoire
NY.ADJ.NNTY.PC.CD,CIV,2011,982.611828550139,CI,Cote d'Ivoire
NY.ADJ.NNTY.PC.CD,CIV,2010,1005.80080521474,CI,Cote d'Ivoire
NY.ADJ.NNTY.PC.CD,CIV,2009,996.078826372319,CI,Cote d'Ivoire
NY.ADJ.NNTY.PC.CD,CIV,2008,996.245088204773,CI,Cote d'Ivoire
NY.ADJ.NNTY.PC.CD,CIV,2007,852.064174835756,CI,Cote d'Ivoire
NY.ADJ.NNTY.PC.CD,CIV,2006,749.700478039123,CI,Cote d'Ivoire
NY.ADJ.NNTY.PC.CD,CIV,2005,748.069272521875,CI,Cote d'Ivoire
NY.ADJ.NNTY.PC.CD,CIV,2004,700.534924259306,CI,Cote d'Ivoire
NY.ADJ.NNTY.PC.CD,CIV,2003,638.85697076165,CI,Cote d'Ivoire
NY.ADJ.NNTY.PC.CD,CIV,2002,539.893030528818,CI,Cote d'Ivoire
NY.ADJ.NNTY.PC.CD,CIV,2001,504.5245287927,CI,Cote d'Ivoire
NY.ADJ.NNTY.PC.CD,CIV,2000,501.38670972835,CI,Cote d'Ivoire
EG.ELC.ACCS.ZS,CIV,2021,71.1,CI,Cote d'Ivoire
EG.ELC.ACCS.ZS,CIV,2020,69.9,CI,Cote d'Ivoire
EG.ELC.ACCS.ZS,CIV,2019,68.6,CI,Cote d'Ivoire
EG.ELC.ACCS.ZS,CIV,2018,67.1,CI,Cote d'Ivoire
EG.ELC.ACCS.ZS,CIV,2017,65.6,CI,Cote d'Ivoire
EG.ELC.ACCS.ZS,CIV,2016,64.3,CI,Cote d'Ivoire
EG.ELC.ACCS.ZS,CIV,2015,62.6,CI,Cote d'Ivoire
EG.ELC.ACCS.ZS,CIV,2014,61.9,CI,Cote d'Ivoire
EG.ELC.ACCS.ZS,CIV,2013,61.5,CI,Cote d'Ivoire
EG.ELC.ACCS.ZS,CIV,2012,55.8,CI,Cote d'Ivoire
EG.ELC.ACCS.ZS,CIV,2011,55.8,CI,Cote d'Ivoire
EG.ELC.ACCS.ZS,CIV,2010,58.4,CI,Cote d'Ivoire
EG.ELC.ACCS.ZS,CIV,2009,57.3,CI,Cote d'Ivoire
EG.ELC.ACCS.ZS,CIV,2008,60.3,CI,Cote d'Ivoire
EG.ELC.ACCS.ZS,CIV,2007,55.3,CI,Cote d'Ivoire
EG.ELC.ACCS.ZS,CIV,2006,60.2,CI,Cote d'Ivoire
EG.ELC.ACCS.ZS,CIV,2005,58.9,CI,Cote d'Ivoire
EG.ELC.ACCS.ZS,CIV,2004,52.4,CI,Cote d'Ivoire
EG.ELC.ACCS.ZS,CIV,2003,51.5,CI,Cote d'Ivoire
EG.ELC.ACCS.ZS,CIV,2002,51.4,CI,Cote d'Ivoire
EG.ELC.ACCS.ZS,CIV,2001,49.7,CI,Cote d'Ivoire
EG.ELC.ACCS.ZS,CIV,2000,48.7,CI,Cote d'Ivoire
NY.ADJ.NNTY.PC.KD.ZG,CIV,2021,0.852966962347864,CI,Cote d'Ivoire
NY.ADJ.NNTY.PC.KD.ZG,CIV,2020,1.79756724913788,CI,Cote d'Ivoire
NY.ADJ.NNTY.PC.KD.ZG,CIV,2019,2.36503713585785,CI,Cote d'Ivoire
NY.ADJ.NNTY.PC.KD.ZG,CIV,2018,1.9607053189809,CI,Cote d'Ivoire
NY.ADJ.NNTY.PC.KD.ZG,CIV,2017,-0.110867128125818,CI,Cote d'Ivoire
