IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,iso3,Location,Period type,Year,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,SuicideRatesPer100k,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2021,True,Sex,Both sexes,SEX_BTSX,,,,,,,,,,12.67,,,6.77,,18.15,12.7 [6.8-18.1],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2021,True,Sex,Both sexes,SEX_BTSX,,,,,,,,,,7.61,,,4.24,,13.75,7.6 [4.2-13.8],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2020,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,13.13,,,7.12,,18.6,13.1 [7.1-18.6],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2020,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,7.61,,,4.25,,13.71,7.6 [4.2-13.7],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,13.36,,,7.23,,18.81,13.4 [7.2-18.8],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,8.39,,,4.66,,15.01,8.4 [4.7-15.0],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2018,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,13.42,,,7.32,,18.69,13.4 [7.3-18.7],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2018,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,8.28,,,4.59,,14.8,8.3 [4.6-14.8],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2017,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,13.41,,,7.36,,18.34,13.4 [7.4-18.3],,,EN,2025-01-28T03:00:00.000Z
MH_12,Age-standardized suicide rates (per 100 000 population),numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2017,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,8.71,,,4.78,,15.54,8.7 [4.8-15.5],,,EN,2025-01-28T03:00:00.000Z
