Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Low income,LIC,Access to electricity (% of population),EG.ELC.ACCS.ZS,15.8877973903425,16.6514746642065,17.3484472429749,19.0694734310953,19.8704433454531,19.6149162790728,22.1311285107089,23.6626540465652,23.1798870354857,24.7393888830433,26.2822459066807,26.8536405617796,29.88975528777,31.02493154871,32.3736906994259,32.3563050420321,37.5688615041151,39.2540028276042,40.5813805091217,41.9805026314343,43.3753224609455,44.9719731908846,45.1738605781663,47.0419464396607,..
Low income,LIC,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,..,..,..,8.68023380247984,9.24973527432709,9.28519245438059,11.9374301874868,11.4760069455962,12.8057020179954,15.1141417181434,16.1099573596796,15.3356313087038,19.4684071871738,20.6340188840533,20.4884423734697,18.0988754022301,26.4969674627545,28.4560763142286,26.9371422382349,30.1863753755369,30.0997920198517,31.5965825119904,29.7727545503241,33.1470187012052,..
Low income,LIC,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,49.4584127434606,50.5562644867651,51.9331122526412,53.3565334054386,54.296652046325,55.3412679936838,56.4268814676658,57.7101482063155,56.3976100284663,59.0243215138825,61.5832650539012,64.0137158589607,66.3594827506917,66.0171399186913,67.2560681399602,65.6631571772682,66.8039828701847,69.229557284551,69.4327690346003,70.4182498313471,72.3590856905378,73.5838145003676,74.138941069609,77.4790168437743,..
Low income,LIC,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,10.05,..,..,18.74,..,..,31.53,..,..,..,38.99,..,..,..
Low income,LIC,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,7.59,..,..,15.32,..,..,26.33,..,..,..,34.5,..,..,..
Low income,LIC,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,12.54,..,..,22.22,..,..,36.91,..,..,..,43.86,..,..,..
Low income,LIC,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FX.OWN.TOTL.OL.ZS,..,..,..,..,..,..,..,..,..,..,..,11.97,..,..,21.58,..,..,33.29,..,..,..,39.88,..,..,..
Low income,LIC,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,..,..,..,..,..,..,..,..,..,..,..,6,..,..,11.5,..,..,22.22,..,..,..,29.52,..,..,..
Low income,LIC,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,..,..,..,..,..,..,..,..,..,..,..,7.04,..,..,14.27,..,..,25.51,..,..,..,29.23,..,..,..
Low income,LIC,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS,..,..,..,..,..,..,..,..,..,..,..,12.38,..,..,23.62,..,..,37.71,..,..,..,45.29,..,..,..
Low income,LIC,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,..,..,..,..,..,..,..,..,..,..,..,17.31,..,..,30.35,..,..,46.78,..,..,..,62.4,..,..,..
Low income,LIC,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,..,..,..,..,..,..,..,..,..,..,..,6.48,..,..,13.35,..,..,28.69,..,..,..,37.41,..,..,..
Low income,LIC,Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Low income,LIC,Adequacy of social protection and labor programs (% of total welfare of beneficiary households),per_allsp.adq_pop_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Low income,LIC,Adequacy of social safety net programs (% of total welfare of beneficiary households),per_sa_allsa.adq_pop_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Low income,LIC,Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),per_lm_alllm.adq_pop_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Low income,LIC,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,64.66274,67.2812,69.93146,72.77946,74.64939,77.45954,78.23777,77.9486,79.20395,80.09367,80.46479,81.11253,80.75827,81.0466,80.82132,80.48845,..,..,..,..,..,..
Low income,LIC,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,..,..,..,60.21728,63.23367,65.90769,69.16396,71.15323,74.16953,75.18725,75.02886,76.383,77.36295,77.78202,78.70208,78.30641,78.51942,78.37906,78.14374,..,..,..,..,..,..
Low income,LIC,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,..,..,..,69.16621,71.45006,74.07547,76.54112,78.27918,80.91044,81.46124,81.02725,82.21089,83.05247,83.33948,83.72889,83.37772,83.66311,83.30582,82.96232,..,..,..,..,..,..
Low income,LIC,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Low income,LIC,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,365530264914.638,..,..,..,..,..,..,..,..,..
Low income,LIC,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,169682651839.457,168046549490.95,176722041507.143,187037805860.43,223974995373.972,262214857383.311,304272384230.344,360989121056.726,437447137290.748,473524095141.423,517212310969.802,318817655774.107,322078322677.248,329661294938.762,358984897542.689,365530264914.638,375043078429.017,418897494099.864,354280380824.459,380055069108.728,373060259219.077,383358042258.949,..,..,..
Low income,LIC,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Low income,LIC,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,617.26688356204,..,..,..,..,..,..,..,..,..
Low income,LIC,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,434.994792999017,419.322502930073,428.239706410913,440.009126956931,512.079965782592,582.498181419787,656.120752128448,755.916529794311,890.194256921833,936.586478112525,994.53557048093,596.133984856437,586.181366750213,584.996831797943,621.52590822392,617.26688356204,616.981650173067,670.711390793577,551.678599731435,575.214930696702,548.972645216653,549.054272901282,..,..,..
Low income,LIC,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,..,..,..,..,..,-2.96037691592814,-0.768367588049735,0.328019669823492,-1.37809651161543,1.99954675461167,2.90131427240268,..,..,..,8.06136041259474,7.36620916818832,7.70170035288968,10.315387957922,10.2039348722255,10.4503438690332,8.95241062821149,3.10031360874221,..,..,..
Low income,LIC,"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Low income,LIC,"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,..,..,..,..,..,-5.48761222603967,-3.19539127896223,-1.99392639974301,-3.55295262187307,-0.0508145522882719,0.941643607366979,..,..,..,6.05974354635451,5.42491676798063,5.87398867478786,8.56919200603195,8.54743789293748,8.88067411131733,7.38545664104156,1.59555997776318,..,..,..
Low income,LIC,"Adjusted net savings, including particulate emission damage (current US$)",NY.ADJ.SVNG.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Low income,LIC,Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,0.904470011322417,1.04720157863714,1.02257984065187,1.05544443758394,0.992998668941654,0.956529398426961,0.930209138212229,0.857813439613747,0.783989337578457,0.835582775320929,0.819424691681001,1.12815537099399,1.12377528618558,1.06774357943289,1.04063676931747,0.982182423844372,1.0777004668172,1.08728966037214,1.26416907469468,1.23271497702855,1.32232582560325,1.09787418428818,..,..,..
Low income,LIC,Adjusted savings: carbon dioxide damage (current US$),NY.ADJ.DCO2.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Low income,LIC,Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,8.09560820128106,7.28391751321628,7.56547421254476,7.30354313636747,7.36225913568434,7.35990761509887,7.24333727366167,7.15673362074676,7.30650001584482,6.80193383913944,6.8677501397809,8.1739544045591,9.32511803317183,8.9920724210472,8.77176822102647,8.79288572479094,8.26626585104135,8.32117664319366,7.88270565138039,8.02621052461388,7.86974373158411,7.6993042539899,..,..,..
Low income,LIC,Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
