,importance
"Population, female (% of total population)",0.29897355349390864
"Agriculture, forestry, and fishing, value added (% of GDP)",0.1972666617664888
Compensation of employees (% of expense),0.13321553133476774
"Manufacturing, value added (% of GDP)",0.08434465008835125
Access to electricity (% of population),0.05894767210263496
Proportion of seats held by women in national parliaments (%),0.029682343027522456
Population density (people per sq. km of land area),0.021544899020751445
Voice and Accountability: Estimate,0.018448381126577342
Armed forces personnel (% of total labor force),0.01780279825017622
"School enrollment, secondary (% gross)",0.01644615044276249
Income share held by lowest 20%,0.013866157164049807
Employment in agriculture (% of total employment) (modeled ILO estimate),0.011863701546663857
"Armed forces personnel, total",0.0116351868934173
"External health expenditure per capita, PPP (current international $)",0.008063523327897256
"School enrollment, tertiary (% gross)",0.007918987707101269
"Domestic private health expenditure per capita, PPP (current international $)",0.007575368326851827
"Labor force, female (% of total labor force)",0.006791670792207023
Current health expenditure (% of GDP),0.00454774275922006
Domestic general government health expenditure (% of current health expenditure),0.004289408334510134
"School enrollment, primary (% gross)",0.004197492255843999
Domestic general government health expenditure (% of general government expenditure),0.004174241591593964
Population ages 15-64 (% of total population),0.002918724571507183
"Personal remittances, received (current US$)",0.0027744905685104407
Urban population (% of total population),0.002412221201718229
"Personal remittances, received (% of GDP)",0.0023840535563935685
General government final consumption expenditure (% of GDP),0.002042726064209418
Gross savings (% of GDP),0.002000111561135379
Employment in industry (% of total employment) (modeled ILO estimate),0.0018888416100538432
"Unemployment, total (% of total labor force) (national estimate)",0.0016125545704291277
Expense (% of GDP),0.0014877951768180683
"Compulsory education, duration (years)",0.001385255904624632
Population ages 0-14 (% of total population),0.0013714596176619483
"Out-of-pocket expenditure per capita, PPP (current international $)",0.0013574882935424785
Population growth (annual %),0.0011966900266933928
Out-of-pocket expenditure (% of current health expenditure),0.0010634991708631416
"Government expenditure on education, total (% of government expenditure)",0.0010525777590531414
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.0009675924807227354
Individuals using the Internet (% of population),0.000967557888555261
"Industry (including construction), value added (% of GDP)",0.000855853393379483
"Current health expenditure per capita, PPP (current international $)",0.0008070213889706252
Fixed telephone subscriptions (per 100 people),0.0007401420849189923
"Net bilateral aid flows from DAC donors, Total (current US$)",0.0006337207642620426
"Inflation, consumer prices (annual %)",0.0006272727109476082
"Labor force, total",0.0005835933293147119
"Agriculture, forestry, and fishing, value added (current US$)",0.000577273572698147
GDP per capita growth (annual %),0.00046984632119081613
Fixed broadband subscriptions (per 100 people),0.00040218377167734683
Rule of Law: Estimate,0.00034983643884303224
Domestic credit to private sector (% of GDP),0.00031561686696470603
Gross capital formation (% of GDP),0.0002977514876799736
"GDP per capita, PPP (current international $)",0.0002788105075282409
"Services, value added (% of GDP)",0.00024871269987439607
"Net intake rate in grade 1, female (% of official school-age population)",0.00023252568280346682
Goods and services expense (% of expense),0.00022968488352162085
Gross savings (% of GNI),0.00021677787591984596
Population ages 65 and above (% of total population),0.0002085773134204516
"Government expenditure on education, total (% of GDP)",0.0002053387845818256
GDP per capita (current US$),0.0002015417891731789
Domestic general government health expenditure (% of GDP),0.0001857217207143566
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.00016554527979274864
GDP (current US$),0.0001387854483423202
Adjusted net national income per capita (annual % growth),0.0001336484065576527
Income share held by highest 10%,0.00011987681484777963
GNI growth (annual %),0.00010330960242912324
Final consumption expenditure (% of GDP),6.777577207444984e-05
Political Stability and Absence of Violence/Terrorism: Estimate,4.240964568427101e-05
External health expenditure (% of current health expenditure),4.141366994968535e-05
"Employment to population ratio, 15+, total (%) (national estimate)",2.5627085703047968e-05
"Human capital index (HCI), upper bound (scale 0-1)",1.2290234159234653e-05
"Literacy rate, adult male (% of males ages 15 and above)",1.7532762847664384e-06
Public and publicly guaranteed debt service (% of GNI),0.0
CPIA macroeconomic management rating (1=low to 6=high),0.0
CPIA fiscal policy rating (1=low to 6=high),0.0
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",0.0
