,importance
"Labor force, female (% of total labor force)",0.4273259823404806
"Population, female (% of total population)",0.12240740313061835
"Compulsory education, duration (years)",0.09921813452616997
General government final consumption expenditure (% of GDP),0.07100201560946466
"Domestic private health expenditure per capita, PPP (current international $)",0.06275336309876162
Population growth (annual %),0.05453564702761772
Population ages 15-64 (% of total population),0.03317677813613446
Population ages 65 and above (% of total population),0.029615831382001283
Employment in agriculture (% of total employment) (modeled ILO estimate),0.02206454055461
"Labor force, total",0.01450412584581972
"Armed forces personnel, total",0.01447717512471483
Urban population (% of total population),0.008331829407988175
Gross capital formation (% of GDP),0.008308327514553439
"Current health expenditure per capita, PPP (current international $)",0.005317378350660926
"Personal remittances, received (% of GDP)",0.0037809903870826608
Population density (people per sq. km of land area),0.002911415737180865
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.002685080440339456
GDP per capita growth (annual %),0.0025680706583206584
"Government expenditure on education, total (% of GDP)",0.0013191445691557746
Rule of Law: Estimate,0.001224583595290496
External health expenditure (% of current health expenditure),0.0010025188382715587
Fixed telephone subscriptions (per 100 people),0.000978073102159141
"Inflation, consumer prices (annual %)",0.0009509070743034352
Political Stability and Absence of Violence/Terrorism: Estimate,0.0009151276301414184
GDP (current US$),0.0008584309737486991
Employment in industry (% of total employment) (modeled ILO estimate),0.0008510123320794572
"Agriculture, forestry, and fishing, value added (current US$)",0.000842199633219026
"School enrollment, primary (% gross)",0.0008282545572771893
Domestic credit to private sector (% of GDP),0.0007067596238900152
"GDP per capita, PPP (current international $)",0.000632378087996696
GDP per capita (current US$),0.0006190817705342671
"Out-of-pocket expenditure per capita, PPP (current international $)",0.0005157305935591001
"Agriculture, forestry, and fishing, value added (% of GDP)",0.0005020277510105335
"Net intake rate in grade 1, female (% of official school-age population)",0.00034620383417805726
Armed forces personnel (% of total labor force),0.0002939031616328056
Adjusted net national income per capita (annual % growth),0.0002616734662436143
Population ages 0-14 (% of total population),0.00021072218949722704
"Personal remittances, received (current US$)",0.00017953510928976477
Voice and Accountability: Estimate,0.0001278597590260551
Domestic general government health expenditure (% of general government expenditure),9.91813486430934e-05
CPIA macroeconomic management rating (1=low to 6=high),8.856989263640977e-05
"Net bilateral aid flows from DAC donors, Total (current US$)",7.705086677615003e-05
Individuals using the Internet (% of population),7.042553377487149e-05
Access to electricity (% of population),6.134508926345545e-05
Domestic general government health expenditure (% of current health expenditure),5.213341788565847e-05
"Manufacturing, value added (% of GDP)",5.104347255764978e-05
Income share held by highest 10%,5.092374953379764e-05
Public and publicly guaranteed debt service (% of GNI),4.2977953202020155e-05
"Industry (including construction), value added (% of GDP)",3.806910325126961e-05
Out-of-pocket expenditure (% of current health expenditure),3.13500722514376e-05
Final consumption expenditure (% of GDP),2.556269155631433e-05
"School enrollment, tertiary (% gross)",2.516022312330946e-05
"Services, value added (% of GDP)",2.4554189359079753e-05
Gross savings (% of GNI),2.176946797872499e-05
"External health expenditure per capita, PPP (current international $)",2.159196542343423e-05
Domestic general government health expenditure (% of GDP),1.2234558592937446e-05
"School enrollment, secondary (% gross)",1.2110661199252894e-05
Compensation of employees (% of expense),1.0711894806785249e-05
Fixed broadband subscriptions (per 100 people),9.04396606700518e-06
Proportion of seats held by women in national parliaments (%),8.922057654140397e-06
GNI growth (annual %),8.29076097267563e-06
Expense (% of GDP),2.3376005568209517e-06
Gross savings (% of GDP),1.2832841325764194e-06
Current health expenditure (% of GDP),1.0798756103072153e-06
"Literacy rate, adult male (% of males ages 15 and above)",9.611318918275702e-07
Goods and services expense (% of expense),3.261458635715959e-07
"Unemployment, total (% of total labor force) (national estimate)",2.99521711447194e-07
"Government expenditure on education, total (% of government expenditure)",2.555918604298992e-07
"Employment to population ratio, 15+, total (%) (national estimate)",1.6506974319603614e-07
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",3.5942605377477066e-08
CPIA fiscal policy rating (1=low to 6=high),7.987245631872309e-09
Income share held by lowest 20%,3.993622820476378e-09
"Human capital index (HCI), upper bound (scale 0-1)",3.9936228136660426e-09
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",0.0
