,importance
Out-of-pocket expenditure (% of current health expenditure),0.19023777004729966
"Population, female (% of total population)",0.15002183442909428
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.11199804696989453
"Agriculture, forestry, and fishing, value added (% of GDP)",0.10209627243442693
Rule of Law: Estimate,0.09343637637999354
Urban population (% of total population),0.05829348426193129
Fixed telephone subscriptions (per 100 people),0.048299805460816914
"Labor force, total",0.041092810391629826
"Industry (including construction), value added (% of GDP)",0.039447050971932573
"Armed forces personnel, total",0.030116161019453514
"GDP per capita, PPP (current international $)",0.017263922541149862
Gross capital formation (% of GDP),0.016004530891810018
Domestic credit to private sector (% of GDP),0.014373040737082048
"Labor force, female (% of total labor force)",0.01012321875220538
Public and publicly guaranteed debt service (% of GNI),0.009377586110942216
Population ages 15-64 (% of total population),0.007432992833004353
"Personal remittances, received (current US$)",0.005357732705024863
Domestic general government health expenditure (% of GDP),0.00505478800460698
GDP (current US$),0.004910018290564691
Voice and Accountability: Estimate,0.004858706618101136
Employment in agriculture (% of total employment) (modeled ILO estimate),0.004766900341470172
"Net bilateral aid flows from DAC donors, Total (current US$)",0.004524901512191792
"Agriculture, forestry, and fishing, value added (current US$)",0.0034690206653293114
Population density (people per sq. km of land area),0.00284451072255343
Access to electricity (% of population),0.002335498419202145
External health expenditure (% of current health expenditure),0.002264285697074709
"Literacy rate, adult male (% of males ages 15 and above)",0.0016662961769317861
Armed forces personnel (% of total labor force),0.0015565368159618114
General government final consumption expenditure (% of GDP),0.0015462474547452798
Population growth (annual %),0.0014089127207559914
"Personal remittances, received (% of GDP)",0.001320199652418458
CPIA fiscal policy rating (1=low to 6=high),0.0010510351837786937
"Current health expenditure per capita, PPP (current international $)",0.0008644999355304543
Expense (% of GDP),0.0008326008172786567
Domestic general government health expenditure (% of current health expenditure),0.0007797613479273715
"Services, value added (% of GDP)",0.0007144174107437228
Employment in industry (% of total employment) (modeled ILO estimate),0.0007026666610987937
"Manufacturing, value added (% of GDP)",0.0006594652542933578
Gross savings (% of GDP),0.0006422958028163737
Proportion of seats held by women in national parliaments (%),0.0006304666681080458
"School enrollment, tertiary (% gross)",0.0006178798420030445
GDP per capita growth (annual %),0.0006093229842737939
Current health expenditure (% of GDP),0.0005905250241642623
"External health expenditure per capita, PPP (current international $)",0.000490019365505383
"Government expenditure on education, total (% of GDP)",0.00046233644832751003
Compensation of employees (% of expense),0.0004021723678554493
Individuals using the Internet (% of population),0.00030710459154755746
Population ages 65 and above (% of total population),0.00030208464659242483
Final consumption expenditure (% of GDP),0.00019985147767598863
"Out-of-pocket expenditure per capita, PPP (current international $)",0.00019229536139255148
Goods and services expense (% of expense),0.00016592330082183256
Population ages 0-14 (% of total population),0.0001609108503124976
"Human capital index (HCI), upper bound (scale 0-1)",0.00014364522521553695
GDP per capita (current US$),0.00010800910378040231
"School enrollment, primary (% gross)",0.00010155131740479718
Adjusted net national income per capita (annual % growth),0.00010146703234401402
Political Stability and Absence of Violence/Terrorism: Estimate,9.27301487411781e-05
Domestic general government health expenditure (% of general government expenditure),8.194412667427988e-05
Income share held by highest 10%,8.184193158834602e-05
"Employment to population ratio, 15+, total (%) (national estimate)",8.159307267771585e-05
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",6.365383404858972e-05
"Unemployment, total (% of total labor force) (national estimate)",5.183482769427691e-05
"Government expenditure on education, total (% of government expenditure)",4.660025746755795e-05
"Inflation, consumer prices (annual %)",4.465239825109052e-05
Gross savings (% of GNI),3.988099965789646e-05
"School enrollment, secondary (% gross)",2.2226605094196876e-05
Fixed broadband subscriptions (per 100 people),1.947760926562406e-05
GNI growth (annual %),1.403049933116627e-05
"Net intake rate in grade 1, female (% of official school-age population)",1.1039144338764152e-05
"Domestic private health expenditure per capita, PPP (current international $)",1.0299807849183923e-05
Income share held by lowest 20%,3.224626163974809e-06
CPIA macroeconomic management rating (1=low to 6=high),3.202060764233779e-06
"Compulsory education, duration (years)",0.0
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",0.0
