,importance
Population density (people per sq. km of land area),0.24616337603977326
Population ages 0-14 (% of total population),0.1575132463978759
Population ages 65 and above (% of total population),0.11007275648072169
"Population, female (% of total population)",0.10070215075777851
"Agriculture, forestry, and fishing, value added (% of GDP)",0.04488072649003507
Rule of Law: Estimate,0.03457414606185303
Employment in agriculture (% of total employment) (modeled ILO estimate),0.0335157903363341
"Labor force, female (% of total labor force)",0.030395200479666998
"External health expenditure per capita, PPP (current international $)",0.029755767959555535
Domestic credit to private sector (% of GDP),0.023607541407161148
"Armed forces personnel, total",0.022051595262344573
"Agriculture, forestry, and fishing, value added (current US$)",0.021770315578175433
"Inflation, consumer prices (annual %)",0.017865024022863777
General government final consumption expenditure (% of GDP),0.014166420843056417
Compensation of employees (% of expense),0.012469575763820925
"Manufacturing, value added (% of GDP)",0.012374509396941439
Population ages 15-64 (% of total population),0.011928500049727021
Domestic general government health expenditure (% of general government expenditure),0.010342705838441728
"Labor force, total",0.010091145540968805
Individuals using the Internet (% of population),0.006220455154853099
"Compulsory education, duration (years)",0.006101565122591631
Income share held by lowest 20%,0.0052473491655878725
GDP (current US$),0.0043688494490852344
Urban population (% of total population),0.003798264212176473
Current health expenditure (% of GDP),0.002996546735671211
Fixed telephone subscriptions (per 100 people),0.0026401680247786327
Domestic general government health expenditure (% of current health expenditure),0.002369741842947787
"Out-of-pocket expenditure per capita, PPP (current international $)",0.0021217487824500007
Political Stability and Absence of Violence/Terrorism: Estimate,0.001877931682982409
Armed forces personnel (% of total labor force),0.0017074256118463848
"Personal remittances, received (% of GDP)",0.0017043258560092537
"School enrollment, primary (% gross)",0.001422257437057977
GDP per capita growth (annual %),0.0013631752889416552
"Government expenditure on education, total (% of GDP)",0.0011101011484334062
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.0010804979427779067
"Unemployment, total (% of total labor force) (national estimate)",0.0008478557200462519
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.0008226071367167913
"Industry (including construction), value added (% of GDP)",0.0007316524387740094
"Domestic private health expenditure per capita, PPP (current international $)",0.0007315386380041703
GDP per capita (current US$),0.0006692639904446033
"Net bilateral aid flows from DAC donors, Total (current US$)",0.0006519478498807736
Employment in industry (% of total employment) (modeled ILO estimate),0.0006239149645048274
"Personal remittances, received (current US$)",0.00043838295330788225
Expense (% of GDP),0.00034979780508197537
Public and publicly guaranteed debt service (% of GNI),0.00028581274320808257
Domestic general government health expenditure (% of GDP),0.00027504027343415737
Fixed broadband subscriptions (per 100 people),0.00027430421312433633
"Services, value added (% of GDP)",0.00026963495869745935
External health expenditure (% of current health expenditure),0.00026062770556839335
Population growth (annual %),0.0002485905387926662
"School enrollment, tertiary (% gross)",0.00024024305519501326
Proportion of seats held by women in national parliaments (%),0.00019982055824800245
Goods and services expense (% of expense),0.00016968767593880584
CPIA fiscal policy rating (1=low to 6=high),0.00015354647700261062
"Literacy rate, adult male (% of males ages 15 and above)",0.00014827981804930925
Adjusted net national income per capita (annual % growth),0.00013446931823874914
"Current health expenditure per capita, PPP (current international $)",0.0001331991993024423
"School enrollment, secondary (% gross)",0.00012184053107136088
GNI growth (annual %),0.00011259186553417648
"Government expenditure on education, total (% of government expenditure)",0.00010347588689499166
Access to electricity (% of population),9.901988593439191e-05
"Employment to population ratio, 15+, total (%) (national estimate)",8.127326631580206e-05
Voice and Accountability: Estimate,6.795972109112545e-05
Out-of-pocket expenditure (% of current health expenditure),6.443277975706447e-05
Gross capital formation (% of GDP),6.296345485902118e-05
Gross savings (% of GDP),5.792817112742649e-05
"GDP per capita, PPP (current international $)",4.495212381608713e-05
Final consumption expenditure (% of GDP),3.4868245490928935e-05
"Net intake rate in grade 1, female (% of official school-age population)",3.295729156937174e-05
Income share held by highest 10%,2.7046003169715536e-05
Gross savings (% of GNI),2.6637238771389568e-05
"Human capital index (HCI), upper bound (scale 0-1)",1.6591815740504253e-05
CPIA macroeconomic management rating (1=low to 6=high),1.4320456447716853e-05
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",2.5065561240143164e-08
