,importance
"Labor force, female (% of total labor force)",0.15967043173097298
Population density (people per sq. km of land area),0.15883818919643436
"Compulsory education, duration (years)",0.08183548680882526
Employment in industry (% of total employment) (modeled ILO estimate),0.06418741925957543
"Manufacturing, value added (% of GDP)",0.05864838690505279
Urban population (% of total population),0.045528651809271105
Out-of-pocket expenditure (% of current health expenditure),0.04362984779197123
"Labor force, total",0.04327435896926193
Access to electricity (% of population),0.0425021085157999
Compensation of employees (% of expense),0.034103381943427616
"Armed forces personnel, total",0.029401377308080796
Fixed telephone subscriptions (per 100 people),0.02682646595752337
General government final consumption expenditure (% of GDP),0.019767657354503032
Armed forces personnel (% of total labor force),0.019179618074704127
Employment in agriculture (% of total employment) (modeled ILO estimate),0.018437866564329754
"Government expenditure on education, total (% of GDP)",0.012649191095599671
"External health expenditure per capita, PPP (current international $)",0.01184034004858761
Population ages 15-64 (% of total population),0.0112080123982094
GDP (current US$),0.008981457000885483
Public and publicly guaranteed debt service (% of GNI),0.007906398995464857
Proportion of seats held by women in national parliaments (%),0.007778963596893042
"School enrollment, tertiary (% gross)",0.0053896669981420165
"Net bilateral aid flows from DAC donors, Total (current US$)",0.00515097852563612
"Agriculture, forestry, and fishing, value added (% of GDP)",0.005012854716664778
Population ages 65 and above (% of total population),0.0048087967792155295
"Unemployment, total (% of total labor force) (national estimate)",0.004802876921106354
"Domestic private health expenditure per capita, PPP (current international $)",0.004717076930506979
"Out-of-pocket expenditure per capita, PPP (current international $)",0.004602476067328952
"Net intake rate in grade 1, female (% of official school-age population)",0.003938320687590851
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.0038136236819224624
"Industry (including construction), value added (% of GDP)",0.0035126661320434996
Domestic general government health expenditure (% of GDP),0.0033824435761908773
"Personal remittances, received (current US$)",0.003251326020928887
Domestic general government health expenditure (% of general government expenditure),0.0030924644226093217
Current health expenditure (% of GDP),0.0026282959072958705
Population ages 0-14 (% of total population),0.00258221990159255
Domestic general government health expenditure (% of current health expenditure),0.002382300096513304
Voice and Accountability: Estimate,0.0023029582794335
"School enrollment, secondary (% gross)",0.0022202973407888424
"Personal remittances, received (% of GDP)",0.002127418863228527
Final consumption expenditure (% of GDP),0.0017445979242010866
Individuals using the Internet (% of population),0.0017112857541809268
"Agriculture, forestry, and fishing, value added (current US$)",0.0016683674097120265
Expense (% of GDP),0.001503374732811176
Goods and services expense (% of expense),0.0014188500827022835
"Inflation, consumer prices (annual %)",0.0013659955474850068
Population growth (annual %),0.001272121984280393
GDP per capita (current US$),0.0011590902504415277
Gross savings (% of GDP),0.0009939765814487073
"Government expenditure on education, total (% of government expenditure)",0.0009749793234895215
"Employment to population ratio, 15+, total (%) (national estimate)",0.0009696905227744128
Income share held by lowest 20%,0.0009104847267753419
Domestic credit to private sector (% of GDP),0.0008975395128043743
GDP per capita growth (annual %),0.0008794907855175719
"Current health expenditure per capita, PPP (current international $)",0.0008790932765937237
Gross capital formation (% of GDP),0.0008080990793096816
Fixed broadband subscriptions (per 100 people),0.000766634846099253
"School enrollment, primary (% gross)",0.000730785209790817
Rule of Law: Estimate,0.0006645970397459526
Political Stability and Absence of Violence/Terrorism: Estimate,0.0005403620461365036
External health expenditure (% of current health expenditure),0.0005341878561965464
"Services, value added (% of GDP)",0.00037902341255741264
"GDP per capita, PPP (current international $)",0.0003030527924270266
Adjusted net national income per capita (annual % growth),0.00028383448377217375
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.00022381725224192043
Gross savings (% of GNI),0.00017026716968644587
Income share held by highest 10%,0.0001262799199451715
GNI growth (annual %),0.00010959136988144068
CPIA macroeconomic management rating (1=low to 6=high),7.583485800033942e-05
"Human capital index (HCI), upper bound (scale 0-1)",1.4993291842769324e-05
"Literacy rate, adult male (% of males ages 15 and above)",2.7498581818310066e-06
CPIA fiscal policy rating (1=low to 6=high),2.2779248536229153e-06
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",0.0
