,importance
Voice and Accountability: Estimate,0.4348528790480196
"Out-of-pocket expenditure per capita, PPP (current international $)",0.1942045602457635
Population density (people per sq. km of land area),0.08889408394113814
Armed forces personnel (% of total labor force),0.08164680088319638
Domestic general government health expenditure (% of general government expenditure),0.05781044355385411
Domestic credit to private sector (% of GDP),0.05697153687768144
General government final consumption expenditure (% of GDP),0.015398364325331511
Employment in agriculture (% of total employment) (modeled ILO estimate),0.010942173342476085
"Unemployment, total (% of total labor force) (national estimate)",0.008619405687022085
Out-of-pocket expenditure (% of current health expenditure),0.006868576926678981
"Government expenditure on education, total (% of GDP)",0.006450533045520683
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.005549832836390857
"Manufacturing, value added (% of GDP)",0.005448509847871686
Population ages 0-14 (% of total population),0.004724361405269327
Fixed telephone subscriptions (per 100 people),0.003158352336428123
Current health expenditure (% of GDP),0.0016746088862705745
"Labor force, female (% of total labor force)",0.0014532973657332222
"Net bilateral aid flows from DAC donors, Total (current US$)",0.0014269398720690436
Final consumption expenditure (% of GDP),0.0014123032298215743
GDP per capita (current US$),0.0013972564868431812
Proportion of seats held by women in national parliaments (%),0.0011955683708878989
"School enrollment, primary (% gross)",0.0010601119437968418
Domestic general government health expenditure (% of GDP),0.0009762811856965041
"Personal remittances, received (current US$)",0.0009472055774947452
"Services, value added (% of GDP)",0.0008701095713043067
GDP (current US$),0.0007995621586114646
Gross capital formation (% of GDP),0.0006903504275253704
Goods and services expense (% of expense),0.0006076620629320013
"GDP per capita, PPP (current international $)",0.0005674578685389288
"Population, female (% of total population)",0.0005660588156785572
"Industry (including construction), value added (% of GDP)",0.00038538238190610123
Rule of Law: Estimate,0.00032692048579244476
GNI growth (annual %),0.0002450910546047721
"Personal remittances, received (% of GDP)",0.00022915335905483833
"Inflation, consumer prices (annual %)",0.00016182150230251112
Income share held by lowest 20%,0.00015708991723991788
Political Stability and Absence of Violence/Terrorism: Estimate,0.0001529233558857165
Compensation of employees (% of expense),0.00015273848971176162
Domestic general government health expenditure (% of current health expenditure),0.00011041935331742698
"Government expenditure on education, total (% of government expenditure)",0.00010141905287273558
Gross savings (% of GDP),9.733310452973225e-05
Population ages 15-64 (% of total population),9.716659438722296e-05
Population ages 65 and above (% of total population),7.93394127943943e-05
Public and publicly guaranteed debt service (% of GNI),7.589418574885498e-05
"Employment to population ratio, 15+, total (%) (national estimate)",7.045641139491975e-05
Population growth (annual %),6.085226026100307e-05
GDP per capita growth (annual %),4.0046271733129707e-05
Adjusted net national income per capita (annual % growth),3.957721944240573e-05
Gross savings (% of GNI),3.6453931501921724e-05
Employment in industry (% of total employment) (modeled ILO estimate),3.603626029985984e-05
"Domestic private health expenditure per capita, PPP (current international $)",3.47492353786403e-05
"Agriculture, forestry, and fishing, value added (% of GDP)",3.3270858577577854e-05
Expense (% of GDP),1.7720533891876587e-05
"School enrollment, secondary (% gross)",1.2063503120184657e-05
"Human capital index (HCI), upper bound (scale 0-1)",1.1587037795903747e-05
"Armed forces personnel, total",1.0370074898160401e-05
External health expenditure (% of current health expenditure),8.916075358815671e-06
"School enrollment, tertiary (% gross)",7.83931088257959e-06
Fixed broadband subscriptions (per 100 people),7.5220389834231215e-06
Access to electricity (% of population),3.7999128615424354e-06
"Current health expenditure per capita, PPP (current international $)",2.9911145163939497e-06
Urban population (% of total population),1.8400545162518264e-06
"Agriculture, forestry, and fishing, value added (current US$)",1.4163311575006862e-06
"Labor force, total",1.1664948492767757e-06
Individuals using the Internet (% of population),9.708030118690964e-07
CPIA macroeconomic management rating (1=low to 6=high),7.521426489412439e-07
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",6.628060220697839e-07
Income share held by highest 10%,3.49734081877205e-07
"Net intake rate in grade 1, female (% of official school-age population)",2.641074187413613e-07
"External health expenditure per capita, PPP (current international $)",2.203140967634702e-07
"Literacy rate, adult male (% of males ages 15 and above)",1.8803566223317305e-07
"Compulsory education, duration (years)",3.123719470361521e-08
CPIA fiscal policy rating (1=low to 6=high),5.51244612427491e-09
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",0.0
