,importance
"Population, female (% of total population)",0.2621943968523811
Population density (people per sq. km of land area),0.2306475642254048
Individuals using the Internet (% of population),0.08660145479590516
"Manufacturing, value added (% of GDP)",0.0667765237018025
Income share held by lowest 20%,0.05108487440094667
Domestic general government health expenditure (% of current health expenditure),0.0296202142986673
"Armed forces personnel, total",0.026512984541402097
Urban population (% of total population),0.022061965688463536
"Labor force, total",0.019139821859338532
Population ages 65 and above (% of total population),0.01888778136887368
Domestic general government health expenditure (% of general government expenditure),0.015824512443047816
"Personal remittances, received (current US$)",0.014966042054322915
"Personal remittances, received (% of GDP)",0.01471292017648693
"School enrollment, secondary (% gross)",0.014259321019767112
"Government expenditure on education, total (% of GDP)",0.013404840419928154
GDP per capita (current US$),0.012820257050926253
Gross capital formation (% of GDP),0.009837526143478627
Political Stability and Absence of Violence/Terrorism: Estimate,0.007860374234722085
"Services, value added (% of GDP)",0.00593043563705524
Armed forces personnel (% of total labor force),0.005821288253043482
"School enrollment, primary (% gross)",0.005743565786845414
Fixed broadband subscriptions (per 100 people),0.005736453358685471
Domestic credit to private sector (% of GDP),0.0051685038655251364
Voice and Accountability: Estimate,0.0048665107766855675
"Labor force, female (% of total labor force)",0.004662574770099654
Out-of-pocket expenditure (% of current health expenditure),0.004533748172249638
Final consumption expenditure (% of GDP),0.004013965650204297
Employment in industry (% of total employment) (modeled ILO estimate),0.003359704435451864
Domestic general government health expenditure (% of GDP),0.0033280689103726913
"Agriculture, forestry, and fishing, value added (current US$)",0.002946719903322656
GDP (current US$),0.0029347021346106342
"Employment to population ratio, 15+, total (%) (national estimate)",0.0025951942860383916
Compensation of employees (% of expense),0.002197293244267537
"Out-of-pocket expenditure per capita, PPP (current international $)",0.001769230125525059
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.001658953520372142
Fixed telephone subscriptions (per 100 people),0.001468157271672818
Proportion of seats held by women in national parliaments (%),0.0012888407547914456
Goods and services expense (% of expense),0.0011323834533995573
Population ages 15-64 (% of total population),0.0009393643193555558
"Current health expenditure per capita, PPP (current international $)",0.0009063020961211122
Gross savings (% of GDP),0.0008298177597143949
Current health expenditure (% of GDP),0.0007622181732780604
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.000738286084505812
Gross savings (% of GNI),0.000731746473912771
GDP per capita growth (annual %),0.0007112484849949809
Adjusted net national income per capita (annual % growth),0.0007034892753569503
"Domestic private health expenditure per capita, PPP (current international $)",0.0006515631513793681
Population growth (annual %),0.000644698648466492
Rule of Law: Estimate,0.0004953406341548915
External health expenditure (% of current health expenditure),0.0004936131081807996
"GDP per capita, PPP (current international $)",0.00036031169579810125
"Unemployment, total (% of total labor force) (national estimate)",0.0003446763276953844
"Agriculture, forestry, and fishing, value added (% of GDP)",0.000308590597749968
"Inflation, consumer prices (annual %)",0.00027605422736689123
Population ages 0-14 (% of total population),0.0002001922836340176
Employment in agriculture (% of total employment) (modeled ILO estimate),0.0001962734003436148
"Compulsory education, duration (years)",0.00016192770319286472
"Net bilateral aid flows from DAC donors, Total (current US$)",0.00016071052412692244
Income share held by highest 10%,0.00015344649111674475
"School enrollment, tertiary (% gross)",0.000139510570132791
"Net intake rate in grade 1, female (% of official school-age population)",0.0001223601324577878
"Government expenditure on education, total (% of government expenditure)",0.00011497542740863794
"External health expenditure per capita, PPP (current international $)",0.00010592806888781214
Expense (% of GDP),0.00010446821610844595
Public and publicly guaranteed debt service (% of GNI),8.649847278102502e-05
GNI growth (annual %),6.752044412807829e-05
General government final consumption expenditure (% of GDP),5.0050742154098177e-05
"Industry (including construction), value added (% of GDP)",4.005912851604076e-05
"Literacy rate, adult male (% of males ages 15 and above)",2.3703219540882235e-05
Access to electricity (% of population),2.709485976605518e-06
"Human capital index (HCI), upper bound (scale 0-1)",1.6531487274579707e-06
CPIA macroeconomic management rating (1=low to 6=high),1.0218966506474445e-06
CPIA fiscal policy rating (1=low to 6=high),0.0
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",0.0
