,importance
"Armed forces personnel, total",0.3829132798221305
Final consumption expenditure (% of GDP),0.14478353296076504
Access to electricity (% of population),0.12011855839934166
Armed forces personnel (% of total labor force),0.09862261454110482
"Population, female (% of total population)",0.06979030515134403
"Industry (including construction), value added (% of GDP)",0.03830327073034878
"School enrollment, primary (% gross)",0.033185018335461676
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.018112976143678662
Proportion of seats held by women in national parliaments (%),0.012037754762261097
Gross savings (% of GDP),0.01013080925848913
Population density (people per sq. km of land area),0.009606188234683476
Fixed telephone subscriptions (per 100 people),0.00741188308019184
"Agriculture, forestry, and fishing, value added (current US$)",0.0071220345522344545
Employment in agriculture (% of total employment) (modeled ILO estimate),0.006796418912968559
"Government expenditure on education, total (% of government expenditure)",0.0062842342958673225
Urban population (% of total population),0.003957065275980418
GDP per capita (current US$),0.0033081122872822746
Voice and Accountability: Estimate,0.003018315493747824
Current health expenditure (% of GDP),0.0025418813446874927
Public and publicly guaranteed debt service (% of GNI),0.00224982878642456
"GDP per capita, PPP (current international $)",0.002167886901601056
"Personal remittances, received (% of GDP)",0.0016079349451250606
"Personal remittances, received (current US$)",0.0014118438146879678
"Labor force, female (% of total labor force)",0.0014064196944274265
Gross savings (% of GNI),0.0013962030628834625
"Net bilateral aid flows from DAC donors, Total (current US$)",0.0012974426999991513
"Current health expenditure per capita, PPP (current international $)",0.0010491867069240867
"School enrollment, secondary (% gross)",0.0008745556481309526
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.0007903160066496557
General government final consumption expenditure (% of GDP),0.0007699474946734919
"Labor force, total",0.0007151718401517671
"Services, value added (% of GDP)",0.0007040480586902678
Population growth (annual %),0.0006315202881319568
Domestic general government health expenditure (% of GDP),0.0005844233667132816
GNI growth (annual %),0.0004961703864011222
Rule of Law: Estimate,0.0004914602375680249
Population ages 65 and above (% of total population),0.00044650355931731843
"External health expenditure per capita, PPP (current international $)",0.00033920988480961277
"Employment to population ratio, 15+, total (%) (national estimate)",0.000338909483548962
Domestic general government health expenditure (% of current health expenditure),0.0003066905862357774
"Out-of-pocket expenditure per capita, PPP (current international $)",0.0002438684254552592
Population ages 15-64 (% of total population),0.0002417210928732257
GDP (current US$),0.00022605194855149853
GDP per capita growth (annual %),0.00020543109140886442
Domestic credit to private sector (% of GDP),0.0001939143779826668
"Inflation, consumer prices (annual %)",0.0001301283468054527
"Agriculture, forestry, and fishing, value added (% of GDP)",0.00011924557338999307
Out-of-pocket expenditure (% of current health expenditure),0.0001060094591190005
Individuals using the Internet (% of population),8.949597268280535e-05
Gross capital formation (% of GDP),5.467014094341377e-05
Domestic general government health expenditure (% of general government expenditure),4.647726050249199e-05
"Human capital index (HCI), upper bound (scale 0-1)",3.761989357361245e-05
External health expenditure (% of current health expenditure),3.447398224357851e-05
"Manufacturing, value added (% of GDP)",3.2329536170296944e-05
Population ages 0-14 (% of total population),2.879292439130655e-05
Goods and services expense (% of expense),1.9272886586513437e-05
Adjusted net national income per capita (annual % growth),1.710856702844722e-05
Fixed broadband subscriptions (per 100 people),1.5802431603718713e-05
"Domestic private health expenditure per capita, PPP (current international $)",1.4219708239675939e-05
CPIA fiscal policy rating (1=low to 6=high),1.0135860388877005e-05
"Net intake rate in grade 1, female (% of official school-age population)",4.430918592862624e-06
Employment in industry (% of total employment) (modeled ILO estimate),2.3543948794252317e-06
"Unemployment, total (% of total labor force) (national estimate)",1.7611023898747536e-06
"Compulsory education, duration (years)",1.6575712411595552e-06
"Government expenditure on education, total (% of GDP)",9.269524610832771e-07
Political Stability and Absence of Violence/Terrorism: Estimate,7.617317677889631e-07
Compensation of employees (% of expense),4.2378034968126605e-07
Income share held by lowest 20%,4.0232311678676607e-07
"School enrollment, tertiary (% gross)",2.6285110297785854e-07
"Literacy rate, adult male (% of males ages 15 and above)",2.574867947442192e-07
Expense (% of GDP),6.437169868675161e-08
CPIA macroeconomic management rating (1=low to 6=high),0.0
Income share held by highest 10%,0.0
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",0.0
