,importance
Population density (people per sq. km of land area),0.6729464908804782
"Services, value added (% of GDP)",0.12676527981769786
Political Stability and Absence of Violence/Terrorism: Estimate,0.07678798512045835
Gross capital formation (% of GDP),0.03552074335637599
Rule of Law: Estimate,0.024404236740821247
Goods and services expense (% of expense),0.0191701228320491
Compensation of employees (% of expense),0.017098284010109373
"Population, female (% of total population)",0.006684553201723613
Income share held by lowest 20%,0.00522445687474463
Population ages 65 and above (% of total population),0.0034245680602792497
Population ages 15-64 (% of total population),0.003123396707558617
Employment in agriculture (% of total employment) (modeled ILO estimate),0.0030145845601086962
"Domestic private health expenditure per capita, PPP (current international $)",0.0014212761339354445
Population ages 0-14 (% of total population),0.0010631434881940812
Expense (% of GDP),0.0006236304574788335
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.0006222638458218921
Fixed broadband subscriptions (per 100 people),0.00047268685902298143
Gross savings (% of GDP),0.00043249239822234554
"Employment to population ratio, 15+, total (%) (national estimate)",0.00038626876829913524
Urban population (% of total population),0.00030976531124132404
"School enrollment, tertiary (% gross)",0.00019534507949354435
"GDP per capita, PPP (current international $)",0.00011576004710786943
General government final consumption expenditure (% of GDP),8.038892160081484e-05
"Labor force, female (% of total labor force)",4.5285759171718665e-05
Domestic general government health expenditure (% of general government expenditure),3.2155568645809435e-05
Domestic general government health expenditure (% of GDP),1.7149636607549324e-05
"Government expenditure on education, total (% of government expenditure)",7.235002944256119e-06
"Agriculture, forestry, and fishing, value added (current US$)",7.235002943342203e-06
Income share held by highest 10%,3.2155568642153767e-06
Public and publicly guaranteed debt service (% of GNI),0.0
"Net bilateral aid flows from DAC donors, Total (current US$)",0.0
"Personal remittances, received (% of GDP)",0.0
"Personal remittances, received (current US$)",0.0
Access to electricity (% of population),0.0
"Inflation, consumer prices (annual %)",0.0
Domestic credit to private sector (% of GDP),0.0
Fixed telephone subscriptions (per 100 people),0.0
Individuals using the Internet (% of population),0.0
"Armed forces personnel, total",0.0
CPIA macroeconomic management rating (1=low to 6=high),0.0
CPIA fiscal policy rating (1=low to 6=high),0.0
"Human capital index (HCI), upper bound (scale 0-1)",0.0
"Net intake rate in grade 1, female (% of official school-age population)",0.0
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.0
"School enrollment, primary (% gross)",0.0
"Compulsory education, duration (years)",0.0
"Literacy rate, adult male (% of males ages 15 and above)",0.0
GDP per capita growth (annual %),0.0
GNI growth (annual %),0.0
Gross savings (% of GNI),0.0
Adjusted net national income per capita (annual % growth),0.0
GDP (current US$),0.0
GDP per capita (current US$),0.0
Armed forces personnel (% of total labor force),0.0
Final consumption expenditure (% of GDP),0.0
"Agriculture, forestry, and fishing, value added (% of GDP)",0.0
"Manufacturing, value added (% of GDP)",0.0
"Industry (including construction), value added (% of GDP)",0.0
Out-of-pocket expenditure (% of current health expenditure),0.0
"Out-of-pocket expenditure per capita, PPP (current international $)",0.0
Domestic general government health expenditure (% of current health expenditure),0.0
"External health expenditure per capita, PPP (current international $)",0.0
Proportion of seats held by women in national parliaments (%),0.0
Current health expenditure (% of GDP),0.0
"Current health expenditure per capita, PPP (current international $)",0.0
External health expenditure (% of current health expenditure),0.0
"Government expenditure on education, total (% of GDP)",0.0
"School enrollment, secondary (% gross)",0.0
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",0.0
Employment in industry (% of total employment) (modeled ILO estimate),0.0
"Labor force, total",0.0
"Unemployment, total (% of total labor force) (national estimate)",0.0
Population growth (annual %),0.0
Voice and Accountability: Estimate,0.0
