,importance
Population ages 65 and above (% of total population),0.4362982739727093
"Armed forces personnel, total",0.22100654454123353
"Out-of-pocket expenditure per capita, PPP (current international $)",0.13949770943147702
Urban population (% of total population),0.10349072102450706
Population density (people per sq. km of land area),0.038682828910067364
Employment in agriculture (% of total employment) (modeled ILO estimate),0.021400815217897984
Access to electricity (% of population),0.014043414261514153
"School enrollment, primary (% gross)",0.007303342334441351
"External health expenditure per capita, PPP (current international $)",0.0034919615412148833
Armed forces personnel (% of total labor force),0.0033148895726646537
Individuals using the Internet (% of population),0.0029761900519197563
Domestic general government health expenditure (% of general government expenditure),0.002874820476068026
"Unemployment, total (% of total labor force) (national estimate)",0.0014357931745772596
"School enrollment, secondary (% gross)",0.0011248354965778238
Population ages 15-64 (% of total population),0.0003716067203527024
Domestic general government health expenditure (% of GDP),0.0003230286341276784
Current health expenditure (% of GDP),0.00028875796427066516
"Current health expenditure per capita, PPP (current international $)",0.00028127808720994325
"Industry (including construction), value added (% of GDP)",0.00024610031511161233
Population growth (annual %),0.00022077207238168956
Domestic general government health expenditure (% of current health expenditure),0.00019096763465756682
"Government expenditure on education, total (% of GDP)",0.00014737857848630656
Fixed broadband subscriptions (per 100 people),0.00011939777381970171
"Manufacturing, value added (% of GDP)",0.00010571459233270772
Employment in industry (% of total employment) (modeled ILO estimate),8.368076908806842e-05
"GDP per capita, PPP (current international $)",7.718938029219655e-05
Political Stability and Absence of Violence/Terrorism: Estimate,7.470302417703594e-05
"Agriculture, forestry, and fishing, value added (current US$)",7.248939832179886e-05
Domestic credit to private sector (% of GDP),6.944918576530858e-05
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",5.545950628949879e-05
"Personal remittances, received (current US$)",4.795750350633453e-05
Gross capital formation (% of GDP),3.2626500993186494e-05
Voice and Accountability: Estimate,3.218664051247846e-05
GDP per capita growth (annual %),3.15400497964586e-05
"Population, female (% of total population)",2.377189929543386e-05
GDP per capita (current US$),2.251338359046967e-05
Fixed telephone subscriptions (per 100 people),2.245369023506643e-05
GDP (current US$),2.0352207550543752e-05
"School enrollment, tertiary (% gross)",1.699255487558225e-05
"Personal remittances, received (% of GDP)",1.5526692835151128e-05
"Net bilateral aid flows from DAC donors, Total (current US$)",1.046823245519653e-05
Income share held by lowest 20%,9.465660654568436e-06
"Labor force, total",7.924432871885784e-06
Adjusted net national income per capita (annual % growth),6.4353585779745176e-06
"Agriculture, forestry, and fishing, value added (% of GDP)",4.330649225731837e-06
"Inflation, consumer prices (annual %)",3.6599632625859677e-06
External health expenditure (% of current health expenditure),3.3591917224325685e-06
"Domestic private health expenditure per capita, PPP (current international $)",3.053810656670949e-06
Out-of-pocket expenditure (% of current health expenditure),2.7668676931476604e-06
Public and publicly guaranteed debt service (% of GNI),2.496058068880745e-06
Expense (% of GDP),2.2148770121849715e-06
"Employment to population ratio, 15+, total (%) (national estimate)",1.8345911568078588e-06
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",1.5647363628309188e-06
GNI growth (annual %),1.0256194281184581e-06
Rule of Law: Estimate,8.642860349339816e-07
"Labor force, female (% of total labor force)",6.310440436670456e-07
Gross savings (% of GNI),5.900192664817805e-07
"Services, value added (% of GDP)",3.9526681330954586e-07
Compensation of employees (% of expense),2.4891437806855643e-07
Goods and services expense (% of expense),2.3232008619235734e-07
Final consumption expenditure (% of GDP),1.820762580328575e-07
Gross savings (% of GDP),1.7285720700187888e-07
Income share held by highest 10%,2.765715311725463e-08
"Government expenditure on education, total (% of government expenditure)",1.3828576564277146e-08
Population ages 0-14 (% of total population),6.9142882777169645e-09
CPIA macroeconomic management rating (1=low to 6=high),3.1442542783463944e-17
General government final consumption expenditure (% of GDP),4.912897309916241e-19
"Net intake rate in grade 1, female (% of official school-age population)",0.0
"Literacy rate, adult male (% of males ages 15 and above)",0.0
CPIA fiscal policy rating (1=low to 6=high),0.0
"Human capital index (HCI), upper bound (scale 0-1)",0.0
"Compulsory education, duration (years)",0.0
Proportion of seats held by women in national parliaments (%),0.0
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",0.0
