,importance
"Population, female (% of total population)",0.2801315553388146
Population growth (annual %),0.17849522349763472
Population density (people per sq. km of land area),0.0933738584178362
"Labor force, female (% of total labor force)",0.07108955823490798
"Labor force, total",0.06897149036421762
"Domestic private health expenditure per capita, PPP (current international $)",0.04147201877601032
Urban population (% of total population),0.027340812851975423
Rule of Law: Estimate,0.024277197287589716
Compensation of employees (% of expense),0.02345686323759885
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.019188873350403143
"Inflation, consumer prices (annual %)",0.018154481481663074
Fixed telephone subscriptions (per 100 people),0.017324852879888032
Access to electricity (% of population),0.01546530980791755
Armed forces personnel (% of total labor force),0.012681381955979355
Population ages 0-14 (% of total population),0.010096791614280544
Out-of-pocket expenditure (% of current health expenditure),0.009858262875238964
Population ages 65 and above (% of total population),0.00795661451046337
"Manufacturing, value added (% of GDP)",0.007950263120718356
"School enrollment, tertiary (% gross)",0.005937962934017683
Current health expenditure (% of GDP),0.005501140855456894
"Compulsory education, duration (years)",0.004514719318821329
"Out-of-pocket expenditure per capita, PPP (current international $)",0.004453790430894149
"Armed forces personnel, total",0.004151856400712635
"Government expenditure on education, total (% of government expenditure)",0.004041516538208629
"Government expenditure on education, total (% of GDP)",0.004015346850833725
"GDP per capita, PPP (current international $)",0.003967385824070583
"Human capital index (HCI), upper bound (scale 0-1)",0.003823379806498514
Domestic credit to private sector (% of GDP),0.0030500077652675294
Employment in industry (% of total employment) (modeled ILO estimate),0.002998303408643195
"Net bilateral aid flows from DAC donors, Total (current US$)",0.0026764499137067648
"Personal remittances, received (% of GDP)",0.002131909940702058
External health expenditure (% of current health expenditure),0.0021063683264495865
Voice and Accountability: Estimate,0.0016464630093953965
"School enrollment, primary (% gross)",0.0015554402902826694
"Personal remittances, received (current US$)",0.0013337322729225756
CPIA fiscal policy rating (1=low to 6=high),0.0012382219450429097
Domestic general government health expenditure (% of GDP),0.0011519417334935468
Fixed broadband subscriptions (per 100 people),0.0010966114721769323
"Employment to population ratio, 15+, total (%) (national estimate)",0.0008486756623358666
Expense (% of GDP),0.0008224473607873728
"School enrollment, secondary (% gross)",0.0006948965335088149
Employment in agriculture (% of total employment) (modeled ILO estimate),0.0006637345815890815
Domestic general government health expenditure (% of current health expenditure),0.0006221270672084657
Population ages 15-64 (% of total population),0.0006168900901749331
GDP per capita (current US$),0.0005785292214980598
"External health expenditure per capita, PPP (current international $)",0.0005357653465258058
"Industry (including construction), value added (% of GDP)",0.000531934791341112
Political Stability and Absence of Violence/Terrorism: Estimate,0.000528072006359784
"Agriculture, forestry, and fishing, value added (% of GDP)",0.0005252233868426831
Gross capital formation (% of GDP),0.00047762459085312376
"Agriculture, forestry, and fishing, value added (current US$)",0.0004511482807494612
GDP per capita growth (annual %),0.00043267050711594707
Domestic general government health expenditure (% of general government expenditure),0.0003778485753186341
General government final consumption expenditure (% of GDP),0.00035884022408568103
Final consumption expenditure (% of GDP),0.0003254308529043166
"Unemployment, total (% of total labor force) (national estimate)",0.00027536321406617786
GDP (current US$),0.0002644099907216042
Public and publicly guaranteed debt service (% of GNI),0.0002531725715455207
"Services, value added (% of GDP)",0.00023682676233743223
Gross savings (% of GDP),0.00021568536889468072
"Current health expenditure per capita, PPP (current international $)",0.00018121470793973655
Goods and services expense (% of expense),0.00017169136175474144
Individuals using the Internet (% of population),0.00010645472983552343
Gross savings (% of GNI),5.586465282101057e-05
Proportion of seats held by women in national parliaments (%),5.356506300081089e-05
Adjusted net national income per capita (annual % growth),4.0798376729876364e-05
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",3.0231117942366915e-05
CPIA macroeconomic management rating (1=low to 6=high),1.366735734716318e-05
Income share held by lowest 20%,7.369433230350564e-06
"Net intake rate in grade 1, female (% of official school-age population)",6.579471043193693e-06
"Literacy rate, adult male (% of males ages 15 and above)",6.304611253157431e-06
GNI growth (annual %),5.648801701644517e-06
Income share held by highest 10%,5.027497574584628e-06
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",3.0719032607493034e-07
