,importance
"Labor force, female (% of total labor force)",0.14743170094248692
"Population, female (% of total population)",0.1364195273931658
Population density (people per sq. km of land area),0.12434435182460309
"Compulsory education, duration (years)",0.08372332139799515
Employment in industry (% of total employment) (modeled ILO estimate),0.06191638251166938
GDP (current US$),0.05549454406017083
Urban population (% of total population),0.05505914370120075
Out-of-pocket expenditure (% of current health expenditure),0.05229645240770038
"Labor force, total",0.04157055566304963
Compensation of employees (% of expense),0.03810820414638013
"External health expenditure per capita, PPP (current international $)",0.0352299844250486
"Manufacturing, value added (% of GDP)",0.031030518277476486
Access to electricity (% of population),0.028793171317561983
Employment in agriculture (% of total employment) (modeled ILO estimate),0.025206254241907772
"Armed forces personnel, total",0.018099181233496704
Fixed telephone subscriptions (per 100 people),0.016248734131957623
Population ages 15-64 (% of total population),0.013912921594884624
Public and publicly guaranteed debt service (% of GNI),0.012995878992610609
Armed forces personnel (% of total labor force),0.01183138912478361
"Government expenditure on education, total (% of GDP)",0.01028778261184986
