,importance
Population density (people per sq. km of land area),0.14131074578785194
Access to electricity (% of population),0.09077348869852835
Compensation of employees (% of expense),0.08438039294508465
Employment in industry (% of total employment) (modeled ILO estimate),0.0807095621203299
GDP (current US$),0.051479916740939324
"Population, female (% of total population)",0.04991613006171906
Urban population (% of total population),0.04985085745828906
"Labor force, female (% of total labor force)",0.04534362860293222
"Armed forces personnel, total",0.036524798198021534
Out-of-pocket expenditure (% of current health expenditure),0.036470449959210026
Population growth (annual %),0.034980642882261576
"Labor force, total",0.027588834360349677
Gross capital formation (% of GDP),0.022396658345113344
"Manufacturing, value added (% of GDP)",0.020022641089308343
Rule of Law: Estimate,0.01859047084359668
Armed forces personnel (% of total labor force),0.017564393477647114
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.01564891698701141
Proportion of seats held by women in national parliaments (%),0.014319675845582223
"Agriculture, forestry, and fishing, value added (% of GDP)",0.013323483377213046
Individuals using the Internet (% of population),0.012943728971556507
"Personal remittances, received (current US$)",0.012376951338783415
"School enrollment, tertiary (% gross)",0.00981119080353276
"Personal remittances, received (% of GDP)",0.008409646846524859
GDP per capita (current US$),0.00815507989058276
Domestic credit to private sector (% of GDP),0.008094341072904092
Fixed telephone subscriptions (per 100 people),0.00768087281662882
Population ages 0-14 (% of total population),0.007645866772471852
Employment in agriculture (% of total employment) (modeled ILO estimate),0.007346578649760713
"Compulsory education, duration (years)",0.005342095904269628
External health expenditure (% of current health expenditure),0.00497992657973769
"Services, value added (% of GDP)",0.004882418905835572
Population ages 65 and above (% of total population),0.004443130020854217
"Net bilateral aid flows from DAC donors, Total (current US$)",0.003357945992586937
"Government expenditure on education, total (% of government expenditure)",0.0031429155685344617
"Industry (including construction), value added (% of GDP)",0.0030089047199376414
Final consumption expenditure (% of GDP),0.0029586351940856944
Political Stability and Absence of Violence/Terrorism: Estimate,0.002568051613295771
"External health expenditure per capita, PPP (current international $)",0.0024880164487722485
Domestic general government health expenditure (% of general government expenditure),0.0024364116102343976
Voice and Accountability: Estimate,0.001942982514078864
"School enrollment, primary (% gross)",0.001609584699269132
Population ages 15-64 (% of total population),0.0015719656731270166
"Agriculture, forestry, and fishing, value added (current US$)",0.0015578480644708778
"Unemployment, total (% of total labor force) (national estimate)",0.0015400207354119293
"Employment to population ratio, 15+, total (%) (national estimate)",0.0014607712762725526
"Out-of-pocket expenditure per capita, PPP (current international $)",0.0013488256786466984
"Domestic private health expenditure per capita, PPP (current international $)",0.0012890317188511784
"Inflation, consumer prices (annual %)",0.0012735469625537138
Fixed broadband subscriptions (per 100 people),0.0012130004661209887
Expense (% of GDP),0.001207507096148748
Domestic general government health expenditure (% of GDP),0.0011854530738418982
Gross savings (% of GDP),0.0010640801151680455
Current health expenditure (% of GDP),0.0010215857258629823
"School enrollment, secondary (% gross)",0.0009437909783086595
Public and publicly guaranteed debt service (% of GNI),0.000739995908895529
GDP per capita growth (annual %),0.0007290476693852492
Adjusted net national income per capita (annual % growth),0.0006344891830748408
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.0006065970042868086
General government final consumption expenditure (% of GDP),0.0005848293588893004
Gross savings (% of GNI),0.00047429315712844934
"Current health expenditure per capita, PPP (current international $)",0.000414395979406333
Domestic general government health expenditure (% of current health expenditure),0.0003973716918864877
Goods and services expense (% of expense),0.00036199246088097645
GNI growth (annual %),0.00028961560396267285
"Government expenditure on education, total (% of GDP)",0.0002867717969897448
CPIA fiscal policy rating (1=low to 6=high),0.0002795490088314161
"GDP per capita, PPP (current international $)",0.0002493163823002786
"Literacy rate, adult male (% of males ages 15 and above)",0.00016789799570089033
Income share held by lowest 20%,9.890947437386595e-05
Income share held by highest 10%,7.900241652798794e-05
"Human capital index (HCI), upper bound (scale 0-1)",6.155130262566554e-05
"Net intake rate in grade 1, female (% of official school-age population)",3.0149404259240008e-05
CPIA macroeconomic management rating (1=low to 6=high),1.5831920581383823e-05
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",0.0
