,importance
Urban population (% of total population),0.20998656240372135
Employment in industry (% of total employment) (modeled ILO estimate),0.20410298597847343
Fixed telephone subscriptions (per 100 people),0.10442566177616042
"Services, value added (% of GDP)",0.09058561896052197
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.08964470575838242
Current health expenditure (% of GDP),0.06134922075877088
Rule of Law: Estimate,0.04092891989484652
"Labor force, female (% of total labor force)",0.02714906333807883
"Domestic private health expenditure per capita, PPP (current international $)",0.018957013629871514
Domestic credit to private sector (% of GDP),0.018118885992620508
Population density (people per sq. km of land area),0.014235750604624316
Voice and Accountability: Estimate,0.012233871223565033
Employment in agriculture (% of total employment) (modeled ILO estimate),0.010295246851462245
Gross savings (% of GDP),0.00975950108253396
"Labor force, total",0.008978937628539511
"Compulsory education, duration (years)",0.008152716331847183
GDP (current US$),0.007617335299760027
Fixed broadband subscriptions (per 100 people),0.0072308412251758
"Population, female (% of total population)",0.004730532014711891
Domestic general government health expenditure (% of current health expenditure),0.004082827609587684
Proportion of seats held by women in national parliaments (%),0.003784005279386069
"Agriculture, forestry, and fishing, value added (current US$)",0.003626487711173569
Individuals using the Internet (% of population),0.00351831164219749
"Out-of-pocket expenditure per capita, PPP (current international $)",0.0034861002920545253
"Industry (including construction), value added (% of GDP)",0.003420053021948414
"Agriculture, forestry, and fishing, value added (% of GDP)",0.0029697737133504774
Gross capital formation (% of GDP),0.0028768623184277876
Population growth (annual %),0.0027171388383987155
Population ages 0-14 (% of total population),0.0025511916938850535
Political Stability and Absence of Violence/Terrorism: Estimate,0.0023264567646775753
Out-of-pocket expenditure (% of current health expenditure),0.0020455498209881995
Domestic general government health expenditure (% of GDP),0.0018672307653101658
General government final consumption expenditure (% of GDP),0.0017880152977907367
Access to electricity (% of population),0.0014650915949264984
External health expenditure (% of current health expenditure),0.0013659885493450467
GDP per capita (current US$),0.0012427570197937427
"Manufacturing, value added (% of GDP)",0.001164552219069878
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.0007226653753964457
"Personal remittances, received (current US$)",0.0006576563860088121
"School enrollment, primary (% gross)",0.00034892631831878366
"Net bilateral aid flows from DAC donors, Total (current US$)",0.000306301277915611
Population ages 15-64 (% of total population),0.00028530110129923393
Goods and services expense (% of expense),0.00028517315756411
Public and publicly guaranteed debt service (% of GNI),0.0002794671258863403
"Current health expenditure per capita, PPP (current international $)",0.0002278325470943319
"Government expenditure on education, total (% of GDP)",0.00020719654154666758
"Government expenditure on education, total (% of government expenditure)",0.0001934100770733483
"School enrollment, secondary (% gross)",0.00018759837833206108
GDP per capita growth (annual %),0.0001799315093809318
Gross savings (% of GNI),0.00017764462322241825
"Net intake rate in grade 1, female (% of official school-age population)",0.00015883404781089923
"GDP per capita, PPP (current international $)",0.00015760961937654914
Domestic general government health expenditure (% of general government expenditure),0.00014755855850862054
Final consumption expenditure (% of GDP),0.00012069047163343909
Population ages 65 and above (% of total population),0.00011966709340122454
"Employment to population ratio, 15+, total (%) (national estimate)",8.976564866813396e-05
"School enrollment, tertiary (% gross)",8.348433237013661e-05
"Unemployment, total (% of total labor force) (national estimate)",5.246836706971274e-05
"Inflation, consumer prices (annual %)",3.6185670885575765e-05
Expense (% of GDP),3.061926060778235e-05
"Personal remittances, received (% of GDP)",3.036014876523934e-05
Armed forces personnel (% of total labor force),2.9607418322834522e-05
Adjusted net national income per capita (annual % growth),2.5959269829592684e-05
Income share held by highest 10%,2.3088027948664386e-05
"Literacy rate, adult male (% of males ages 15 and above)",1.5208452191264809e-05
"External health expenditure per capita, PPP (current international $)",1.269187729216034e-05
GNI growth (annual %),9.99878166831098e-06
Income share held by lowest 20%,4.685950607753041e-06
CPIA macroeconomic management rating (1=low to 6=high),3.363034975913005e-06
CPIA fiscal policy rating (1=low to 6=high),2.734569629156846e-06
Compensation of employees (% of expense),2.422282766112264e-06
"Armed forces personnel, total",1.593838333766317e-06
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",4.3058899160952294e-07
"Human capital index (HCI), upper bound (scale 0-1)",1.0336332681587524e-07
