,importance
Population density (people per sq. km of land area),0.20940179887477847
General government final consumption expenditure (% of GDP),0.11956265526020536
"Labor force, female (% of total labor force)",0.11656489618872155
Population ages 65 and above (% of total population),0.10563008682717025
"Armed forces personnel, total",0.08094315938709008
Access to electricity (% of population),0.052851357339358064
Employment in agriculture (% of total employment) (modeled ILO estimate),0.03835751619688648
Voice and Accountability: Estimate,0.03039481950285378
"GDP per capita, PPP (current international $)",0.02487708338772615
Goods and services expense (% of expense),0.020230119274594227
Employment in industry (% of total employment) (modeled ILO estimate),0.017655646547062805
Urban population (% of total population),0.015417735310597352
"School enrollment, tertiary (% gross)",0.014472350660155911
"Services, value added (% of GDP)",0.012359296902978717
Domestic general government health expenditure (% of general government expenditure),0.012345342193039595
Population growth (annual %),0.012028028521680816
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.011691933324391914
"Inflation, consumer prices (annual %)",0.011368108297504497
"Population, female (% of total population)",0.009772625433782595
Rule of Law: Estimate,0.008928075884875058
Armed forces personnel (% of total labor force),0.008872363623946162
Out-of-pocket expenditure (% of current health expenditure),0.005932341429432835
Compensation of employees (% of expense),0.004873922603052977
"Personal remittances, received (% of GDP)",0.004476436666684999
Final consumption expenditure (% of GDP),0.004369657872774283
Population ages 0-14 (% of total population),0.003970337143061591
"Net bilateral aid flows from DAC donors, Total (current US$)",0.003906439775227628
Fixed broadband subscriptions (per 100 people),0.0035891703587107404
Expense (% of GDP),0.003021330408445198
Domestic general government health expenditure (% of GDP),0.002260113792926447
"School enrollment, secondary (% gross)",0.0022174514493066406
"Manufacturing, value added (% of GDP)",0.002210924318646732
"Labor force, total",0.001855573564706369
Domestic credit to private sector (% of GDP),0.0016890216311368955
GDP per capita (current US$),0.001665427275691243
Proportion of seats held by women in national parliaments (%),0.001476546804890937
"Agriculture, forestry, and fishing, value added (% of GDP)",0.0013696492988277966
"Government expenditure on education, total (% of GDP)",0.0013073804427278825
"Employment to population ratio, 15+, total (%) (national estimate)",0.0012021333207098439
"Out-of-pocket expenditure per capita, PPP (current international $)",0.0011806288357936573
Gross savings (% of GNI),0.0011173444225030832
"School enrollment, primary (% gross)",0.0010686659100420364
Public and publicly guaranteed debt service (% of GNI),0.0010512489521319831
GDP (current US$),0.0009679693020299735
"Current health expenditure per capita, PPP (current international $)",0.0009240078677976228
Fixed telephone subscriptions (per 100 people),0.0008644147437975935
"Unemployment, total (% of total labor force) (national estimate)",0.0008071578362706469
Political Stability and Absence of Violence/Terrorism: Estimate,0.0007436081912750028
"Domestic private health expenditure per capita, PPP (current international $)",0.000739135789857975
Current health expenditure (% of GDP),0.00071044562050961
Population ages 15-64 (% of total population),0.0006243308059986817
GNI growth (annual %),0.0005902879856060875
"Government expenditure on education, total (% of government expenditure)",0.000520394797998328
GDP per capita growth (annual %),0.0003621050877854017
"Net intake rate in grade 1, female (% of official school-age population)",0.00035508256438626624
Individuals using the Internet (% of population),0.00031699296810403427
Gross savings (% of GDP),0.00030053438465537546
"Industry (including construction), value added (% of GDP)",0.00026117995447080215
"External health expenditure per capita, PPP (current international $)",0.00020570826262284153
Gross capital formation (% of GDP),0.00020446332983813304
"Agriculture, forestry, and fishing, value added (current US$)",0.00019090025945631934
Domestic general government health expenditure (% of current health expenditure),0.0001594953708373576
Adjusted net national income per capita (annual % growth),0.00011665494095812072
CPIA fiscal policy rating (1=low to 6=high),0.00010886327519965293
"Personal remittances, received (current US$)",0.0001086021855766385
Income share held by highest 10%,7.646952655827768e-05
Income share held by lowest 20%,7.337637552474175e-05
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",5.381653532175402e-05
"Literacy rate, adult male (% of males ages 15 and above)",4.503452464310046e-05
External health expenditure (% of current health expenditure),3.0392612511256965e-05
"Human capital index (HCI), upper bound (scale 0-1)",1.035078137746153e-06
"Compulsory education, duration (years)",7.946054390634612e-07
CPIA macroeconomic management rating (1=low to 6=high),0.0
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",0.0
