,importance
"Agriculture, forestry, and fishing, value added (% of GDP)",0.2065467685881195
Compensation of employees (% of expense),0.19739713357625724
"Manufacturing, value added (% of GDP)",0.1637321564639241
Rule of Law: Estimate,0.06840927996065045
Proportion of seats held by women in national parliaments (%),0.048015117633763614
Population density (people per sq. km of land area),0.03644357666725535
"Labor force, female (% of total labor force)",0.033805347836351696
"School enrollment, tertiary (% gross)",0.03059720022265551
"Industry (including construction), value added (% of GDP)",0.029933482959886102
Out-of-pocket expenditure (% of current health expenditure),0.020378959624817145
"Labor force, total",0.019263217093387672
Goods and services expense (% of expense),0.01489943275990549
"GDP per capita, PPP (current international $)",0.014620724322144764
"Out-of-pocket expenditure per capita, PPP (current international $)",0.012456752296261859
Employment in agriculture (% of total employment) (modeled ILO estimate),0.011413678672907511
Final consumption expenditure (% of GDP),0.011406102306253097
"Population, female (% of total population)",0.008478389737519982
Fixed broadband subscriptions (per 100 people),0.007375037093813763
Population ages 65 and above (% of total population),0.005087312152940306
Employment in industry (% of total employment) (modeled ILO estimate),0.0049664599714510285
GDP per capita (current US$),0.004733617978783451
Population ages 0-14 (% of total population),0.004509297745913096
Expense (% of GDP),0.00445513097205476
"Personal remittances, received (% of GDP)",0.00382755306370504
Gross savings (% of GDP),0.002715483430941536
"Agriculture, forestry, and fishing, value added (current US$)",0.002600121361070088
"Inflation, consumer prices (annual %)",0.002545189818490247
Political Stability and Absence of Violence/Terrorism: Estimate,0.002494573700953044
Urban population (% of total population),0.0024219457255716254
"School enrollment, primary (% gross)",0.002287433853803954
"Armed forces personnel, total",0.0019260725738308737
"Services, value added (% of GDP)",0.0017978075064185924
GDP per capita growth (annual %),0.0016554459380403665
"Unemployment, total (% of total labor force) (national estimate)",0.001560168745763687
Fixed telephone subscriptions (per 100 people),0.001404330595504105
General government final consumption expenditure (% of GDP),0.001145265874733136
Domestic general government health expenditure (% of current health expenditure),0.0011354710650855
Adjusted net national income per capita (annual % growth),0.0010567789254626219
Population growth (annual %),0.0010146917827358664
"Government expenditure on education, total (% of government expenditure)",0.0009607645074330073
Armed forces personnel (% of total labor force),0.0008985480630353858
"Government expenditure on education, total (% of GDP)",0.0008327208395804703
Gross capital formation (% of GDP),0.0007518027781767526
Domestic general government health expenditure (% of general government expenditure),0.0007305588097851262
GDP (current US$),0.000504166502132069
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.0004720267672382636
"Domestic private health expenditure per capita, PPP (current international $)",0.0004421927777585936
"Literacy rate, adult male (% of males ages 15 and above)",0.000423621079017988
Domestic general government health expenditure (% of GDP),0.00039867649445118024
"Current health expenditure per capita, PPP (current international $)",0.0003796546313055764
"External health expenditure per capita, PPP (current international $)",0.0003762258183160148
Individuals using the Internet (% of population),0.00029969547165524296
GNI growth (annual %),0.0002851425447059445
"Employment to population ratio, 15+, total (%) (national estimate)",0.00023678430670322133
Income share held by lowest 20%,0.00019377850889228386
"School enrollment, secondary (% gross)",0.00018222056458085974
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.00017057356182457737
Current health expenditure (% of GDP),0.00012209145217805244
Gross savings (% of GNI),0.0001212133359798265
Income share held by highest 10%,0.00011898184815588199
"Net intake rate in grade 1, female (% of official school-age population)",0.00010593920868804288
Domestic credit to private sector (% of GDP),9.29142506714406e-05
Population ages 15-64 (% of total population),9.222128078708335e-05
Voice and Accountability: Estimate,9.121499267749967e-05
"Human capital index (HCI), upper bound (scale 0-1)",8.073718776278692e-05
External health expenditure (% of current health expenditure),4.871674875195912e-05
"Net bilateral aid flows from DAC donors, Total (current US$)",4.249456245224669e-05
"Compulsory education, duration (years)",1.760543550856193e-05
"Personal remittances, received (current US$)",1.2964399955147856e-05
Access to electricity (% of population),1.1452345023856224e-06
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",9.543620852951315e-08
Public and publicly guaranteed debt service (% of GNI),0.0
CPIA fiscal policy rating (1=low to 6=high),0.0
CPIA macroeconomic management rating (1=low to 6=high),0.0
