,importance
"Labor force, female (% of total labor force)",0.4108577920260747
Final consumption expenditure (% of GDP),0.20016795197671847
Population density (people per sq. km of land area),0.1033288484214915
"Population, female (% of total population)",0.05486144776534585
"Labor force, total",0.0531407403053922
Rule of Law: Estimate,0.05178501112788959
GDP (current US$),0.03915904303070812
"Compulsory education, duration (years)",0.020095579239408235
"Agriculture, forestry, and fishing, value added (% of GDP)",0.008781966471348462
Out-of-pocket expenditure (% of current health expenditure),0.00775159968839729
"Industry (including construction), value added (% of GDP)",0.005365101258092727
Employment in industry (% of total employment) (modeled ILO estimate),0.004788604489007091
"School enrollment, tertiary (% gross)",0.004325435288346848
"Personal remittances, received (% of GDP)",0.003924134092426474
Employment in agriculture (% of total employment) (modeled ILO estimate),0.003816319821014615
Gross capital formation (% of GDP),0.0032672773804498833
"GDP per capita, PPP (current international $)",0.0030221933293348912
"Out-of-pocket expenditure per capita, PPP (current international $)",0.0023271535551316
General government final consumption expenditure (% of GDP),0.002297286931335466
GDP per capita (current US$),0.00222384543895499
"Inflation, consumer prices (annual %)",0.0017668246355630219
"Services, value added (% of GDP)",0.0013999247011831865
Public and publicly guaranteed debt service (% of GNI),0.0011467046295480154
"Manufacturing, value added (% of GDP)",0.0010034443029834834
Domestic general government health expenditure (% of GDP),0.0008082241793091711
Urban population (% of total population),0.0007254784198744606
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.0007117285007098318
Population ages 65 and above (% of total population),0.0005660985222177865
Goods and services expense (% of expense),0.0005453073964134098
"School enrollment, primary (% gross)",0.0005410957018493457
Political Stability and Absence of Violence/Terrorism: Estimate,0.0005356058140379828
"Personal remittances, received (current US$)",0.000518304980090652
GDP per capita growth (annual %),0.0004937198717908267
Population ages 0-14 (% of total population),0.0004883079457295162
Domestic general government health expenditure (% of current health expenditure),0.0003543213780945312
Population growth (annual %),0.0003171373370258172
Domestic credit to private sector (% of GDP),0.0002629709300708982
Adjusted net national income per capita (annual % growth),0.00024257550746106842
Individuals using the Internet (% of population),0.00022630526669504197
CPIA macroeconomic management rating (1=low to 6=high),0.00020384393035178326
"Current health expenditure per capita, PPP (current international $)",0.00018165673883828307
Domestic general government health expenditure (% of general government expenditure),0.0001805731930621197
Proportion of seats held by women in national parliaments (%),0.00018006709115093482
Voice and Accountability: Estimate,0.0001701252695944435
Armed forces personnel (% of total labor force),0.00016430770702869637
Gross savings (% of GNI),0.00015665904851702345
Compensation of employees (% of expense),0.0001421012139987319
Current health expenditure (% of GDP),0.00012041849667331917
"Agriculture, forestry, and fishing, value added (current US$)",8.346106574100367e-05
"External health expenditure per capita, PPP (current international $)",7.475352399240049e-05
"Government expenditure on education, total (% of GDP)",6.52007858396524e-05
"Domestic private health expenditure per capita, PPP (current international $)",6.188822084331095e-05
Expense (% of GDP),6.010189660269402e-05
Access to electricity (% of population),3.821377173007156e-05
Population ages 15-64 (% of total population),2.8347533624662688e-05
Fixed telephone subscriptions (per 100 people),2.5803717459248424e-05
"Armed forces personnel, total",2.2281568439588764e-05
Fixed broadband subscriptions (per 100 people),2.13156720199999e-05
Gross savings (% of GDP),1.854913061684752e-05
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",9.155046326703905e-06
External health expenditure (% of current health expenditure),8.630131879948502e-06
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",8.417205045283332e-06
"Employment to population ratio, 15+, total (%) (national estimate)",7.974392601649362e-06
GNI growth (annual %),6.240828992590856e-06
"Unemployment, total (% of total labor force) (national estimate)",5.98305562113729e-06
"Literacy rate, adult male (% of males ages 15 and above)",5.975410713292803e-06
"Government expenditure on education, total (% of government expenditure)",3.648397673843425e-06
"Net bilateral aid flows from DAC donors, Total (current US$)",1.2964040902360594e-06
"School enrollment, secondary (% gross)",1.1758083609329042e-06
CPIA fiscal policy rating (1=low to 6=high),1.8089359400092418e-07
Income share held by lowest 20%,1.205957293650115e-07
"Net intake rate in grade 1, female (% of official school-age population)",1.2059572932484505e-07
"Human capital index (HCI), upper bound (scale 0-1)",0.0
Income share held by highest 10%,0.0
