,importance
Voice and Accountability: Estimate,0.311427897689784
Population density (people per sq. km of land area),0.1339532563917957
"Out-of-pocket expenditure per capita, PPP (current international $)",0.11569931814428987
"Armed forces personnel, total",0.10079781609655333
Current health expenditure (% of GDP),0.05588125846357421
"Compulsory education, duration (years)",0.04801242781278644
Political Stability and Absence of Violence/Terrorism: Estimate,0.0428441996842092
Out-of-pocket expenditure (% of current health expenditure),0.017572125471403917
GDP (current US$),0.017297842116255995
Final consumption expenditure (% of GDP),0.017238333555361637
Domestic general government health expenditure (% of general government expenditure),0.016805875275866054
Employment in industry (% of total employment) (modeled ILO estimate),0.01570019935174221
"School enrollment, tertiary (% gross)",0.015252830830047486
"Agriculture, forestry, and fishing, value added (current US$)",0.011999396648293003
"Labor force, female (% of total labor force)",0.01034953189498819
Fixed telephone subscriptions (per 100 people),0.0085190253604209
"Population, female (% of total population)",0.008283720969200959
Urban population (% of total population),0.0071909049685765425
"School enrollment, secondary (% gross)",0.006162749778155606
Proportion of seats held by women in national parliaments (%),0.005961165118782505
Domestic general government health expenditure (% of GDP),0.004704652316866289
"Net bilateral aid flows from DAC donors, Total (current US$)",0.003639833456597075
Population ages 15-64 (% of total population),0.0028796178276122965
"Industry (including construction), value added (% of GDP)",0.002327460445054659
"School enrollment, primary (% gross)",0.0022068979128736193
General government final consumption expenditure (% of GDP),0.001783730825656746
Population growth (annual %),0.0016801247524637975
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.0016303917539226337
Access to electricity (% of population),0.0014529674103599564
"Personal remittances, received (% of GDP)",0.0014409458691382782
GDP per capita (current US$),0.0011357582756653744
Domestic credit to private sector (% of GDP),0.0010490348268423714
"Agriculture, forestry, and fishing, value added (% of GDP)",0.0008600418300238823
Employment in agriculture (% of total employment) (modeled ILO estimate),0.0007867964788399266
GDP per capita growth (annual %),0.000709414177741878
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.0006199867756035788
Gross savings (% of GDP),0.0005696182043547811
Adjusted net national income per capita (annual % growth),0.0005471257742638064
"Current health expenditure per capita, PPP (current international $)",0.0004853297202874373
Fixed broadband subscriptions (per 100 people),0.0003022571039507208
Expense (% of GDP),0.00027503260067895805
Compensation of employees (% of expense),0.0002629254901463005
Public and publicly guaranteed debt service (% of GNI),0.0002586548803426801
Gross savings (% of GNI),0.0001841520464060033
"Inflation, consumer prices (annual %)",0.00018155428865620712
Armed forces personnel (% of total labor force),0.00016088747835011009
Rule of Law: Estimate,0.00014800683811163555
"GDP per capita, PPP (current international $)",0.00011585746985948998
"Personal remittances, received (current US$)",8.377218581090446e-05
Gross capital formation (% of GDP),7.210990097740813e-05
"Government expenditure on education, total (% of government expenditure)",6.48437680356333e-05
"Labor force, total",6.469523281789821e-05
"Employment to population ratio, 15+, total (%) (national estimate)",5.090287367435089e-05
Population ages 65 and above (% of total population),4.0698649668557736e-05
Population ages 0-14 (% of total population),3.69734538032988e-05
Domestic general government health expenditure (% of current health expenditure),3.53065474659078e-05
GNI growth (annual %),3.326661817565999e-05
"Government expenditure on education, total (% of GDP)",2.815772540323141e-05
Income share held by highest 10%,2.4233041633048964e-05
Individuals using the Internet (% of population),1.9381929335335042e-05
External health expenditure (% of current health expenditure),1.6165423151904618e-05
Goods and services expense (% of expense),1.4859203077816546e-05
"Net intake rate in grade 1, female (% of official school-age population)",1.4171697212770174e-05
"Manufacturing, value added (% of GDP)",1.3715470492763813e-05
"Unemployment, total (% of total labor force) (national estimate)",1.004492797041816e-05
"Domestic private health expenditure per capita, PPP (current international $)",8.593481066694491e-06
"Services, value added (% of GDP)",8.237715262894344e-06
CPIA macroeconomic management rating (1=low to 6=high),4.943587449442746e-06
CPIA fiscal policy rating (1=low to 6=high),3.1144481145036746e-06
"External health expenditure per capita, PPP (current international $)",2.8724794533057174e-06
Income share held by lowest 20%,7.187187956527301e-09
"Human capital index (HCI), upper bound (scale 0-1)",0.0
"Literacy rate, adult male (% of males ages 15 and above)",0.0
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",0.0
