,importance
Population density (people per sq. km of land area),0.1896781326739492
Armed forces personnel (% of total labor force),0.1238633400983426
Individuals using the Internet (% of population),0.06258740297478001
"Labor force, female (% of total labor force)",0.061945631536814705
Population ages 65 and above (% of total population),0.05806308835031791
Urban population (% of total population),0.051922222149118076
Employment in industry (% of total employment) (modeled ILO estimate),0.048759544569389884
"Government expenditure on education, total (% of GDP)",0.045094634777122014
Proportion of seats held by women in national parliaments (%),0.04376114406858817
Gross savings (% of GDP),0.03026401398105183
"Labor force, total",0.028598653351807897
"Personal remittances, received (% of GDP)",0.02294974237104908
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.02240254058290836
Expense (% of GDP),0.02141257384007353
"Out-of-pocket expenditure per capita, PPP (current international $)",0.02129899028153507
"Compulsory education, duration (years)",0.017066213911756424
"Unemployment, total (% of total labor force) (national estimate)",0.014272701103463827
Out-of-pocket expenditure (% of current health expenditure),0.012369317788983807
Voice and Accountability: Estimate,0.010077868814574306
Gross capital formation (% of GDP),0.008888955835105678
Fixed telephone subscriptions (per 100 people),0.00828737857075317
Population ages 15-64 (% of total population),0.008230382173512562
"Agriculture, forestry, and fishing, value added (current US$)",0.007940031600105962
Access to electricity (% of population),0.006827535359647455
"Personal remittances, received (current US$)",0.00626986877015025
"GDP per capita, PPP (current international $)",0.005932769124884085
Domestic general government health expenditure (% of general government expenditure),0.004578814271904038
Population growth (annual %),0.004477607732202556
"School enrollment, secondary (% gross)",0.003935512806867052
"Manufacturing, value added (% of GDP)",0.0038711392414256403
Current health expenditure (% of GDP),0.0030078709421208424
Domestic general government health expenditure (% of current health expenditure),0.0029632850421811596
Domestic credit to private sector (% of GDP),0.0026526826702288693
Gross savings (% of GNI),0.002489497107281891
Population ages 0-14 (% of total population),0.0021923389600927525
"External health expenditure per capita, PPP (current international $)",0.002180663176873978
Income share held by highest 10%,0.0019474326481439513
Final consumption expenditure (% of GDP),0.001775793583925932
Political Stability and Absence of Violence/Terrorism: Estimate,0.001664336981755092
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.001657332070874331
"School enrollment, tertiary (% gross)",0.0014447187726206873
"Inflation, consumer prices (annual %)",0.001366988750432339
Employment in agriculture (% of total employment) (modeled ILO estimate),0.0013660145157546313
Compensation of employees (% of expense),0.0013403773712482364
GDP per capita growth (annual %),0.0012376465551720932
"Current health expenditure per capita, PPP (current international $)",0.0012025652710813783
"Agriculture, forestry, and fishing, value added (% of GDP)",0.0011978517670264246
"Industry (including construction), value added (% of GDP)",0.0011954050003991604
GDP (current US$),0.0011720624623875419
"Employment to population ratio, 15+, total (%) (national estimate)",0.0011482343760318683
"Services, value added (% of GDP)",0.0010828782883363542
GDP per capita (current US$),0.0009433076090720574
General government final consumption expenditure (% of GDP),0.0009233479763587401
"Domestic private health expenditure per capita, PPP (current international $)",0.0007053825118461165
Fixed broadband subscriptions (per 100 people),0.0006584226065141685
"Armed forces personnel, total",0.0004872376967486671
"Net bilateral aid flows from DAC donors, Total (current US$)",0.00048549966355789545
"Human capital index (HCI), upper bound (scale 0-1)",0.00043676287528612227
"Government expenditure on education, total (% of government expenditure)",0.0004224638263336058
Income share held by lowest 20%,0.00041945391250672976
"School enrollment, primary (% gross)",0.0004085782493076238
Public and publicly guaranteed debt service (% of GNI),0.0003864223757900107
"Net intake rate in grade 1, female (% of official school-age population)",0.000362323745165975
GNI growth (annual %),0.0002678268947513756
Domestic general government health expenditure (% of GDP),0.0002532977295315666
Adjusted net national income per capita (annual % growth),0.0002275137115150339
External health expenditure (% of current health expenditure),0.00022700282481327296
"Population, female (% of total population)",0.00021419341010302692
"Literacy rate, adult male (% of males ages 15 and above)",0.0001942339930735833
Goods and services expense (% of expense),3.484725048944995e-05
Rule of Law: Estimate,2.815211108028239e-05
CPIA macroeconomic management rating (1=low to 6=high),0.0
CPIA fiscal policy rating (1=low to 6=high),0.0
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",0.0
