,importance
Population density (people per sq. km of land area),0.7157968480726375
"Manufacturing, value added (% of GDP)",0.10295807954538158
"Labor force, female (% of total labor force)",0.0674050336481103
Population ages 15-64 (% of total population),0.021951432845285945
Fixed telephone subscriptions (per 100 people),0.017173067112235707
"Population, female (% of total population)",0.010440222502957648
Population growth (annual %),0.010198508534168626
Individuals using the Internet (% of population),0.009130177356085671
Current health expenditure (% of GDP),0.008476712881578873
Domestic general government health expenditure (% of current health expenditure),0.005523715454592844
"School enrollment, secondary (% gross)",0.0043264084686307665
"School enrollment, primary (% gross)",0.004072393736978602
Employment in agriculture (% of total employment) (modeled ILO estimate),0.0022895344270537094
Employment in industry (% of total employment) (modeled ILO estimate),0.0021362979843585614
Final consumption expenditure (% of GDP),0.001763732291635722
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.0013408563160773204
"Industry (including construction), value added (% of GDP)",0.0012732554548484877
CPIA fiscal policy rating (1=low to 6=high),0.0012536176965868122
Domestic general government health expenditure (% of GDP),0.0011538887019544805
Voice and Accountability: Estimate,0.0009703728898468546
"Unemployment, total (% of total labor force) (national estimate)",0.0008577725876880056
"Services, value added (% of GDP)",0.0007695150127174025
Domestic credit to private sector (% of GDP),0.0007411266670600626
"Out-of-pocket expenditure per capita, PPP (current international $)",0.0007317857527511042
"Domestic private health expenditure per capita, PPP (current international $)",0.0006742177826938911
Goods and services expense (% of expense),0.0005484722359190896
GDP (current US$),0.00046223246706710925
"Inflation, consumer prices (annual %)",0.00041359588176295286
"Net bilateral aid flows from DAC donors, Total (current US$)",0.0003988708321512891
Out-of-pocket expenditure (% of current health expenditure),0.0003803783384062615
Domestic general government health expenditure (% of general government expenditure),0.00036281882147412055
"Agriculture, forestry, and fishing, value added (% of GDP)",0.00035704887404390317
GDP per capita growth (annual %),0.0003436185102272156
Urban population (% of total population),0.0003388454697644873
"Armed forces personnel, total",0.0003223507818828943
General government final consumption expenditure (% of GDP),0.000317875902287971
"Labor force, total",0.0002804113238526325
"Employment to population ratio, 15+, total (%) (national estimate)",0.00017124292432572934
Political Stability and Absence of Violence/Terrorism: Estimate,0.0001697711350096452
Access to electricity (% of population),0.00015875878692607752
External health expenditure (% of current health expenditure),0.00015861356067498747
"Government expenditure on education, total (% of government expenditure)",0.00015126742336976122
"Government expenditure on education, total (% of GDP)",0.0001344937808140387
"School enrollment, tertiary (% gross)",0.00013255937826376883
Public and publicly guaranteed debt service (% of GNI),0.00012731586395808758
Fixed broadband subscriptions (per 100 people),9.315399705420024e-05
Compensation of employees (% of expense),8.284227565768243e-05
GDP per capita (current US$),7.981100007150296e-05
"GDP per capita, PPP (current international $)",7.391426610863334e-05
"External health expenditure per capita, PPP (current international $)",6.134744501422314e-05
Population ages 0-14 (% of total population),6.0542662024138686e-05
Expense (% of GDP),4.579683513315866e-05
Armed forces personnel (% of total labor force),4.5514590452431636e-05
"Personal remittances, received (current US$)",4.228680767888526e-05
GNI growth (annual %),4.0997775910024986e-05
Gross savings (% of GNI),4.0388338105470555e-05
Income share held by highest 10%,3.399068133272664e-05
Rule of Law: Estimate,3.1089188285099094e-05
"Agriculture, forestry, and fishing, value added (current US$)",2.5045830136923017e-05
"Personal remittances, received (% of GDP)",2.0710495581590908e-05
Gross capital formation (% of GDP),2.0481181314853742e-05
Population ages 65 and above (% of total population),1.7904669957307262e-05
"Current health expenditure per capita, PPP (current international $)",1.304228158360657e-05
"Net intake rate in grade 1, female (% of official school-age population)",1.124828503075963e-05
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",9.130682978153928e-06
Proportion of seats held by women in national parliaments (%),3.6956586193293734e-06
Gross savings (% of GDP),3.652118067030511e-06
Adjusted net national income per capita (annual % growth),2.0782886891085e-06
Income share held by lowest 20%,1.0340440477523406e-06
"Literacy rate, adult male (% of males ages 15 and above)",8.760993721956636e-07
"Human capital index (HCI), upper bound (scale 0-1)",2.4185278443883485e-07
CPIA macroeconomic management rating (1=low to 6=high),6.663290999794638e-08
"Compulsory education, duration (years)",0.0
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",0.0
