,importance
Access to electricity (% of population),0.5199425758685398
Out-of-pocket expenditure (% of current health expenditure),0.11002816529591149
Final consumption expenditure (% of GDP),0.09382729494566938
"Out-of-pocket expenditure per capita, PPP (current international $)",0.06549874021795314
"Net bilateral aid flows from DAC donors, Total (current US$)",0.03414496184442143
Employment in agriculture (% of total employment) (modeled ILO estimate),0.03099186277133905
Individuals using the Internet (% of population),0.028242917232068072
"Current health expenditure per capita, PPP (current international $)",0.02459786236906104
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.01999894359631138
Population density (people per sq. km of land area),0.012821640870712908
"School enrollment, tertiary (% gross)",0.005309700052487264
"Population, female (% of total population)",0.005227821409586818
"Domestic private health expenditure per capita, PPP (current international $)",0.00492156455617348
Domestic credit to private sector (% of GDP),0.004489989479265301
Population ages 0-14 (% of total population),0.004339586191226776
"Labor force, total",0.0037303256480601967
Population ages 15-64 (% of total population),0.003503939745126835
Population ages 65 and above (% of total population),0.002987468013602945
Voice and Accountability: Estimate,0.0022562488808613467
"Labor force, female (% of total labor force)",0.002142547831941417
Domestic general government health expenditure (% of current health expenditure),0.0021150715292721713
Gross capital formation (% of GDP),0.0019167003457548361
Urban population (% of total population),0.001668222291091105
"Unemployment, total (% of total labor force) (national estimate)",0.0015651791750721882
"Manufacturing, value added (% of GDP)",0.0014716245276078183
"Armed forces personnel, total",0.0014675983332119594
Rule of Law: Estimate,0.0010996601244540106
"Personal remittances, received (current US$)",0.0009161074714168052
GDP per capita (current US$),0.0008938698819552822
"Services, value added (% of GDP)",0.0008308605955363254
"Agriculture, forestry, and fishing, value added (current US$)",0.0007578081220502521
"Agriculture, forestry, and fishing, value added (% of GDP)",0.0007149319716911254
Domestic general government health expenditure (% of general government expenditure),0.0006824283241921093
Population growth (annual %),0.0006099531483200596
"School enrollment, primary (% gross)",0.0006017081344193629
Political Stability and Absence of Violence/Terrorism: Estimate,0.0004858839076562891
"School enrollment, secondary (% gross)",0.0004754295343633564
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.00042787493263742846
GNI growth (annual %),0.0003883531422204983
GDP (current US$),0.00036099974465184505
General government final consumption expenditure (% of GDP),0.0003081644650962178
Compensation of employees (% of expense),0.0002927303691841692
"Employment to population ratio, 15+, total (%) (national estimate)",0.00020185384963052635
"Net intake rate in grade 1, female (% of official school-age population)",0.00013766858537055958
"GDP per capita, PPP (current international $)",0.00010513546340621754
External health expenditure (% of current health expenditure),9.558133077546479e-05
"Inflation, consumer prices (annual %)",6.276049803009812e-05
Domestic general government health expenditure (% of GDP),6.102728119300365e-05
Armed forces personnel (% of total labor force),5.1343408913163746e-05
Adjusted net national income per capita (annual % growth),2.6010346930374026e-05
Employment in industry (% of total employment) (modeled ILO estimate),2.4542462053584328e-05
Fixed broadband subscriptions (per 100 people),2.332279094598053e-05
Expense (% of GDP),2.0526943796854633e-05
Fixed telephone subscriptions (per 100 people),2.038776798727028e-05
"Personal remittances, received (% of GDP)",1.9955159004544616e-05
Gross savings (% of GDP),1.6247675151892467e-05
GDP per capita growth (annual %),1.5578205030602653e-05
Proportion of seats held by women in national parliaments (%),1.09863433328997e-05
Public and publicly guaranteed debt service (% of GNI),1.0230409171606298e-05
Current health expenditure (% of GDP),9.140741850654255e-06
Gross savings (% of GNI),8.96751320059831e-06
"Literacy rate, adult male (% of males ages 15 and above)",5.663888408049345e-06
"Government expenditure on education, total (% of GDP)",5.3661807387690845e-06
"Government expenditure on education, total (% of government expenditure)",3.868102214788228e-06
"Industry (including construction), value added (% of GDP)",2.552843264067307e-06
"Human capital index (HCI), upper bound (scale 0-1)",2.5007444219516116e-06
"External health expenditure per capita, PPP (current international $)",2.240250211331305e-06
Goods and services expense (% of expense),9.768532898247615e-07
"Compulsory education, duration (years)",2.4746950009448183e-07
CPIA macroeconomic management rating (1=low to 6=high),0.0
CPIA fiscal policy rating (1=low to 6=high),0.0
Income share held by highest 10%,0.0
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",0.0
Income share held by lowest 20%,0.0
