,importance
Domestic general government health expenditure (% of current health expenditure),0.5881273497616883
"Manufacturing, value added (% of GDP)",0.1677795574392296
Proportion of seats held by women in national parliaments (%),0.0796973821307262
Domestic general government health expenditure (% of general government expenditure),0.0517303771631879
"Population, female (% of total population)",0.0411428086971312
"Agriculture, forestry, and fishing, value added (current US$)",0.027151916753909384
GDP per capita growth (annual %),0.01706631388468562
"Labor force, female (% of total labor force)",0.010369966408301057
"Unemployment, total (% of total labor force) (national estimate)",0.003867633418984505
Expense (% of GDP),0.0035046000623504122
Adjusted net national income per capita (annual % growth),0.0026106525578171837
Population ages 65 and above (% of total population),0.0014904119905995022
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.0010427162582983796
Political Stability and Absence of Violence/Terrorism: Estimate,0.0008019427281449978
"Domestic private health expenditure per capita, PPP (current international $)",0.0007437756574979428
"Armed forces personnel, total",0.0006446055698320381
GNI growth (annual %),0.0006307789710710261
Domestic general government health expenditure (% of GDP),0.0004119372872293859
Individuals using the Internet (% of population),0.00024792521916455805
Population growth (annual %),0.00024411098502260796
Goods and services expense (% of expense),0.00016115139245775548
Rule of Law: Estimate,0.00013731242907707175
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.0001029843218074481
"Employment to population ratio, 15+, total (%) (national estimate)",7.723824135253714e-05
GDP per capita (current US$),7.151689014428704e-05
"Net intake rate in grade 1, female (% of official school-age population)",4.577080969201848e-05
"Personal remittances, received (% of GDP)",2.5746080451862024e-05
Domestic credit to private sector (% of GDP),2.5746080451658763e-05
Urban population (% of total population),1.1442702424630725e-05
Fixed broadband subscriptions (per 100 people),1.1442702423614411e-05
Population ages 15-64 (% of total population),1.144270242300462e-05
Population ages 0-14 (% of total population),1.1442702422394831e-05
"Personal remittances, received (current US$)",0.0
"Net bilateral aid flows from DAC donors, Total (current US$)",0.0
Compensation of employees (% of expense),0.0
"Inflation, consumer prices (annual %)",0.0
Access to electricity (% of population),0.0
Population density (people per sq. km of land area),0.0
Public and publicly guaranteed debt service (% of GNI),0.0
"Industry (including construction), value added (% of GDP)",0.0
CPIA macroeconomic management rating (1=low to 6=high),0.0
CPIA fiscal policy rating (1=low to 6=high),0.0
"Compulsory education, duration (years)",0.0
"School enrollment, primary (% gross)",0.0
Gross savings (% of GDP),0.0
"Literacy rate, adult male (% of males ages 15 and above)",0.0
GDP (current US$),0.0
"Services, value added (% of GDP)",0.0
"GDP per capita, PPP (current international $)",0.0
Gross savings (% of GNI),0.0
Fixed telephone subscriptions (per 100 people),0.0
"Human capital index (HCI), upper bound (scale 0-1)",0.0
Armed forces personnel (% of total labor force),0.0
General government final consumption expenditure (% of GDP),0.0
Gross capital formation (% of GDP),0.0
Final consumption expenditure (% of GDP),0.0
"Agriculture, forestry, and fishing, value added (% of GDP)",0.0
"School enrollment, secondary (% gross)",0.0
Income share held by highest 10%,0.0
"Out-of-pocket expenditure per capita, PPP (current international $)",0.0
Out-of-pocket expenditure (% of current health expenditure),0.0
"External health expenditure per capita, PPP (current international $)",0.0
"Government expenditure on education, total (% of GDP)",0.0
Current health expenditure (% of GDP),0.0
"Current health expenditure per capita, PPP (current international $)",0.0
External health expenditure (% of current health expenditure),0.0
"School enrollment, tertiary (% gross)",0.0
"Government expenditure on education, total (% of government expenditure)",0.0
"Labor force, total",0.0
Employment in agriculture (% of total employment) (modeled ILO estimate),0.0
Income share held by lowest 20%,0.0
Employment in industry (% of total employment) (modeled ILO estimate),0.0
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",0.0
Voice and Accountability: Estimate,0.0
