,importance
GDP (current US$),0.5886088638591015
Urban population (% of total population),0.25938071409440006
Population density (people per sq. km of land area),0.06016812288517919
Domestic general government health expenditure (% of current health expenditure),0.033145718243608416
Employment in agriculture (% of total employment) (modeled ILO estimate),0.020154332094180615
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.013741368240265901
"GDP per capita, PPP (current international $)",0.008008869621598195
"Agriculture, forestry, and fishing, value added (current US$)",0.004706397841349314
Access to electricity (% of population),0.0018083188905229015
Population growth (annual %),0.001466909815468997
Employment in industry (% of total employment) (modeled ILO estimate),0.0013787244607336659
Population ages 0-14 (% of total population),0.0012413999846286983
"Personal remittances, received (% of GDP)",0.000894131824248105
"Domestic private health expenditure per capita, PPP (current international $)",0.0007003279007846728
"Inflation, consumer prices (annual %)",0.0006197833116433889
Goods and services expense (% of expense),0.00048728053268744633
Individuals using the Internet (% of population),0.0004687426709668016
"External health expenditure per capita, PPP (current international $)",0.0004180672577205922
Domestic general government health expenditure (% of GDP),0.00032188170626064696
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.0003185546951034742
"Population, female (% of total population)",0.0002987454418780361
Fixed broadband subscriptions (per 100 people),0.00025893762236780214
"School enrollment, secondary (% gross)",0.00019458236163740646
Domestic general government health expenditure (% of general government expenditure),0.0001600402437366906
"Manufacturing, value added (% of GDP)",0.0001430775343082804
Adjusted net national income per capita (annual % growth),0.0001351324249867062
Out-of-pocket expenditure (% of current health expenditure),7.301267579198721e-05
"Services, value added (% of GDP)",7.069275012749153e-05
"Human capital index (HCI), upper bound (scale 0-1)",6.0535827281782035e-05
"Labor force, female (% of total labor force)",5.879029361764217e-05
"School enrollment, primary (% gross)",5.669721069908463e-05
"Employment to population ratio, 15+, total (%) (national estimate)",5.513949753366938e-05
GDP per capita growth (annual %),5.234801473341731e-05
"Labor force, total",4.6293041467474974e-05
External health expenditure (% of current health expenditure),4.2150739031843285e-05
"Armed forces personnel, total",3.9856351998958355e-05
"Industry (including construction), value added (% of GDP)",3.355703492106386e-05
"Agriculture, forestry, and fishing, value added (% of GDP)",3.196366060606661e-05
"Current health expenditure per capita, PPP (current international $)",2.710835774614406e-05
Rule of Law: Estimate,2.463361889597138e-05
Fixed telephone subscriptions (per 100 people),1.7438841048821612e-05
"Government expenditure on education, total (% of government expenditure)",1.6659949137051795e-05
Gross savings (% of GDP),1.3551579567480977e-05
"Literacy rate, adult male (% of males ages 15 and above)",1.3100899970745852e-05
Political Stability and Absence of Violence/Terrorism: Estimate,7.006128246660365e-06
"Government expenditure on education, total (% of GDP)",5.71527311079541e-06
"Personal remittances, received (current US$)",5.278589774875161e-06
"Unemployment, total (% of total labor force) (national estimate)",5.146924950375091e-06
CPIA fiscal policy rating (1=low to 6=high),2.540321329150764e-06
Gross capital formation (% of GDP),2.2374022568731754e-06
Voice and Accountability: Estimate,2.0982394355120967e-06
Population ages 65 and above (% of total population),1.9434807807458674e-06
Income share held by lowest 20%,1.7995192414306605e-06
GNI growth (annual %),1.3916282133833465e-06
"Net bilateral aid flows from DAC donors, Total (current US$)",9.087572169196337e-07
Population ages 15-64 (% of total population),7.018125041806149e-07
"Net intake rate in grade 1, female (% of official school-age population)",3.1491586722658296e-07
General government final consumption expenditure (% of GDP),1.4516121881573662e-07
Public and publicly guaranteed debt service (% of GNI),1.0797115449239902e-07
"Out-of-pocket expenditure per capita, PPP (current international $)",7.198076965712412e-08
Current health expenditure (% of GDP),1.7995192414920348e-08
GDP per capita (current US$),1.799519241236308e-08
Compensation of employees (% of expense),0.0
Domestic credit to private sector (% of GDP),0.0
Expense (% of GDP),0.0
CPIA macroeconomic management rating (1=low to 6=high),0.0
"Compulsory education, duration (years)",0.0
Gross savings (% of GNI),0.0
Final consumption expenditure (% of GDP),0.0
Armed forces personnel (% of total labor force),0.0
Income share held by highest 10%,0.0
Proportion of seats held by women in national parliaments (%),0.0
"School enrollment, tertiary (% gross)",0.0
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",0.0
