,importance
Final consumption expenditure (% of GDP),0.26761435001873235
"Population, female (% of total population)",0.13072767103520203
Domestic general government health expenditure (% of GDP),0.11068669474837184
"Agriculture, forestry, and fishing, value added (current US$)",0.07192222112565674
"Manufacturing, value added (% of GDP)",0.04893571616960464
"Personal remittances, received (% of GDP)",0.037254483164999345
Out-of-pocket expenditure (% of current health expenditure),0.034464732105799804
"GDP per capita, PPP (current international $)",0.034228720122030855
"School enrollment, primary (% gross)",0.031881613424276256
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.02146739509441561
Rule of Law: Estimate,0.01979117925612165
Employment in industry (% of total employment) (modeled ILO estimate),0.01978875006564106
"Labor force, female (% of total labor force)",0.014363654332264256
"Labor force, total",0.013297944934982922
Population density (people per sq. km of land area),0.012893566314234241
Voice and Accountability: Estimate,0.012610033849427275
Proportion of seats held by women in national parliaments (%),0.00908087135931613
Domestic credit to private sector (% of GDP),0.008295660462950584
"Inflation, consumer prices (annual %)",0.006654579502381803
Population ages 0-14 (% of total population),0.006381918263831561
"Industry (including construction), value added (% of GDP)",0.006342123614456451
"Armed forces personnel, total",0.006278494783421916
"Net bilateral aid flows from DAC donors, Total (current US$)",0.004902524206521538
Population growth (annual %),0.004787868576483818
"Compulsory education, duration (years)",0.004547369138559866
Urban population (% of total population),0.004512583417222823
GDP (current US$),0.004214480580461577
Employment in agriculture (% of total employment) (modeled ILO estimate),0.0038691533784975056
Domestic general government health expenditure (% of current health expenditure),0.0038403740963186446
Armed forces personnel (% of total labor force),0.0036595107621786964
GDP per capita (current US$),0.003603750395101772
Access to electricity (% of population),0.0034745088175749303
Gross savings (% of GDP),0.0033936044784181442
"Out-of-pocket expenditure per capita, PPP (current international $)",0.003211490191970231
Public and publicly guaranteed debt service (% of GNI),0.0031386531765862
Adjusted net national income per capita (annual % growth),0.002676741642025715
"School enrollment, secondary (% gross)",0.002508681746845502
Population ages 15-64 (% of total population),0.002404579719960755
"Current health expenditure per capita, PPP (current international $)",0.002394556573086479
Population ages 65 and above (% of total population),0.0022973960186819394
GDP per capita growth (annual %),0.001938459649414857
Domestic general government health expenditure (% of general government expenditure),0.0014564864202105368
"Agriculture, forestry, and fishing, value added (% of GDP)",0.0013147406475544476
Compensation of employees (% of expense),0.000889261539205389
"Personal remittances, received (current US$)",0.0007059405432705854
"School enrollment, tertiary (% gross)",0.000644099036428861
Current health expenditure (% of GDP),0.000557260575234833
"Domestic private health expenditure per capita, PPP (current international $)",0.000500222705985774
"Government expenditure on education, total (% of government expenditure)",0.00048567038746108774
General government final consumption expenditure (% of GDP),0.00044039899931604327
Expense (% of GDP),0.00040805247016685017
GNI growth (annual %),0.0003340037370406975
Fixed broadband subscriptions (per 100 people),0.0003316340956182387
Gross capital formation (% of GDP),0.0002538417259128853
"Government expenditure on education, total (% of GDP)",0.00024788349844380285
Fixed telephone subscriptions (per 100 people),0.00020078033163954648
Political Stability and Absence of Violence/Terrorism: Estimate,0.00019610065322108667
Goods and services expense (% of expense),0.00018616464983947862
Individuals using the Internet (% of population),9.347601306084921e-05
External health expenditure (% of current health expenditure),8.808861216368849e-05
"Services, value added (% of GDP)",8.75916563072195e-05
CPIA fiscal policy rating (1=low to 6=high),4.622907371345332e-05
CPIA macroeconomic management rating (1=low to 6=high),4.4455483639776624e-05
"Unemployment, total (% of total labor force) (national estimate)",4.3652660108013235e-05
"Employment to population ratio, 15+, total (%) (national estimate)",2.857887465882069e-05
"Literacy rate, adult male (% of males ages 15 and above)",1.7937099054624916e-05
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",1.627026348708447e-05
"External health expenditure per capita, PPP (current international $)",1.55410502218771e-05
Gross savings (% of GNI),9.443087180922843e-06
"Human capital index (HCI), upper bound (scale 0-1)",9.423731454157432e-06
"Net intake rate in grade 1, female (% of official school-age population)",3.3316211809442344e-06
Income share held by lowest 20%,2.189885832406639e-06
Income share held by highest 10%,1.5104597151745246e-06
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",1.078097640566648e-06
