,importance
"Labor force, female (% of total labor force)",0.1684760167350662
Population density (people per sq. km of land area),0.11839753953623476
"Population, female (% of total population)",0.11260808151074725
Domestic general government health expenditure (% of current health expenditure),0.07813884877211803
"Armed forces personnel, total",0.06364722879609463
Urban population (% of total population),0.05211266079569216
Out-of-pocket expenditure (% of current health expenditure),0.04360615763545314
"External health expenditure per capita, PPP (current international $)",0.03551801261247778
"Manufacturing, value added (% of GDP)",0.03346730561856912
"Net bilateral aid flows from DAC donors, Total (current US$)",0.03207271056783606
"Labor force, total",0.026529430744910376
Population ages 0-14 (% of total population),0.020325545241297503
Compensation of employees (% of expense),0.017849208947730424
GDP (current US$),0.016365456518536194
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.014819599528517647
Population ages 15-64 (% of total population),0.0145808471782847
Employment in industry (% of total employment) (modeled ILO estimate),0.013923184774377645
Population growth (annual %),0.010971938462842574
External health expenditure (% of current health expenditure),0.010121472316545047
Domestic general government health expenditure (% of GDP),0.010106960463806712
Armed forces personnel (% of total labor force),0.007385104091181158
Voice and Accountability: Estimate,0.007374608090343766
"Personal remittances, received (current US$)",0.006613287308711957
Employment in agriculture (% of total employment) (modeled ILO estimate),0.006435805519108499
Proportion of seats held by women in national parliaments (%),0.005382217815528014
"Services, value added (% of GDP)",0.004716053630623173
General government final consumption expenditure (% of GDP),0.0043295494272270795
Final consumption expenditure (% of GDP),0.0041513394628345515
"Domestic private health expenditure per capita, PPP (current international $)",0.004134230610306722
Individuals using the Internet (% of population),0.003826246802309062
Current health expenditure (% of GDP),0.0036298324530106463
"Agriculture, forestry, and fishing, value added (current US$)",0.0033552767975380178
"Compulsory education, duration (years)",0.003293327132976141
"Unemployment, total (% of total labor force) (national estimate)",0.0030770065640374805
"Inflation, consumer prices (annual %)",0.0029887559930146705
Gross capital formation (% of GDP),0.002944789696090629
Domestic credit to private sector (% of GDP),0.002857101460693168
Goods and services expense (% of expense),0.002477211200652808
Access to electricity (% of population),0.002437815991054392
"School enrollment, tertiary (% gross)",0.0023955595438362237
Rule of Law: Estimate,0.0023551161943341334
Population ages 65 and above (% of total population),0.002234550880943581
"School enrollment, primary (% gross)",0.002206716982458402
GDP per capita (current US$),0.0021783168577119818
"School enrollment, secondary (% gross)",0.0019949679851335106
"Personal remittances, received (% of GDP)",0.001452005519310059
"Out-of-pocket expenditure per capita, PPP (current international $)",0.0011334289252442765
Fixed telephone subscriptions (per 100 people),0.0009216177939717396
"GDP per capita, PPP (current international $)",0.0008066825125919425
"Government expenditure on education, total (% of government expenditure)",0.0007940431067931897
"Industry (including construction), value added (% of GDP)",0.0006472056675937096
"Government expenditure on education, total (% of GDP)",0.0006245493191545973
"Employment to population ratio, 15+, total (%) (national estimate)",0.0006152946952038657
Gross savings (% of GDP),0.0005141564405352103
Domestic general government health expenditure (% of general government expenditure),0.0004428968361595794
Political Stability and Absence of Violence/Terrorism: Estimate,0.0004369099578869065
Fixed broadband subscriptions (per 100 people),0.00042607809031856126
Public and publicly guaranteed debt service (% of GNI),0.00042545724148142217
Expense (% of GDP),0.0003896415117731923
"Agriculture, forestry, and fishing, value added (% of GDP)",0.00038206060126856433
"Current health expenditure per capita, PPP (current international $)",0.0002087452512953778
Gross savings (% of GNI),0.00020641785551714316
Income share held by highest 10%,0.000199362922454953
Adjusted net national income per capita (annual % growth),0.00018903047074260654
GNI growth (annual %),0.0001859914252327733
GDP per capita growth (annual %),0.00015059440286186923
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.00014902068335277574
"Human capital index (HCI), upper bound (scale 0-1)",9.255639493667722e-05
"Net intake rate in grade 1, female (% of official school-age population)",8.325501015410708e-05
Income share held by lowest 20%,6.088258085236975e-05
CPIA macroeconomic management rating (1=low to 6=high),2.4710540911713775e-05
CPIA fiscal policy rating (1=low to 6=high),1.2917944620247825e-05
"Literacy rate, adult male (% of males ages 15 and above)",1.0804364733032703e-05
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",6.866842500620838e-07
