,importance
"Population, female (% of total population)",0.3807468261719191
"Agriculture, forestry, and fishing, value added (% of GDP)",0.1614783730019953
Compensation of employees (% of expense),0.10926029122973814
"Manufacturing, value added (% of GDP)",0.06872191851373162
Access to electricity (% of population),0.06560360565080375
Employment in agriculture (% of total employment) (modeled ILO estimate),0.028484261688145524
Population ages 0-14 (% of total population),0.018449689084563643
"Labor force, female (% of total labor force)",0.017620446766300576
Population density (people per sq. km of land area),0.016771552169836473
GDP (current US$),0.014185339223211245
"School enrollment, secondary (% gross)",0.01240090052135333
"Government expenditure on education, total (% of government expenditure)",0.010206253237225838
Voice and Accountability: Estimate,0.009030685124483583
Population ages 65 and above (% of total population),0.006487149640978346
"Armed forces personnel, total",0.006249337141163947
Out-of-pocket expenditure (% of current health expenditure),0.0060763788639414005
"Agriculture, forestry, and fishing, value added (current US$)",0.0058004113942799
Expense (% of GDP),0.005260312768524513
Population ages 15-64 (% of total population),0.005221371814925061
"Current health expenditure per capita, PPP (current international $)",0.0050129583420035016
Armed forces personnel (% of total labor force),0.004358812087655856
"School enrollment, primary (% gross)",0.004079086159691502
"Personal remittances, received (% of GDP)",0.0031381465236127275
"Out-of-pocket expenditure per capita, PPP (current international $)",0.0030113501444677206
"Domestic private health expenditure per capita, PPP (current international $)",0.002925493561522491
Domestic credit to private sector (% of GDP),0.0024269402321350727
Proportion of seats held by women in national parliaments (%),0.0022808596116063715
"Unemployment, total (% of total labor force) (national estimate)",0.002248494392236167
Population growth (annual %),0.002058181085943808
Final consumption expenditure (% of GDP),0.0018693715357813144
Gross capital formation (% of GDP),0.0018132852267041502
"Inflation, consumer prices (annual %)",0.0015535458303748966
"Industry (including construction), value added (% of GDP)",0.0014622764645178155
Employment in industry (% of total employment) (modeled ILO estimate),0.0014531875099700277
Urban population (% of total population),0.001289723849131116
"Personal remittances, received (current US$)",0.0012325278615426232
Domestic general government health expenditure (% of GDP),0.00118363393083257
"Government expenditure on education, total (% of GDP)",0.000979922210639753
Domestic general government health expenditure (% of current health expenditure),0.0007721566327680791
"Services, value added (% of GDP)",0.0006758192301166162
Domestic general government health expenditure (% of general government expenditure),0.0006423969891212302
"GDP per capita, PPP (current international $)",0.0006303351929561208
Fixed telephone subscriptions (per 100 people),0.0006243853787051902
"Employment to population ratio, 15+, total (%) (national estimate)",0.0006129434671988211
"School enrollment, tertiary (% gross)",0.0005347872814472442
"Net bilateral aid flows from DAC donors, Total (current US$)",0.0003361736062619481
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.00030569249171584083
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.00029505913202064525
GDP per capita (current US$),0.0002485787499393889
Rule of Law: Estimate,0.00022274627167557522
Political Stability and Absence of Violence/Terrorism: Estimate,0.0001953093990645748
Gross savings (% of GDP),0.0001644347377399271
Gross savings (% of GNI),0.00015628644091592497
GDP per capita growth (annual %),0.00014133304179017229
Adjusted net national income per capita (annual % growth),0.00013055931851516976
Income share held by lowest 20%,0.00012343808536056537
"Labor force, total",0.00010134226115594017
Current health expenditure (% of GDP),9.992811860484492e-05
External health expenditure (% of current health expenditure),9.964404407918363e-05
Individuals using the Internet (% of population),9.809729539192864e-05
Fixed broadband subscriptions (per 100 people),8.777341348410972e-05
"External health expenditure per capita, PPP (current international $)",8.10364822854174e-05
GNI growth (annual %),6.680605628574279e-05
General government final consumption expenditure (% of GDP),4.57533159186359e-05
Goods and services expense (% of expense),3.652702580088055e-05
Income share held by highest 10%,1.5460738967346367e-05
"Net intake rate in grade 1, female (% of official school-age population)",1.3075450750395724e-05
"Human capital index (HCI), upper bound (scale 0-1)",4.294202059492818e-06
"Literacy rate, adult male (% of males ages 15 and above)",2.8723309603454273e-06
Public and publicly guaranteed debt service (% of GNI),1.9412163335887756e-06
"Compulsory education, duration (years)",1.1203311831769834e-07
CPIA macroeconomic management rating (1=low to 6=high),0.0
CPIA fiscal policy rating (1=low to 6=high),0.0
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",0.0
