,importance
"Labor force, female (% of total labor force)",0.5006056561155334
"Population, female (% of total population)",0.14810576854977917
"Compulsory education, duration (years)",0.11523026774139747
Population density (people per sq. km of land area),0.08148333311860483
"Armed forces personnel, total",0.052410081914513615
Gross capital formation (% of GDP),0.03979832435011046
"Domestic private health expenditure per capita, PPP (current international $)",0.01697726431120368
External health expenditure (% of current health expenditure),0.006838658638379603
Fixed telephone subscriptions (per 100 people),0.006809214634299906
"Labor force, total",0.00496444275680382
Urban population (% of total population),0.004258349673956498
Population ages 65 and above (% of total population),0.004053486914232385
GDP per capita (current US$),0.0027673208074368467
Out-of-pocket expenditure (% of current health expenditure),0.002083639839903786
Domestic general government health expenditure (% of GDP),0.001764791295292229
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.001204667304853091
"Manufacturing, value added (% of GDP)",0.0010164945813343948
"Agriculture, forestry, and fishing, value added (% of GDP)",0.0010127901918965281
"Net intake rate in grade 1, female (% of official school-age population)",0.0008234479516409921
Domestic general government health expenditure (% of current health expenditure),0.0007936369614008343
"Services, value added (% of GDP)",0.0007824308195922233
Current health expenditure (% of GDP),0.0007172962502189422
"Current health expenditure per capita, PPP (current international $)",0.0005880653065414832
Public and publicly guaranteed debt service (% of GNI),0.0005433591790408682
"GDP per capita, PPP (current international $)",0.0004995739427332426
Political Stability and Absence of Violence/Terrorism: Estimate,0.000495274485430605
"Agriculture, forestry, and fishing, value added (current US$)",0.00041759902243621955
Expense (% of GDP),0.00036524482481101216
Domestic general government health expenditure (% of general government expenditure),0.0003530832986046871
Population growth (annual %),0.0003318336794561014
"Government expenditure on education, total (% of GDP)",0.0002622769304025075
Population ages 15-64 (% of total population),0.00022746439433636085
Individuals using the Internet (% of population),0.00018208693730224217
General government final consumption expenditure (% of GDP),0.0001766566115296872
GDP per capita growth (annual %),0.00014195250113576612
Goods and services expense (% of expense),0.00012123201922999547
"School enrollment, primary (% gross)",0.00011974324831432777
GDP (current US$),0.0001086346546976707
"Inflation, consumer prices (annual %)",9.458671808755446e-05
Employment in industry (% of total employment) (modeled ILO estimate),8.590834505409183e-05
Voice and Accountability: Estimate,6.7834994433637e-05
Employment in agriculture (% of total employment) (modeled ILO estimate),5.488449035766947e-05
Final consumption expenditure (% of GDP),4.1503496760651506e-05
"Net bilateral aid flows from DAC donors, Total (current US$)",3.1714333352999964e-05
Access to electricity (% of population),2.8828286911836085e-05
Domestic credit to private sector (% of GDP),2.496716008593061e-05
Adjusted net national income per capita (annual % growth),1.7627813418146024e-05
"Government expenditure on education, total (% of government expenditure)",1.714118453222287e-05
"Industry (including construction), value added (% of GDP)",1.568107760527216e-05
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",1.2666632851850177e-05
"School enrollment, tertiary (% gross)",1.1217543607656115e-05
"External health expenditure per capita, PPP (current international $)",1.0182235658583224e-05
"School enrollment, secondary (% gross)",8.412732519569574e-06
"Out-of-pocket expenditure per capita, PPP (current international $)",7.73887326434238e-06
Income share held by lowest 20%,7.676310164181174e-06
"Human capital index (HCI), upper bound (scale 0-1)",6.149001136469744e-06
Rule of Law: Estimate,4.933009334452348e-06
"Personal remittances, received (current US$)",4.804915508675755e-06
Population ages 0-14 (% of total population),3.602494953398725e-06
Armed forces personnel (% of total labor force),1.9485672353025713e-06
"Literacy rate, adult male (% of males ages 15 and above)",1.7296976196752052e-06
"Employment to population ratio, 15+, total (%) (national estimate)",7.143126773051379e-07
Gross savings (% of GNI),6.858859482861127e-07
Proportion of seats held by women in national parliaments (%),3.612057302756442e-07
Fixed broadband subscriptions (per 100 people),3.2719084083474995e-07
Gross savings (% of GDP),2.6896058972947315e-07
CPIA macroeconomic management rating (1=low to 6=high),1.469929148867881e-07
"Unemployment, total (% of total labor force) (national estimate)",1.3929907083843905e-07
"Personal remittances, received (% of GDP)",9.232612835627965e-08
Compensation of employees (% of expense),6.074087393180259e-08
GNI growth (annual %),1.1338296468789014e-08
Income share held by highest 10%,4.859269912334468e-09
CPIA fiscal policy rating (1=low to 6=high),1.214817478256253e-09
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",0.0
