,importance
"Labor force, female (% of total labor force)",0.18291691296240156
"Agriculture, forestry, and fishing, value added (current US$)",0.15682407057410153
Urban population (% of total population),0.13106819817146972
Rule of Law: Estimate,0.10493511596068875
Population density (people per sq. km of land area),0.055168107139941226
"Population, female (% of total population)",0.05337274401741081
GDP (current US$),0.04768547201295039
"Domestic private health expenditure per capita, PPP (current international $)",0.04336699086188017
Population ages 15-64 (% of total population),0.03639910033157721
"Compulsory education, duration (years)",0.03129069866894949
Voice and Accountability: Estimate,0.027697154856137343
Population ages 65 and above (% of total population),0.020977386005019912
Public and publicly guaranteed debt service (% of GNI),0.016504073283516336
"Services, value added (% of GDP)",0.007878923630999846
Gross capital formation (% of GDP),0.0078228173200387
"Labor force, total",0.007569297143176325
"School enrollment, primary (% gross)",0.0072597469706856274
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.006708504782111751
Political Stability and Absence of Violence/Terrorism: Estimate,0.006396454176036644
Employment in industry (% of total employment) (modeled ILO estimate),0.006174561265956708
"Agriculture, forestry, and fishing, value added (% of GDP)",0.006145817240089541
Out-of-pocket expenditure (% of current health expenditure),0.005983263770430354
Goods and services expense (% of expense),0.0036562678186745994
"School enrollment, tertiary (% gross)",0.0033764033606760685
Compensation of employees (% of expense),0.0028995580901612634
"GDP per capita, PPP (current international $)",0.0025778457901897496
"External health expenditure per capita, PPP (current international $)",0.0020501241646900085
GDP per capita (current US$),0.0018548382802951588
"Manufacturing, value added (% of GDP)",0.0017004678718515066
Armed forces personnel (% of total labor force),0.0014673310532379489
Individuals using the Internet (% of population),0.001287718248522281
"Human capital index (HCI), upper bound (scale 0-1)",0.0011772502506427985
Fixed telephone subscriptions (per 100 people),0.00109499699666106
Fixed broadband subscriptions (per 100 people),0.0008509365975320229
Population ages 0-14 (% of total population),0.000761824365047874
Current health expenditure (% of GDP),0.0006797709205843487
General government final consumption expenditure (% of GDP),0.0006144681046316605
Population growth (annual %),0.0005719674550731333
"Personal remittances, received (% of GDP)",0.0005455103399328455
CPIA fiscal policy rating (1=low to 6=high),0.0004300020244112351
"Armed forces personnel, total",0.000361205865585562
Employment in agriculture (% of total employment) (modeled ILO estimate),0.00026012397554276144
"Personal remittances, received (current US$)",0.00021160881170311538
Expense (% of GDP),0.00019938813632200853
Access to electricity (% of population),0.00015762851051569473
"Net bilateral aid flows from DAC donors, Total (current US$)",0.00013092723552516177
"Government expenditure on education, total (% of government expenditure)",0.00012462806506938068
Domestic general government health expenditure (% of general government expenditure),8.07186065851707e-05
"Inflation, consumer prices (annual %)",7.673453827108387e-05
Gross savings (% of GNI),7.057751762461789e-05
Domestic credit to private sector (% of GDP),6.886718341527149e-05
External health expenditure (% of current health expenditure),6.623751213994404e-05
"Industry (including construction), value added (% of GDP)",6.216155044088714e-05
Proportion of seats held by women in national parliaments (%),4.695045701427286e-05
Adjusted net national income per capita (annual % growth),4.5007478072133175e-05
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",4.382297950059816e-05
Final consumption expenditure (% of GDP),4.060336436190581e-05
GNI growth (annual %),3.558812884909095e-05
"Out-of-pocket expenditure per capita, PPP (current international $)",3.3478694732200866e-05
"School enrollment, secondary (% gross)",3.305918144380935e-05
"Employment to population ratio, 15+, total (%) (national estimate)",2.1306617856638487e-05
Domestic general government health expenditure (% of current health expenditure),1.605909716982957e-05
"Current health expenditure per capita, PPP (current international $)",1.3409801563136444e-05
GDP per capita growth (annual %),1.0135843316495714e-05
"Net intake rate in grade 1, female (% of official school-age population)",8.647630943608529e-06
"Literacy rate, adult male (% of males ages 15 and above)",7.924131530260202e-06
"Government expenditure on education, total (% of GDP)",7.704690849288061e-06
Domestic general government health expenditure (% of GDP),6.326432821057302e-06
Income share held by highest 10%,6.154742455296816e-06
"Unemployment, total (% of total labor force) (national estimate)",5.9148099962245035e-06
Income share held by lowest 20%,2.274212039986856e-06
Gross savings (% of GDP),2.0128132969405814e-06
CPIA macroeconomic management rating (1=low to 6=high),1.1850506106144914e-07
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",0.0
