,importance
"Labor force, female (% of total labor force)",0.22427481524209344
Domestic general government health expenditure (% of current health expenditure),0.21525262461127867
Population density (people per sq. km of land area),0.10310833388782892
Rule of Law: Estimate,0.08440090151980477
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.05697670141017182
"Personal remittances, received (% of GDP)",0.05124278795131887
"Population, female (% of total population)",0.03718863001758654
"Government expenditure on education, total (% of GDP)",0.025901643727508063
"Current health expenditure per capita, PPP (current international $)",0.022549962582439784
Public and publicly guaranteed debt service (% of GNI),0.01645018210577466
"Armed forces personnel, total",0.016383226355398694
"Manufacturing, value added (% of GDP)",0.014336469930325894
Population ages 0-14 (% of total population),0.013536372942782354
"Unemployment, total (% of total labor force) (national estimate)",0.009971791204361717
Voice and Accountability: Estimate,0.008554522206193956
Population ages 15-64 (% of total population),0.008038942953687721
Fixed broadband subscriptions (per 100 people),0.007398418773948515
Current health expenditure (% of GDP),0.007150583039191121
Access to electricity (% of population),0.007106295832952621
Expense (% of GDP),0.007103942679835863
GDP (current US$),0.007011764689763992
External health expenditure (% of current health expenditure),0.005823153058924002
"Industry (including construction), value added (% of GDP)",0.0052187755523386715
Population growth (annual %),0.004470038034187853
Compensation of employees (% of expense),0.004383756178326447
Domestic general government health expenditure (% of general government expenditure),0.004016879348890266
Employment in agriculture (% of total employment) (modeled ILO estimate),0.003310329312380587
Political Stability and Absence of Violence/Terrorism: Estimate,0.0026236289600063095
"Employment to population ratio, 15+, total (%) (national estimate)",0.0025496891260875934
"Out-of-pocket expenditure per capita, PPP (current international $)",0.002337787695896261
Armed forces personnel (% of total labor force),0.0019495928596175653
"Agriculture, forestry, and fishing, value added (current US$)",0.0018435566894059324
"Compulsory education, duration (years)",0.001565832251071541
Domestic general government health expenditure (% of GDP),0.0015279636258935408
Individuals using the Internet (% of population),0.0013374069767042077
Final consumption expenditure (% of GDP),0.001310232533739037
"School enrollment, tertiary (% gross)",0.0012791533375165524
"School enrollment, primary (% gross)",0.0010760116467419866
Gross capital formation (% of GDP),0.0010313922480470483
"School enrollment, secondary (% gross)",0.0009576291430821519
GDP per capita (current US$),0.0008364834636638928
Adjusted net national income per capita (annual % growth),0.0008303733744499604
General government final consumption expenditure (% of GDP),0.0005682115005923335
"Government expenditure on education, total (% of government expenditure)",0.0005340804216576426
"Net intake rate in grade 1, female (% of official school-age population)",0.0005103791754005836
"Agriculture, forestry, and fishing, value added (% of GDP)",0.000427041267376479
"Labor force, total",0.0004128449232695701
"Inflation, consumer prices (annual %)",0.00038855253445929964
GDP per capita growth (annual %),0.0003403565614513441
Out-of-pocket expenditure (% of current health expenditure),0.00028013756312021535
"Domestic private health expenditure per capita, PPP (current international $)",0.00024906734111572964
"External health expenditure per capita, PPP (current international $)",0.00023669617727309185
Urban population (% of total population),0.0002213785600071784
GNI growth (annual %),0.00021526964043269332
Income share held by highest 10%,0.00018343975069434287
Gross savings (% of GNI),0.00018095128021248852
Fixed telephone subscriptions (per 100 people),0.00017480894182915637
Domestic credit to private sector (% of GDP),0.00017161148226875914
Population ages 65 and above (% of total population),0.0001342673614743368
"Net bilateral aid flows from DAC donors, Total (current US$)",9.926598503974005e-05
"GDP per capita, PPP (current international $)",9.2152927099547e-05
Gross savings (% of GDP),6.495616797117007e-05
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",5.94210898311466e-05
"Personal remittances, received (current US$)",5.870914064602958e-05
Goods and services expense (% of expense),5.6584889624557444e-05
"Literacy rate, adult male (% of males ages 15 and above)",4.859350963868208e-05
Employment in industry (% of total employment) (modeled ILO estimate),3.382850027360932e-05
"Services, value added (% of GDP)",3.179303766642031e-05
Income share held by lowest 20%,3.3989737950106365e-06
"Human capital index (HCI), upper bound (scale 0-1)",2.1027811541427484e-06
Proportion of seats held by women in national parliaments (%),1.2120094159145154e-06
CPIA fiscal policy rating (1=low to 6=high),2.6875631523926966e-07
CPIA macroeconomic management rating (1=low to 6=high),3.866767436865567e-08
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",0.0
