,importance
"Population, female (% of total population)",0.2804869965069618
Domestic general government health expenditure (% of current health expenditure),0.22110491256562376
Current health expenditure (% of GDP),0.1309782178545139
Individuals using the Internet (% of population),0.05545090297619537
Income share held by lowest 20%,0.04041255114508674
"Manufacturing, value added (% of GDP)",0.028065541800367615
Population density (people per sq. km of land area),0.02522846363960683
"Labor force, total",0.022172346134328644
GDP (current US$),0.020882198201363816
Domestic general government health expenditure (% of general government expenditure),0.016488400108169852
Employment in industry (% of total employment) (modeled ILO estimate),0.01611938348020065
Employment in agriculture (% of total employment) (modeled ILO estimate),0.013081167959596109
Proportion of seats held by women in national parliaments (%),0.012424551072469302
Armed forces personnel (% of total labor force),0.012222236453134796
Urban population (% of total population),0.01098273842473788
Population ages 15-64 (% of total population),0.010876982116713445
Gross capital formation (% of GDP),0.008123634477046985
External health expenditure (% of current health expenditure),0.00798283164341493
"Out-of-pocket expenditure per capita, PPP (current international $)",0.007907473732184311
"Labor force, female (% of total labor force)",0.007842723345095608
Expense (% of GDP),0.004963102919416319
"Agriculture, forestry, and fishing, value added (% of GDP)",0.004609707392614514
"Net bilateral aid flows from DAC donors, Total (current US$)",0.004191637619707218
"Agriculture, forestry, and fishing, value added (current US$)",0.003221221313865876
"Inflation, consumer prices (annual %)",0.002849344214357036
"Government expenditure on education, total (% of GDP)",0.0023810646321476715
Out-of-pocket expenditure (% of current health expenditure),0.002333426211768033
Voice and Accountability: Estimate,0.00219139183596569
Population ages 0-14 (% of total population),0.0019485948388617376
"Domestic private health expenditure per capita, PPP (current international $)",0.00187148905111018
"Employment to population ratio, 15+, total (%) (national estimate)",0.0017922290235570858
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.0014634450079429426
"School enrollment, secondary (% gross)",0.001271162724218403
"External health expenditure per capita, PPP (current international $)",0.001246846493592051
"Armed forces personnel, total",0.001236141756732719
Population growth (annual %),0.0011294990668625313
"Industry (including construction), value added (% of GDP)",0.0010752716185060635
Gross savings (% of GNI),0.0010239796339319561
Public and publicly guaranteed debt service (% of GNI),0.00092594369059834
"Government expenditure on education, total (% of government expenditure)",0.0009243097245415524
Final consumption expenditure (% of GDP),0.000724706207790742
Access to electricity (% of population),0.0006703064274014918
Domestic general government health expenditure (% of GDP),0.0006144118782626944
"Personal remittances, received (% of GDP)",0.0006048096289805892
Gross savings (% of GDP),0.0005394668985274164
Rule of Law: Estimate,0.0005298763439598338
"Personal remittances, received (current US$)",0.0005272107899702389
Income share held by highest 10%,0.00045679882860738064
"School enrollment, tertiary (% gross)",0.0004306858770133806
Population ages 65 and above (% of total population),0.00038970708214782943
Fixed telephone subscriptions (per 100 people),0.0003812426213002998
"Services, value added (% of GDP)",0.00033595868524894355
Domestic credit to private sector (% of GDP),0.0003206610963200314
"School enrollment, primary (% gross)",0.000273225166364647
Goods and services expense (% of expense),0.00024629149950976443
Compensation of employees (% of expense),0.00024244385878911
General government final consumption expenditure (% of GDP),0.00023084269060887587
GDP per capita (current US$),0.00022729804351224377
"GDP per capita, PPP (current international $)",0.0002057734735324296
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.00014965669332753651
"Net intake rate in grade 1, female (% of official school-age population)",9.68770805766704e-05
Fixed broadband subscriptions (per 100 people),9.315861479437652e-05
GDP per capita growth (annual %),7.939352672923971e-05
Adjusted net national income per capita (annual % growth),4.872970105410648e-05
GNI growth (annual %),4.167186361684047e-05
"Unemployment, total (% of total labor force) (national estimate)",2.3928671147225887e-05
"Current health expenditure per capita, PPP (current international $)",1.2751531469146243e-05
Political Stability and Absence of Violence/Terrorism: Estimate,5.829863449810147e-06
"Compulsory education, duration (years)",4.151685236255266e-06
CPIA fiscal policy rating (1=low to 6=high),3.4783647680932767e-06
"Human capital index (HCI), upper bound (scale 0-1)",2.337937190294715e-06
"Literacy rate, adult male (% of males ages 15 and above)",1.345083557478587e-06
CPIA macroeconomic management rating (1=low to 6=high),9.098781248978288e-07
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",0.0
