,importance
Population density (people per sq. km of land area),0.6796425504175073
Urban population (% of total population),0.0631718270136687
Employment in industry (% of total employment) (modeled ILO estimate),0.049708202591946776
"Agriculture, forestry, and fishing, value added (% of GDP)",0.035897823756388024
Population growth (annual %),0.025801387053423486
Gross capital formation (% of GDP),0.02564479461474865
Employment in agriculture (% of total employment) (modeled ILO estimate),0.014474607555669584
"Personal remittances, received (current US$)",0.013283754668524142
Public and publicly guaranteed debt service (% of GNI),0.00935434509501194
Population ages 15-64 (% of total population),0.009147380656893156
Current health expenditure (% of GDP),0.006586506457542247
Domestic general government health expenditure (% of general government expenditure),0.005986754067853342
"Manufacturing, value added (% of GDP)",0.004663618848989117
"Labor force, female (% of total labor force)",0.004636273906754833
GDP per capita (current US$),0.004315534540576954
"School enrollment, tertiary (% gross)",0.003983614805194979
Expense (% of GDP),0.0036119892425754588
"Personal remittances, received (% of GDP)",0.003502554362725309
Armed forces personnel (% of total labor force),0.002923129229880229
"Population, female (% of total population)",0.0027474735678477647
GDP (current US$),0.002573989396126544
"External health expenditure per capita, PPP (current international $)",0.0023625532144461573
Voice and Accountability: Estimate,0.002309200075243386
"Compulsory education, duration (years)",0.002298353394046281
"Out-of-pocket expenditure per capita, PPP (current international $)",0.0022620055254964993
"Agriculture, forestry, and fishing, value added (current US$)",0.00220742412768777
"School enrollment, secondary (% gross)",0.0020606858088112307
Fixed telephone subscriptions (per 100 people),0.0019782209934020986
Political Stability and Absence of Violence/Terrorism: Estimate,0.001554542875519632
Domestic general government health expenditure (% of GDP),0.0012417090441725113
Population ages 0-14 (% of total population),0.001185424295462671
Goods and services expense (% of expense),0.0007319178742441622
"Government expenditure on education, total (% of government expenditure)",0.00072293453804169
Population ages 65 and above (% of total population),0.0006867859827150493
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.0005781255881685576
"Inflation, consumer prices (annual %)",0.0005656751882731255
"Net bilateral aid flows from DAC donors, Total (current US$)",0.000547152609152852
Fixed broadband subscriptions (per 100 people),0.0005300532807028667
"Government expenditure on education, total (% of GDP)",0.000411291105620957
GDP per capita growth (annual %),0.0003465606858273548
"School enrollment, primary (% gross)",0.0003446318265662079
GNI growth (annual %),0.00030215590963145607
Domestic general government health expenditure (% of current health expenditure),0.000295787257875661
"Services, value added (% of GDP)",0.00025795202013181086
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.000250777124944401
General government final consumption expenditure (% of GDP),0.00022573434158399785
Final consumption expenditure (% of GDP),0.00020392084848583865
Out-of-pocket expenditure (% of current health expenditure),0.0002038162102997176
Income share held by lowest 20%,0.0001956330907939462
"Domestic private health expenditure per capita, PPP (current international $)",0.00017355487703894884
Income share held by highest 10%,0.0001707415933133929
"Current health expenditure per capita, PPP (current international $)",0.00015562713423143042
Proportion of seats held by women in national parliaments (%),0.00014059689677211126
External health expenditure (% of current health expenditure),0.0001321533358700714
Compensation of employees (% of expense),9.598647206694475e-05
"Armed forces personnel, total",8.978327342521163e-05
"Labor force, total",8.225632187716328e-05
Individuals using the Internet (% of population),7.959912020541453e-05
Gross savings (% of GNI),6.752092388322957e-05
Gross savings (% of GDP),5.8476457098465816e-05
"Unemployment, total (% of total labor force) (national estimate)",5.789241202776202e-05
Domestic credit to private sector (% of GDP),5.745377027291561e-05
Adjusted net national income per capita (annual % growth),2.875399887853396e-05
"Industry (including construction), value added (% of GDP)",2.4045187180105818e-05
"GDP per capita, PPP (current international $)",2.3610385960209094e-05
"Net intake rate in grade 1, female (% of official school-age population)",1.3112541046889024e-05
Rule of Law: Estimate,1.0949798870631867e-05
CPIA macroeconomic management rating (1=low to 6=high),7.85466320742503e-06
"Employment to population ratio, 15+, total (%) (national estimate)",7.533221660065162e-06
Access to electricity (% of population),2.282651588404769e-06
"Literacy rate, adult male (% of males ages 15 and above)",1.0358486752724263e-06
CPIA fiscal policy rating (1=low to 6=high),3.9796480792996343e-08
"Human capital index (HCI), upper bound (scale 0-1)",2.6311722839148133e-09
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",0.0
