,importance
"Labor force, total",0.38601889595564376
"Labor force, female (% of total labor force)",0.12873114189115542
"Armed forces personnel, total",0.12728197159796278
Domestic credit to private sector (% of GDP),0.10412283826375043
Population density (people per sq. km of land area),0.06928718657815165
Final consumption expenditure (% of GDP),0.047727846332093364
"Net bilateral aid flows from DAC donors, Total (current US$)",0.03373211594949533
General government final consumption expenditure (% of GDP),0.01800814001653685
"School enrollment, tertiary (% gross)",0.009901267288450831
"Industry (including construction), value added (% of GDP)",0.00884934133904793
Rule of Law: Estimate,0.007716086078169006
Urban population (% of total population),0.0058442522706532015
Gross capital formation (% of GDP),0.0057815352045707214
Employment in agriculture (% of total employment) (modeled ILO estimate),0.0042186554435598754
Out-of-pocket expenditure (% of current health expenditure),0.004104068409805696
"Out-of-pocket expenditure per capita, PPP (current international $)",0.004028678278015598
Domestic general government health expenditure (% of general government expenditure),0.003837484457943711
"Agriculture, forestry, and fishing, value added (current US$)",0.003020556231533977
GNI growth (annual %),0.00287228103393863
GDP (current US$),0.0028274298528628383
Population growth (annual %),0.0025515332969056324
"School enrollment, secondary (% gross)",0.0023905989717554047
Population ages 65 and above (% of total population),0.002366940351597269
Population ages 15-64 (% of total population),0.002270811376815915
"Population, female (% of total population)",0.0018742640018991844
"Personal remittances, received (current US$)",0.001366969320308141
Domestic general government health expenditure (% of GDP),0.0009581397664131323
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.0009392005081818528
"Agriculture, forestry, and fishing, value added (% of GDP)",0.0008270907249422547
"Personal remittances, received (% of GDP)",0.0007521624705347495
Armed forces personnel (% of total labor force),0.0005673042516657873
Political Stability and Absence of Violence/Terrorism: Estimate,0.0004502414575469095
GDP per capita growth (annual %),0.00042045934427400024
Goods and services expense (% of expense),0.0004189598569576839
Proportion of seats held by women in national parliaments (%),0.0003637193847531172
Income share held by lowest 20%,0.000358069731449037
Fixed telephone subscriptions (per 100 people),0.0003066922110571009
GDP per capita (current US$),0.00028468904626037565
"Domestic private health expenditure per capita, PPP (current international $)",0.00023231208603546755
Gross savings (% of GNI),0.00022085918259588444
Adjusted net national income per capita (annual % growth),0.00020475689978202949
"External health expenditure per capita, PPP (current international $)",0.00017837395240484383
Domestic general government health expenditure (% of current health expenditure),0.0001738287002556686
"School enrollment, primary (% gross)",0.00015837190861318144
"Current health expenditure per capita, PPP (current international $)",0.0001436621847592375
"Employment to population ratio, 15+, total (%) (national estimate)",0.00012625114075881676
Current health expenditure (% of GDP),0.0001247889765103824
"Manufacturing, value added (% of GDP)",0.00012205752048375969
Income share held by highest 10%,0.00011192330122962381
"Government expenditure on education, total (% of GDP)",0.0001073242104010186
Population ages 0-14 (% of total population),0.0001060537641477805
Expense (% of GDP),9.991219135665151e-05
"Unemployment, total (% of total labor force) (national estimate)",9.609094595168425e-05
Employment in industry (% of total employment) (modeled ILO estimate),8.990195804315045e-05
Fixed broadband subscriptions (per 100 people),7.252045473564651e-05
"Net intake rate in grade 1, female (% of official school-age population)",6.858998995269321e-05
"Inflation, consumer prices (annual %)",4.294044911029693e-05
Individuals using the Internet (% of population),4.003449768612677e-05
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",2.685035930392545e-05
Gross savings (% of GDP),2.1720041599281286e-05
"Compulsory education, duration (years)",1.6231672299796066e-05
Voice and Accountability: Estimate,1.536491831651524e-05
External health expenditure (% of current health expenditure),8.475137627776813e-06
"Government expenditure on education, total (% of government expenditure)",7.491453099092173e-06
"GDP per capita, PPP (current international $)",1.7317528116874576e-06
Access to electricity (% of population),1.5474615496328335e-06
"Services, value added (% of GDP)",3.651975825639483e-07
Public and publicly guaranteed debt service (% of GNI),3.5103097534258674e-08
"Literacy rate, adult male (% of males ages 15 and above)",1.4041239013259186e-08
Compensation of employees (% of expense),0.0
CPIA macroeconomic management rating (1=low to 6=high),0.0
CPIA fiscal policy rating (1=low to 6=high),0.0
"Human capital index (HCI), upper bound (scale 0-1)",0.0
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",0.0
