,importance
Population density (people per sq. km of land area),0.6639846837065175
Population ages 65 and above (% of total population),0.11225758449744759
Individuals using the Internet (% of population),0.08556179237720014
"Labor force, female (% of total labor force)",0.06828952784343835
"Industry (including construction), value added (% of GDP)",0.025791315263534773
"Inflation, consumer prices (annual %)",0.011898489039877532
Gross capital formation (% of GDP),0.0076655836975246
Domestic credit to private sector (% of GDP),0.006732902399730659
"School enrollment, primary (% gross)",0.0033515599717331367
Goods and services expense (% of expense),0.0030758331609813607
"Agriculture, forestry, and fishing, value added (current US$)",0.002467026817206371
Domestic general government health expenditure (% of general government expenditure),0.0017799276156927933
Final consumption expenditure (% of GDP),0.0011059985132048057
"Personal remittances, received (% of GDP)",0.0011036027788070015
Armed forces personnel (% of total labor force),0.0009218747324175034
Compensation of employees (% of expense),0.0007311820024840723
"Domestic private health expenditure per capita, PPP (current international $)",0.0007213699796883068
Income share held by lowest 20%,0.0006470221715239455
"Armed forces personnel, total",0.0005868583254171786
Fixed broadband subscriptions (per 100 people),0.00027850412381535126
Income share held by highest 10%,0.0002713555614979175
"Employment to population ratio, 15+, total (%) (national estimate)",0.0002437273341615771
"Population, female (% of total population)",0.00021126899715068504
"Unemployment, total (% of total labor force) (national estimate)",0.00010462017554236219
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",8.672944930790568e-05
"Out-of-pocket expenditure per capita, PPP (current international $)",7.419048459594817e-05
Gross savings (% of GNI),3.5066596235143397e-05
Employment in industry (% of total employment) (modeled ILO estimate),1.4297124636844393e-05
"Agriculture, forestry, and fishing, value added (% of GDP)",4.1732147588680306e-06
"Personal remittances, received (current US$)",1.1592263208644584e-06
Political Stability and Absence of Violence/Terrorism: Estimate,7.72817548890332e-07
Public and publicly guaranteed debt service (% of GNI),0.0
Access to electricity (% of population),0.0
"Net bilateral aid flows from DAC donors, Total (current US$)",0.0
"Manufacturing, value added (% of GDP)",0.0
General government final consumption expenditure (% of GDP),0.0
"Human capital index (HCI), upper bound (scale 0-1)",0.0
Expense (% of GDP),0.0
GDP per capita (current US$),0.0
Fixed telephone subscriptions (per 100 people),0.0
CPIA fiscal policy rating (1=low to 6=high),0.0
CPIA macroeconomic management rating (1=low to 6=high),0.0
"Net intake rate in grade 1, female (% of official school-age population)",0.0
"Compulsory education, duration (years)",0.0
Rule of Law: Estimate,0.0
"Literacy rate, adult male (% of males ages 15 and above)",0.0
Gross savings (% of GDP),0.0
GDP per capita growth (annual %),0.0
"GDP per capita, PPP (current international $)",0.0
GNI growth (annual %),0.0
Adjusted net national income per capita (annual % growth),0.0
GDP (current US$),0.0
"Services, value added (% of GDP)",0.0
External health expenditure (% of current health expenditure),0.0
"School enrollment, secondary (% gross)",0.0
"School enrollment, tertiary (% gross)",0.0
"Government expenditure on education, total (% of government expenditure)",0.0
"Government expenditure on education, total (% of GDP)",0.0
Out-of-pocket expenditure (% of current health expenditure),0.0
"External health expenditure per capita, PPP (current international $)",0.0
Domestic general government health expenditure (% of current health expenditure),0.0
Domestic general government health expenditure (% of GDP),0.0
Proportion of seats held by women in national parliaments (%),0.0
Current health expenditure (% of GDP),0.0
"Current health expenditure per capita, PPP (current international $)",0.0
Employment in agriculture (% of total employment) (modeled ILO estimate),0.0
"Labor force, total",0.0
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.0
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",0.0
Population ages 0-14 (% of total population),0.0
Population ages 15-64 (% of total population),0.0
Population growth (annual %),0.0
Urban population (% of total population),0.0
Voice and Accountability: Estimate,0.0
