,importance
Population ages 65 and above (% of total population),0.5690631331157132
Access to electricity (% of population),0.16969153605606385
Goods and services expense (% of expense),0.10521807850138484
Final consumption expenditure (% of GDP),0.050345922628746174
Proportion of seats held by women in national parliaments (%),0.031350058511744015
Voice and Accountability: Estimate,0.015173287573934052
"Unemployment, total (% of total labor force) (national estimate)",0.013718256943834316
Gross capital formation (% of GDP),0.009967252854729188
Population density (people per sq. km of land area),0.009553320785734447
Population ages 0-14 (% of total population),0.00845976390977537
"Domestic private health expenditure per capita, PPP (current international $)",0.004272952693041617
"School enrollment, primary (% gross)",0.0022905119208165704
"Out-of-pocket expenditure per capita, PPP (current international $)",0.0019872066358565315
Gross savings (% of GNI),0.0018322723815259808
Domestic general government health expenditure (% of current health expenditure),0.001231006131642507
Individuals using the Internet (% of population),0.0012150386882587058
"Population, female (% of total population)",0.0010647824924275929
"Personal remittances, received (% of GDP)",0.0009494232771794229
"External health expenditure per capita, PPP (current international $)",0.0005414589245721735
Out-of-pocket expenditure (% of current health expenditure),0.00029894975858886703
"Government expenditure on education, total (% of GDP)",0.00028394763734453473
Population growth (annual %),0.00022136510841444157
GNI growth (annual %),0.00017107735655258035
"School enrollment, secondary (% gross)",0.0001456645869845264
Fixed broadband subscriptions (per 100 people),0.00012838532374593553
External health expenditure (% of current health expenditure),0.0001236618624987804
Urban population (% of total population),0.00012076061657624774
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.00011594941840211021
Expense (% of GDP),6.903789811086803e-05
"Agriculture, forestry, and fishing, value added (current US$)",6.260345611683801e-05
GDP (current US$),5.9597065393527126e-05
Employment in industry (% of total employment) (modeled ILO estimate),5.225206815227529e-05
"Current health expenditure per capita, PPP (current international $)",4.9639758940362606e-05
Fixed telephone subscriptions (per 100 people),3.1393896731371344e-05
Current health expenditure (% of GDP),2.0949894834671648e-05
"Services, value added (% of GDP)",2.0592860492910283e-05
GDP per capita (current US$),2.003933958744356e-05
Adjusted net national income per capita (annual % growth),1.6719486324235342e-05
"Net bilateral aid flows from DAC donors, Total (current US$)",1.0132320393982809e-05
"GDP per capita, PPP (current international $)",9.885468643860492e-06
"Labor force, female (% of total labor force)",8.432320426325816e-06
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",7.053797665739628e-06
"Inflation, consumer prices (annual %)",6.356521618230879e-06
Employment in agriculture (% of total employment) (modeled ILO estimate),3.686568814098178e-06
"Industry (including construction), value added (% of GDP)",3.274436815645205e-06
"Human capital index (HCI), upper bound (scale 0-1)",3.2459402211753843e-06
Public and publicly guaranteed debt service (% of GNI),2.9217914583113116e-06
Political Stability and Absence of Violence/Terrorism: Estimate,2.7392351495851976e-06
"Armed forces personnel, total",1.1781560802644483e-06
Gross savings (% of GDP),8.388685015943159e-07
"Agriculture, forestry, and fishing, value added (% of GDP)",6.812467130908226e-07
GDP per capita growth (annual %),5.262964804582364e-07
"School enrollment, tertiary (% gross)",3.0277631693819735e-07
Income share held by highest 10%,2.4382398697894883e-07
Domestic credit to private sector (% of GDP),2.1639601474583554e-07
"Manufacturing, value added (% of GDP)",1.7097956720616896e-07
"Personal remittances, received (current US$)",1.335777868748959e-07
Domestic general government health expenditure (% of general government expenditure),4.363541038161305e-08
Rule of Law: Estimate,4.2744891801257505e-08
"Literacy rate, adult male (% of males ages 15 and above)",2.4044001641125912e-08
Population ages 15-64 (% of total population),1.0686222953636322e-08
CPIA macroeconomic management rating (1=low to 6=high),4.274489180885052e-09
Compensation of employees (% of expense),2.6715557372701277e-09
CPIA fiscal policy rating (1=low to 6=high),0.0
Armed forces personnel (% of total labor force),0.0
General government final consumption expenditure (% of GDP),0.0
"Net intake rate in grade 1, female (% of official school-age population)",0.0
"Compulsory education, duration (years)",0.0
Domestic general government health expenditure (% of GDP),0.0
"Government expenditure on education, total (% of government expenditure)",0.0
"Labor force, total",0.0
Income share held by lowest 20%,0.0
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",0.0
"Employment to population ratio, 15+, total (%) (national estimate)",0.0
