,importance
"Population, female (% of total population)",0.25537166964494146
Population growth (annual %),0.1446494956347446
Population density (people per sq. km of land area),0.12020087080571948
"Labor force, total",0.0822071080927831
"Agriculture, forestry, and fishing, value added (% of GDP)",0.0495164422480762
"Labor force, female (% of total labor force)",0.04826411742001966
Out-of-pocket expenditure (% of current health expenditure),0.04582467442666186
GDP (current US$),0.03782172074110713
"Manufacturing, value added (% of GDP)",0.028376024825367618
Population ages 0-14 (% of total population),0.02267930652365225
Rule of Law: Estimate,0.020647554600199732
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.019667403148723606
Employment in industry (% of total employment) (modeled ILO estimate),0.01639255278886253
"Armed forces personnel, total",0.014311107076184817
Armed forces personnel (% of total labor force),0.012019551525512222
Population ages 15-64 (% of total population),0.009469429187179268
"School enrollment, primary (% gross)",0.008164570118369097
"Inflation, consumer prices (annual %)",0.007592426510196739
"GDP per capita, PPP (current international $)",0.006955842600338424
Domestic credit to private sector (% of GDP),0.006351181787248154
Population ages 65 and above (% of total population),0.005794487898663825
"Compulsory education, duration (years)",0.004694322982675345
"Agriculture, forestry, and fishing, value added (current US$)",0.0039885449156949445
"Human capital index (HCI), upper bound (scale 0-1)",0.002937557064031556
"Government expenditure on education, total (% of government expenditure)",0.002931588561411966
"Out-of-pocket expenditure per capita, PPP (current international $)",0.002029486457589942
Access to electricity (% of population),0.0020133641741982575
"Domestic private health expenditure per capita, PPP (current international $)",0.0018493057705221386
Urban population (% of total population),0.0017695662143690923
Individuals using the Internet (% of population),0.0015536936316205196
Voice and Accountability: Estimate,0.0010863827074425157
"Services, value added (% of GDP)",0.001081783134025262
Fixed telephone subscriptions (per 100 people),0.0009674651664341111
"Industry (including construction), value added (% of GDP)",0.0009612151277807921
Expense (% of GDP),0.0009142389364960041
Current health expenditure (% of GDP),0.0007958113278366869
"Personal remittances, received (current US$)",0.0007536789142551236
Proportion of seats held by women in national parliaments (%),0.0006732687048287932
"Net bilateral aid flows from DAC donors, Total (current US$)",0.0006215812422972067
Public and publicly guaranteed debt service (% of GNI),0.0005764142149818639
Goods and services expense (% of expense),0.0005623670937421973
Gross capital formation (% of GDP),0.00047092320024188356
Fixed broadband subscriptions (per 100 people),0.00046242690100568596
Gross savings (% of GDP),0.0004211161714411814
GDP per capita (current US$),0.0004012871642037306
External health expenditure (% of current health expenditure),0.00036206162415592963
Domestic general government health expenditure (% of current health expenditure),0.00029508601218616783
"Government expenditure on education, total (% of GDP)",0.00028438997327405214
GDP per capita growth (annual %),0.0002504401116719865
"School enrollment, tertiary (% gross)",0.0002475201483057228
Employment in agriculture (% of total employment) (modeled ILO estimate),0.0002192708709559239
General government final consumption expenditure (% of GDP),0.0002111066573720588
Compensation of employees (% of expense),0.00020999018053729558
"Current health expenditure per capita, PPP (current international $)",0.00015025279251318143
"External health expenditure per capita, PPP (current international $)",0.00012763129734841156
Political Stability and Absence of Violence/Terrorism: Estimate,0.00012046106273470782
GNI growth (annual %),0.00011880926464548612
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.00011367561711330783
"Personal remittances, received (% of GDP)",0.00010645569767189459
Domestic general government health expenditure (% of GDP),8.846284432130407e-05
Domestic general government health expenditure (% of general government expenditure),8.414763094642554e-05
Final consumption expenditure (% of GDP),5.913410592454593e-05
Adjusted net national income per capita (annual % growth),3.6005251062685654e-05
Gross savings (% of GNI),3.565017349381849e-05
"School enrollment, secondary (% gross)",3.502704648466797e-05
Income share held by highest 10%,2.265740681486648e-05
Income share held by lowest 20%,1.0981441381087845e-05
CPIA fiscal policy rating (1=low to 6=high),9.457665399259429e-06
CPIA macroeconomic management rating (1=low to 6=high),3.102880061195509e-06
"Literacy rate, adult male (% of males ages 15 and above)",1.4496325161630067e-06
"Net intake rate in grade 1, female (% of official school-age population)",1.0637370538666925e-06
"Unemployment, total (% of total labor force) (national estimate)",7.346717710367951e-07
"Employment to population ratio, 15+, total (%) (national estimate)",4.681860447195043e-08
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",0.0
