,coefficient
"Agriculture, forestry, and fishing, value added (% of GDP)",5.420896877328156
Domestic general government health expenditure (% of GDP),4.947466838629788
"Labor force, total",4.38848802221471
Current health expenditure (% of GDP),-4.34782472198629
"GDP per capita, PPP (current international $)",-3.116820934924215
Final consumption expenditure (% of GDP),-2.8756970488535627
"Agriculture, forestry, and fishing, value added (current US$)",-2.863369512698576
Domestic general government health expenditure (% of current health expenditure),-2.800584092270868
"Labor force, female (% of total labor force)",2.5086771787829725
GDP per capita (current US$),1.9897110223467804
Population ages 15-64 (% of total population),1.8082565230981507
Individuals using the Internet (% of population),-1.6731958987431974
Access to electricity (% of population),1.5322197683284178
"Compulsory education, duration (years)",-1.4710630715252702
"Manufacturing, value added (% of GDP)",1.454900820508041
Urban population (% of total population),1.4519791546487621
Population density (people per sq. km of land area),-1.293027454094511
"Population, female (% of total population)",1.2429268841788619
Fixed broadband subscriptions (per 100 people),1.2131258038248398
Voice and Accountability: Estimate,-1.169736460882142
"Government expenditure on education, total (% of government expenditure)",1.124136800002211
"Personal remittances, received (% of GDP)",1.0694507781522828
Compensation of employees (% of expense),-1.0627258914229067
Domestic credit to private sector (% of GDP),-1.0202743563807803
External health expenditure (% of current health expenditure),-1.0121696083649032
Employment in industry (% of total employment) (modeled ILO estimate),0.9677277793054085
General government final consumption expenditure (% of GDP),0.9376081744393262
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.8779206670826419
"Services, value added (% of GDP)",0.7782719149302513
Expense (% of GDP),0.7545987308173682
Armed forces personnel (% of total labor force),-0.7461733250599994
GNI growth (annual %),-0.6888262949978168
GDP per capita growth (annual %),0.6027405520351637
"School enrollment, tertiary (% gross)",0.5920930756325098
"Armed forces personnel, total",0.5868899555651765
Fixed telephone subscriptions (per 100 people),-0.5584816910212725
Goods and services expense (% of expense),-0.4755276321224329
Proportion of seats held by women in national parliaments (%),-0.4613871976918607
"Out-of-pocket expenditure per capita, PPP (current international $)",0.4413064143842668
Political Stability and Absence of Violence/Terrorism: Estimate,0.4333474908103527
"Employment to population ratio, 15+, total (%) (national estimate)",-0.4194335104228426
Population ages 65 and above (% of total population),-0.39642039556323944
"Personal remittances, received (current US$)",0.3945292927821251
"School enrollment, primary (% gross)",0.37073209911917104
"School enrollment, secondary (% gross)",0.36720806812777684
Income share held by lowest 20%,-0.3001255085766706
Adjusted net national income per capita (annual % growth),0.2974788226127294
Gross capital formation (% of GDP),0.2301191638053274
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",-0.22268553340874575
"External health expenditure per capita, PPP (current international $)",0.1944533220309495
CPIA fiscal policy rating (1=low to 6=high),-0.1626788688171333
"Industry (including construction), value added (% of GDP)",0.15547511535628297
Gross savings (% of GDP),-0.1412859256075887
"Literacy rate, adult male (% of males ages 15 and above)",-0.12833628440020103
Employment in agriculture (% of total employment) (modeled ILO estimate),-0.11348260813779468
"Current health expenditure per capita, PPP (current international $)",0.0876274658447128
"Inflation, consumer prices (annual %)",-0.08468715095605112
Public and publicly guaranteed debt service (% of GNI),-0.07775803241047041
"Government expenditure on education, total (% of GDP)",0.07669054627048763
"Human capital index (HCI), upper bound (scale 0-1)",-0.07475227449341304
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",-0.06823081454909852
"Net bilateral aid flows from DAC donors, Total (current US$)",-0.04287186727724963
"Net intake rate in grade 1, female (% of official school-age population)",-0.03174585568918104
Population growth (annual %),-0.029201994216061893
