,coefficient
"Population, female (% of total population)",1.8544221007908346
"Labor force, female (% of total labor force)",1.7727781080732814
"Current health expenditure per capita, PPP (current international $)",-1.327365519633536
"GDP per capita, PPP (current international $)",-1.2339099888530716
Population ages 15-64 (% of total population),1.2295723232889226
"Industry (including construction), value added (% of GDP)",0.8731301147816275
GDP (current US$),-0.8527926387234015
Domestic general government health expenditure (% of GDP),0.8428285394056605
"Agriculture, forestry, and fishing, value added (current US$)",0.8269496223096369
Population density (people per sq. km of land area),-0.7859399144765691
Population ages 65 and above (% of total population),-0.7387921915254234
"Agriculture, forestry, and fishing, value added (% of GDP)",-0.7190536013729935
Current health expenditure (% of GDP),0.7085131876736385
Urban population (% of total population),-0.6885576267828153
Domestic general government health expenditure (% of current health expenditure),-0.6732006508938473
Domestic credit to private sector (% of GDP),0.6439947745386418
Employment in industry (% of total employment) (modeled ILO estimate),0.6351442392441727
"Net bilateral aid flows from DAC donors, Total (current US$)",-0.6181415894681903
Political Stability and Absence of Violence/Terrorism: Estimate,-0.6138887197333944
Armed forces personnel (% of total labor force),0.5685550739391911
"Out-of-pocket expenditure per capita, PPP (current international $)",-0.5675874863027984
Compensation of employees (% of expense),0.5125078192952519
"Personal remittances, received (current US$)",0.5020915994079028
"Compulsory education, duration (years)",0.4959436352028479
Final consumption expenditure (% of GDP),0.4521746003234531
"Services, value added (% of GDP)",0.4507644150975248
Domestic general government health expenditure (% of general government expenditure),-0.43884811694560677
Population growth (annual %),-0.42763969093763177
Proportion of seats held by women in national parliaments (%),-0.4089993963294264
Gross savings (% of GDP),0.37717477295269936
"Personal remittances, received (% of GDP)",-0.30990194887629585
GDP per capita (current US$),-0.28551541690828075
Goods and services expense (% of expense),0.283579230670048
Rule of Law: Estimate,-0.27632512356973615
Fixed broadband subscriptions (per 100 people),0.24828894437459473
Gross capital formation (% of GDP),-0.1914468075772967
"School enrollment, tertiary (% gross)",-0.1750861917379546
"Government expenditure on education, total (% of GDP)",-0.16336759351049293
GDP per capita growth (annual %),0.16322093955940098
CPIA macroeconomic management rating (1=low to 6=high),0.15618741310205228
"School enrollment, primary (% gross)",-0.14187209819128338
Public and publicly guaranteed debt service (% of GNI),0.12253905524496249
Voice and Accountability: Estimate,-0.12223486272548922
External health expenditure (% of current health expenditure),-0.11536736770944538
Fixed telephone subscriptions (per 100 people),-0.09833140798696058
"Net intake rate in grade 1, female (% of official school-age population)",0.07094700174526518
GNI growth (annual %),-0.0689757926515809
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",-0.06011358195628125
"Armed forces personnel, total",-0.043652164505917586
Adjusted net national income per capita (annual % growth),0.03324597786258154
"School enrollment, secondary (% gross)",-0.03223399009920676
"Inflation, consumer prices (annual %)",-0.026912307911828245
Individuals using the Internet (% of population),-0.02513174945316765
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.020032746245498074
"External health expenditure per capita, PPP (current international $)",0.01928007394783435
"Unemployment, total (% of total labor force) (national estimate)",0.013006216363696473
Income share held by lowest 20%,-0.01015188501081189
"Manufacturing, value added (% of GDP)",0.004814618194323291
"Government expenditure on education, total (% of government expenditure)",-0.00047329273047953775
