,coefficient
"Labor force, total",2.417047226166169
"External health expenditure per capita, PPP (current international $)",2.365960265861618
"Population, female (% of total population)",1.9566989109482438
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",1.6987988425981357
Domestic general government health expenditure (% of GDP),1.5976476481154838
Rule of Law: Estimate,1.5882647521413948
Urban population (% of total population),-1.5862535052296132
Employment in industry (% of total employment) (modeled ILO estimate),1.5821099653381567
"Out-of-pocket expenditure per capita, PPP (current international $)",-1.579474082560362
GDP per capita (current US$),1.433150729433415
Voice and Accountability: Estimate,-1.4153308658724293
Current health expenditure (% of GDP),-1.2580689601288044
Access to electricity (% of population),-1.2147903869996721
"Agriculture, forestry, and fishing, value added (% of GDP)",-1.2146462069703936
External health expenditure (% of current health expenditure),-1.1600153631187877
"Industry (including construction), value added (% of GDP)",-1.016852780596247
Population density (people per sq. km of land area),-1.00687472063495
CPIA fiscal policy rating (1=low to 6=high),-0.9557459391523616
"GDP per capita, PPP (current international $)",-0.920763976822087
Proportion of seats held by women in national parliaments (%),-0.8337335193246704
"Net bilateral aid flows from DAC donors, Total (current US$)",-0.833572251581779
Gross savings (% of GDP),-0.7183128347799068
Population ages 15-64 (% of total population),-0.6753943184212622
Population ages 65 and above (% of total population),0.6717623118013046
Political Stability and Absence of Violence/Terrorism: Estimate,-0.6387571595066498
"Government expenditure on education, total (% of government expenditure)",0.6233086848518501
Domestic credit to private sector (% of GDP),-0.551430409903106
Gross savings (% of GNI),0.5479910294173056
"School enrollment, tertiary (% gross)",-0.5258352006561072
Domestic general government health expenditure (% of general government expenditure),-0.5004727625777884
"School enrollment, secondary (% gross)",0.48572104393204624
Out-of-pocket expenditure (% of current health expenditure),-0.456422000030401
"Services, value added (% of GDP)",0.42695176935542223
Gross capital formation (% of GDP),-0.4012130454430277
"Armed forces personnel, total",-0.34611426941656653
"Human capital index (HCI), upper bound (scale 0-1)",-0.33591419222845137
"Personal remittances, received (% of GDP)",0.33109499551851174
GDP per capita growth (annual %),-0.33070625317003394
"Inflation, consumer prices (annual %)",0.31908459717711485
Domestic general government health expenditure (% of current health expenditure),0.2988089218256246
Employment in agriculture (% of total employment) (modeled ILO estimate),0.2830395756507708
CPIA macroeconomic management rating (1=low to 6=high),0.26296132504400316
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",-0.24891154862604487
"Labor force, female (% of total labor force)",0.23351962080114877
General government final consumption expenditure (% of GDP),0.23306742038659578
Adjusted net national income per capita (annual % growth),0.23038804542345648
Fixed broadband subscriptions (per 100 people),-0.21023275877219047
Goods and services expense (% of expense),0.2080226141216357
"School enrollment, primary (% gross)",0.19138075605754098
"Government expenditure on education, total (% of GDP)",0.16067771610003823
"Personal remittances, received (current US$)",-0.15278787315003883
Public and publicly guaranteed debt service (% of GNI),0.14721822464492573
"Compulsory education, duration (years)",0.1417292160451092
Population growth (annual %),-0.13740099732555125
Fixed telephone subscriptions (per 100 people),0.10535337465985357
"Literacy rate, adult male (% of males ages 15 and above)",-0.08375504065250744
Income share held by lowest 20%,0.08372115247602215
GNI growth (annual %),0.06048731223622848
"Manufacturing, value added (% of GDP)",0.04993109800119118
GDP (current US$),-0.03846930184448145
Compensation of employees (% of expense),0.036128710199665556
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",0.030647087390492052
"Unemployment, total (% of total labor force) (national estimate)",0.019823423428615056
Expense (% of GDP),0.018827571502758485
Final consumption expenditure (% of GDP),-0.011407595614611072
