,coefficient
"Population, female (% of total population)",2.5524441866699297
Political Stability and Absence of Violence/Terrorism: Estimate,2.096947839470317
"Labor force, female (% of total labor force)",1.9735795840160686
Domestic general government health expenditure (% of current health expenditure),1.84029553934095
Rule of Law: Estimate,-1.6214924396709065
Income share held by lowest 20%,1.5628284461614643
"Industry (including construction), value added (% of GDP)",-1.455039326280514
"Domestic private health expenditure per capita, PPP (current international $)",1.4352893103862927
"GDP per capita, PPP (current international $)",1.2608842049090676
"Labor force, total",1.2022017113944075
"Manufacturing, value added (% of GDP)",1.1786026494198112
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",-1.0429922010526818
GDP per capita (current US$),-1.0132232309700315
Employment in agriculture (% of total employment) (modeled ILO estimate),-1.0090206335786265
"Out-of-pocket expenditure per capita, PPP (current international $)",-0.9978520549423088
"Current health expenditure per capita, PPP (current international $)",-0.9292898766934813
"Personal remittances, received (% of GDP)",-0.9252362255848976
Compensation of employees (% of expense),-0.8181817035317884
"Inflation, consumer prices (annual %)",0.8181262087797646
Population growth (annual %),0.7980271828792441
"Agriculture, forestry, and fishing, value added (current US$)",-0.7140483914810123
General government final consumption expenditure (% of GDP),0.6518340012646856
CPIA fiscal policy rating (1=low to 6=high),-0.6367564952728495
Fixed broadband subscriptions (per 100 people),-0.6170568881195954
Individuals using the Internet (% of population),-0.6111443891561025
"School enrollment, secondary (% gross)",-0.6049615100594711
Final consumption expenditure (% of GDP),-0.5699797108557076
"External health expenditure per capita, PPP (current international $)",0.5645424254164095
Armed forces personnel (% of total labor force),-0.5485802242167466
"Services, value added (% of GDP)",-0.5468769776156283
"Unemployment, total (% of total labor force) (national estimate)",-0.46921417242928615
Voice and Accountability: Estimate,0.440909840550053
"Personal remittances, received (current US$)",-0.40230808809720686
Domestic general government health expenditure (% of general government expenditure),0.3974859077677597
Public and publicly guaranteed debt service (% of GNI),-0.3693726874504111
"Compulsory education, duration (years)",-0.35784259039839295
Expense (% of GDP),-0.32463234224747056
Urban population (% of total population),0.31776949915584535
"Government expenditure on education, total (% of government expenditure)",-0.30919120412203344
GDP per capita growth (annual %),-0.29852305352948894
GNI growth (annual %),0.2840079919094473
Gross capital formation (% of GDP),0.275114231915952
Population ages 0-14 (% of total population),0.26371695192650046
Domestic credit to private sector (% of GDP),0.26293544843482125
Fixed telephone subscriptions (per 100 people),0.24295846301601132
Goods and services expense (% of expense),0.23984179153519947
"School enrollment, primary (% gross)",-0.23752961027608774
External health expenditure (% of current health expenditure),-0.17467317975695063
Access to electricity (% of population),0.15826657728252302
Population ages 15-64 (% of total population),-0.14778853177807177
CPIA macroeconomic management rating (1=low to 6=high),-0.1360024250973383
"Net bilateral aid flows from DAC donors, Total (current US$)",0.1283403817959042
Population density (people per sq. km of land area),-0.11724670221362042
Adjusted net national income per capita (annual % growth),0.07887285947668865
"Net intake rate in grade 1, female (% of official school-age population)",-0.054850646880405765
Employment in industry (% of total employment) (modeled ILO estimate),-0.038215568370208106
"Government expenditure on education, total (% of GDP)",0.03259800609796695
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",-0.006604514641728535
"Literacy rate, adult male (% of males ages 15 and above)",-0.004308290415723313
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.00160607424550798
