,coefficient
"Labor force, female (% of total labor force)",2.549469022190357
Employment in industry (% of total employment) (modeled ILO estimate),1.8233663396299156
Access to electricity (% of population),-1.6502455470386974
"Armed forces personnel, total",1.19647749763125
"Industry (including construction), value added (% of GDP)",-1.0243551861254783
"Agriculture, forestry, and fishing, value added (current US$)",-1.02226081759071
Gross savings (% of GDP),-1.0218860969692827
Individuals using the Internet (% of population),-0.9658570857300859
"Manufacturing, value added (% of GDP)",0.9647215995033958
Gross savings (% of GNI),0.9338670174487971
Out-of-pocket expenditure (% of current health expenditure),-0.8339596882921454
"Services, value added (% of GDP)",-0.7925261929385825
"Government expenditure on education, total (% of GDP)",0.7894431503706322
"External health expenditure per capita, PPP (current international $)",0.7406563658835817
Income share held by lowest 20%,0.7264392509065474
"School enrollment, tertiary (% gross)",0.7233068730173099
"Compulsory education, duration (years)",-0.576064301430992
General government final consumption expenditure (% of GDP),0.5565167319319763
Expense (% of GDP),-0.5394219462214294
Domestic general government health expenditure (% of current health expenditure),0.5239475187354128
Compensation of employees (% of expense),-0.5174233954951014
"Current health expenditure per capita, PPP (current international $)",-0.4969560411969932
CPIA fiscal policy rating (1=low to 6=high),-0.4855413359098335
"Agriculture, forestry, and fishing, value added (% of GDP)",-0.4749377481298747
"Domestic private health expenditure per capita, PPP (current international $)",0.46637637146788746
Population growth (annual %),-0.4319316446630991
Goods and services expense (% of expense),0.37607834260458645
Population ages 15-64 (% of total population),-0.34810927126993557
Current health expenditure (% of GDP),-0.320447900336219
"School enrollment, primary (% gross)",-0.2880272174265945
Population density (people per sq. km of land area),-0.2777685705716865
GDP (current US$),0.2562963782631336
"Net bilateral aid flows from DAC donors, Total (current US$)",-0.25007760709422505
Public and publicly guaranteed debt service (% of GNI),-0.23355123315000065
"Personal remittances, received (current US$)",0.22558010035740095
Domestic credit to private sector (% of GDP),-0.2056747734948395
Armed forces personnel (% of total labor force),0.19379535897117076
"Human capital index (HCI), upper bound (scale 0-1)",-0.1747256901639969
"Inflation, consumer prices (annual %)",0.15863057371305503
External health expenditure (% of current health expenditure),-0.14866268211852438
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.13520452477247089
CPIA macroeconomic management rating (1=low to 6=high),-0.11968385799772042
"Government expenditure on education, total (% of government expenditure)",0.11881983620136569
"Unemployment, total (% of total labor force) (national estimate)",-0.11696135235632289
Domestic general government health expenditure (% of general government expenditure),0.10372709299557414
"Net intake rate in grade 1, female (% of official school-age population)",-0.08788061207369391
"Employment to population ratio, 15+, total (%) (national estimate)",-0.08716125639876048
GDP per capita growth (annual %),0.08242689867230966
Rule of Law: Estimate,-0.08186186653709844
Urban population (% of total population),0.08098589532023863
Adjusted net national income per capita (annual % growth),0.0691394693016026
"Personal remittances, received (% of GDP)",0.06876301078370602
"Out-of-pocket expenditure per capita, PPP (current international $)",-0.057891667648718476
Voice and Accountability: Estimate,-0.05690568365688261
Gross capital formation (% of GDP),-0.05073576610876222
Proportion of seats held by women in national parliaments (%),0.029925417618329977
GNI growth (annual %),-0.02908093217456589
"Literacy rate, adult male (% of males ages 15 and above)",0.014135642891867523
Political Stability and Absence of Violence/Terrorism: Estimate,0.0121242259492086
