,coefficient
Employment in industry (% of total employment) (modeled ILO estimate),1.9582098885540602
Access to electricity (% of population),-1.9086268425569828
"Labor force, female (% of total labor force)",1.8487621199228592
"Population, female (% of total population)",1.42174729244995
"Industry (including construction), value added (% of GDP)",-1.1836113896591325
"Armed forces personnel, total",1.1243836934435487
"Agriculture, forestry, and fishing, value added (current US$)",-1.0428631637008197
Gross savings (% of GDP),-0.9621889217876556
Individuals using the Internet (% of population),-0.9457098882678218
"Manufacturing, value added (% of GDP)",0.9202986046953774
"Services, value added (% of GDP)",-0.9155342804294057
Out-of-pocket expenditure (% of current health expenditure),-0.819230591085854
"Government expenditure on education, total (% of GDP)",0.8137253542544639
Gross savings (% of GNI),0.8125306663597824
"School enrollment, tertiary (% gross)",0.7579628223697871
"External health expenditure per capita, PPP (current international $)",0.7342601486871296
Domestic general government health expenditure (% of current health expenditure),0.6909032184844596
"GDP per capita, PPP (current international $)",0.660059768783558
"Current health expenditure per capita, PPP (current international $)",-0.6510357543755303
"Compulsory education, duration (years)",-0.6302796687797304
Income share held by lowest 20%,0.6114239121642127
CPIA fiscal policy rating (1=low to 6=high),-0.5932416737329745
General government final consumption expenditure (% of GDP),0.5771107741226137
Expense (% of GDP),-0.5586205271945675
"Domestic private health expenditure per capita, PPP (current international $)",0.5500733548086324
"Agriculture, forestry, and fishing, value added (% of GDP)",-0.5393886386579311
Compensation of employees (% of expense),-0.4741661942335991
Goods and services expense (% of expense),0.42632188975226926
Population density (people per sq. km of land area),-0.36375229576093315
Population ages 65 and above (% of total population),-0.3468531802264211
Current health expenditure (% of GDP),-0.3311758060827827
"Net bilateral aid flows from DAC donors, Total (current US$)",-0.3243085443011281
GDP (current US$),0.3006300700407663
"School enrollment, primary (% gross)",-0.2910828693021386
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.28483827633821085
Voice and Accountability: Estimate,-0.2692700105168275
"Personal remittances, received (current US$)",0.2676088303960511
Population growth (annual %),-0.24759893627227628
Public and publicly guaranteed debt service (% of GNI),-0.22071259646170305
Domestic credit to private sector (% of GDP),-0.20220081149691985
"Human capital index (HCI), upper bound (scale 0-1)",-0.17612946252143924
Urban population (% of total population),0.1724592198436951
Political Stability and Absence of Violence/Terrorism: Estimate,0.16980803118948304
"Inflation, consumer prices (annual %)",0.13693827887298277
"Out-of-pocket expenditure per capita, PPP (current international $)",-0.13165909991906147
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.09790490799507211
GDP per capita growth (annual %),0.09331530937813028
"Net intake rate in grade 1, female (% of official school-age population)",-0.08768450943909413
"Unemployment, total (% of total labor force) (national estimate)",-0.08301150329220348
Income share held by highest 10%,-0.08173265032915661
Armed forces personnel (% of total labor force),0.0761262665259737
Adjusted net national income per capita (annual % growth),0.07122434619617105
"Labor force, total",0.06456346322143218
External health expenditure (% of current health expenditure),-0.06328242542402808
GNI growth (annual %),-0.05844695811596196
Fixed telephone subscriptions (per 100 people),-0.03887760143801028
Population ages 0-14 (% of total population),0.036945828371370865
Gross capital formation (% of GDP),-0.0367213904370367
"Personal remittances, received (% of GDP)",0.03351876680118045
CPIA macroeconomic management rating (1=low to 6=high),-0.03231237319338696
"Government expenditure on education, total (% of government expenditure)",0.031212693476462373
Employment in agriculture (% of total employment) (modeled ILO estimate),0.026296602168193173
"Employment to population ratio, 15+, total (%) (national estimate)",-0.019715343679068513
"Literacy rate, adult male (% of males ages 15 and above)",0.018367894226264194
"School enrollment, secondary (% gross)",0.013017283761084885
Domestic general government health expenditure (% of general government expenditure),0.009891568368545961
