,coefficient
"Current health expenditure per capita, PPP (current international $)",-6.550791689464561
"Agriculture, forestry, and fishing, value added (current US$)",-5.496711397876129
Urban population (% of total population),3.7020271793167217
"Out-of-pocket expenditure per capita, PPP (current international $)",3.5280984987476742
"Industry (including construction), value added (% of GDP)",-3.0045929459049012
GDP (current US$),2.8852639848581867
"Labor force, total",2.63716025865634
Domestic general government health expenditure (% of current health expenditure),2.5836556271741213
Access to electricity (% of population),2.476084795140075
External health expenditure (% of current health expenditure),2.3625998874248366
Proportion of seats held by women in national parliaments (%),-2.2526985707350664
Population density (people per sq. km of land area),-1.9804744950037887
Employment in industry (% of total employment) (modeled ILO estimate),-1.9594983814049307
Final consumption expenditure (% of GDP),-1.815918084868208
Fixed broadband subscriptions (per 100 people),1.808424006835562
Current health expenditure (% of GDP),1.7674061476718432
Population ages 65 and above (% of total population),-1.5425199000241605
Political Stability and Absence of Violence/Terrorism: Estimate,1.4755112899720517
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",1.4573015256598498
Individuals using the Internet (% of population),-1.4189219073839272
Out-of-pocket expenditure (% of current health expenditure),1.362054362286156
"Labor force, female (% of total labor force)",1.2691161766399173
"School enrollment, tertiary (% gross)",1.1851009532274672
Domestic general government health expenditure (% of general government expenditure),1.049965497078653
"Government expenditure on education, total (% of GDP)",0.9458437281577354
General government final consumption expenditure (% of GDP),0.9379713026447267
"Manufacturing, value added (% of GDP)",0.7791894073329664
"Armed forces personnel, total",0.6845570766027059
Gross savings (% of GDP),-0.681578251714577
Armed forces personnel (% of total labor force),0.6308069548732885
GDP per capita growth (annual %),-0.5845278674850638
Domestic credit to private sector (% of GDP),0.5763923111327904
Voice and Accountability: Estimate,0.5249734881370011
Fixed telephone subscriptions (per 100 people),-0.49826145607716343
Expense (% of GDP),-0.4592271804272867
"Personal remittances, received (% of GDP)",-0.44359156760517815
"Personal remittances, received (current US$)",0.43777752611587867
Population growth (annual %),-0.4316079925471348
Compensation of employees (% of expense),-0.42811611148109735
"School enrollment, primary (% gross)",0.41322621660744807
"GDP per capita, PPP (current international $)",-0.3922888403807195
CPIA macroeconomic management rating (1=low to 6=high),0.3876197795842144
Gross capital formation (% of GDP),0.3211898422011698
"Employment to population ratio, 15+, total (%) (national estimate)",-0.2710614296130594
"Inflation, consumer prices (annual %)",0.24633492264859808
GNI growth (annual %),0.20678710406630108
"Unemployment, total (% of total labor force) (national estimate)",0.2029992452092229
CPIA fiscal policy rating (1=low to 6=high),-0.20279520529840925
"Government expenditure on education, total (% of government expenditure)",-0.17746897978948833
Rule of Law: Estimate,0.17169574381826994
"Agriculture, forestry, and fishing, value added (% of GDP)",0.16785555928904075
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",0.12006403660605655
Income share held by highest 10%,-0.09669108321558449
"Net intake rate in grade 1, female (% of official school-age population)",-0.09547827049345453
"Net bilateral aid flows from DAC donors, Total (current US$)",0.0873576281839086
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.07488675682103832
"School enrollment, secondary (% gross)",-0.07302598999033762
Goods and services expense (% of expense),0.06125976624789256
"Compulsory education, duration (years)",0.05990194989484766
Population ages 0-14 (% of total population),0.05448929609029977
GDP per capita (current US$),-0.04789108657720057
Adjusted net national income per capita (annual % growth),0.04298206366604738
"Services, value added (% of GDP)",-0.02108532677088969
"External health expenditure per capita, PPP (current international $)",-0.019083589004104368
Public and publicly guaranteed debt service (% of GNI),-0.01452546905478946
"Literacy rate, adult male (% of males ages 15 and above)",0.01438485114322094
