,coefficient
Out-of-pocket expenditure (% of current health expenditure),-5.563292765587611
Population ages 65 and above (% of total population),-3.6608339673177293
Employment in agriculture (% of total employment) (modeled ILO estimate),-3.4344583567177907
"GDP per capita, PPP (current international $)",-3.317022459670953
Individuals using the Internet (% of population),-3.216192568321546
"Population, female (% of total population)",2.8663183370956284
"Current health expenditure per capita, PPP (current international $)",2.2884195091874626
"Labor force, total",2.1348372568448304
"Labor force, female (% of total labor force)",1.928500665405389
"Agriculture, forestry, and fishing, value added (current US$)",-1.92240787984569
"Out-of-pocket expenditure per capita, PPP (current international $)",1.8748914007820214
Political Stability and Absence of Violence/Terrorism: Estimate,1.7198518534811627
"Industry (including construction), value added (% of GDP)",-1.6126624263030487
"Domestic private health expenditure per capita, PPP (current international $)",-1.442013277539316
Domestic general government health expenditure (% of current health expenditure),-1.3999788652695184
"Employment to population ratio, 15+, total (%) (national estimate)",-1.339342846561839
Rule of Law: Estimate,-1.3282315107763272
Population density (people per sq. km of land area),-1.3137926203010972
"Manufacturing, value added (% of GDP)",1.2137870638394783
"Government expenditure on education, total (% of government expenditure)",1.1451781837678756
External health expenditure (% of current health expenditure),-1.1409775132419906
Fixed telephone subscriptions (per 100 people),-1.020458431926876
Domestic general government health expenditure (% of general government expenditure),-0.9999854924856847
GDP per capita (current US$),0.9751256331413823
"Armed forces personnel, total",0.9154259905064771
Employment in industry (% of total employment) (modeled ILO estimate),-0.8737676957938214
General government final consumption expenditure (% of GDP),0.8281469502348962
"Personal remittances, received (current US$)",0.8167066317552031
Gross savings (% of GNI),0.7925970395030821
"Services, value added (% of GDP)",-0.750919649519259
Domestic credit to private sector (% of GDP),-0.7430169065985788
"School enrollment, tertiary (% gross)",0.698528219306267
Income share held by lowest 20%,-0.6587878713485904
GDP (current US$),-0.6536974872234926
Expense (% of GDP),-0.6409624385909481
Compensation of employees (% of expense),-0.6354102539719054
Armed forces personnel (% of total labor force),-0.5940867329295542
Income share held by highest 10%,-0.5824015433142024
Urban population (% of total population),0.5742488988214481
Gross capital formation (% of GDP),-0.5415050351954487
"Unemployment, total (% of total labor force) (national estimate)",-0.5326393057420116
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.5211906031363427
Fixed broadband subscriptions (per 100 people),0.5067434297721486
Population growth (annual %),-0.49803966684760304
Goods and services expense (% of expense),0.4662026613930488
"Personal remittances, received (% of GDP)",0.45919267350372994
"External health expenditure per capita, PPP (current international $)",0.45333114854357515
"School enrollment, secondary (% gross)",0.38200315153086617
Domestic general government health expenditure (% of GDP),-0.35555474201320525
Final consumption expenditure (% of GDP),-0.33517641112164687
"Net bilateral aid flows from DAC donors, Total (current US$)",0.3346523102186357
Public and publicly guaranteed debt service (% of GNI),-0.3290163591571116
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.31840113701147915
Population ages 15-64 (% of total population),0.3168664040332581
CPIA macroeconomic management rating (1=low to 6=high),-0.2992840465699288
CPIA fiscal policy rating (1=low to 6=high),-0.2951391263069772
Adjusted net national income per capita (annual % growth),0.24999528452389347
GNI growth (annual %),-0.24942891377481297
"Agriculture, forestry, and fishing, value added (% of GDP)",0.21830429840589444
Voice and Accountability: Estimate,-0.13190469187001538
"Literacy rate, adult male (% of males ages 15 and above)",0.12300908459206872
"Inflation, consumer prices (annual %)",0.11216152987637558
"Compulsory education, duration (years)",0.11067034262997119
Access to electricity (% of population),-0.10161259001728408
"Human capital index (HCI), upper bound (scale 0-1)",-0.07944537908747802
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",-0.04949246895062049
Proportion of seats held by women in national parliaments (%),0.037728911233927444
"Government expenditure on education, total (% of GDP)",0.02130194655969316
"Net intake rate in grade 1, female (% of official school-age population)",0.019825724870837013
GDP per capita growth (annual %),-0.01776871318055568
"School enrollment, primary (% gross)",-0.012252277816186617
