,coefficient
"Agriculture, forestry, and fishing, value added (% of GDP)",5.2865814471010255
Employment in agriculture (% of total employment) (modeled ILO estimate),-2.850979510248273
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",-2.6584918399369717
"Labor force, female (% of total labor force)",2.0511191142789884
GDP per capita (current US$),-2.0352623452659673
Domestic general government health expenditure (% of current health expenditure),-2.003712745084296
"Current health expenditure per capita, PPP (current international $)",1.9141823225610133
General government final consumption expenditure (% of GDP),1.784769422597418
"Industry (including construction), value added (% of GDP)",1.7245340571103815
Population density (people per sq. km of land area),-1.5027044219317887
"Personal remittances, received (% of GDP)",-1.467615132218489
Employment in industry (% of total employment) (modeled ILO estimate),1.462810221562868
"Services, value added (% of GDP)",1.36613674852296
"Labor force, total",-1.2998220710462869
Population ages 0-14 (% of total population),1.2668539153410676
GDP (current US$),1.2508510115264475
Domestic general government health expenditure (% of general government expenditure),1.0504551673397435
Final consumption expenditure (% of GDP),1.0215638628448827
"Out-of-pocket expenditure per capita, PPP (current international $)",-1.0076003001106242
Fixed broadband subscriptions (per 100 people),0.9851715024837236
Current health expenditure (% of GDP),-0.9560762031491036
Gross savings (% of GDP),0.9514823772647074
"Unemployment, total (% of total labor force) (national estimate)",-0.9140178015487163
Voice and Accountability: Estimate,0.9047961214956624
"Agriculture, forestry, and fishing, value added (current US$)",-0.8630140208979186
"School enrollment, primary (% gross)",-0.7363150175175673
Goods and services expense (% of expense),0.6590054652660696
"School enrollment, secondary (% gross)",-0.6362274629515653
Expense (% of GDP),0.6070504732773883
Compensation of employees (% of expense),-0.5745880575465828
Armed forces personnel (% of total labor force),0.5450933181847197
Gross capital formation (% of GDP),-0.5444376910631606
Public and publicly guaranteed debt service (% of GNI),-0.4445363469145914
"School enrollment, tertiary (% gross)",-0.41789979955377715
CPIA fiscal policy rating (1=low to 6=high),0.3983748486283725
CPIA macroeconomic management rating (1=low to 6=high),-0.3840312613382176
"Compulsory education, duration (years)",-0.32124660141616346
"Personal remittances, received (current US$)",0.31779022087533004
External health expenditure (% of current health expenditure),-0.2955864046953546
"Net intake rate in grade 1, female (% of official school-age population)",0.28310163778111724
"Population, female (% of total population)",0.2791943530703535
"External health expenditure per capita, PPP (current international $)",0.2715916705646105
Proportion of seats held by women in national parliaments (%),-0.26977866402744316
Out-of-pocket expenditure (% of current health expenditure),-0.26218495382715595
"Employment to population ratio, 15+, total (%) (national estimate)",0.24856736771727922
Political Stability and Absence of Violence/Terrorism: Estimate,-0.2383282310571372
Income share held by lowest 20%,0.22048993324182445
"Net bilateral aid flows from DAC donors, Total (current US$)",-0.21480103542443013
GDP per capita growth (annual %),0.209367540540598
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",-0.19775509841361041
Rule of Law: Estimate,0.1780112025473834
"Inflation, consumer prices (annual %)",-0.12597091280401765
Access to electricity (% of population),-0.1018941333149975
"Government expenditure on education, total (% of GDP)",-0.1018258500831609
Population ages 15-64 (% of total population),-0.09606746865119939
Domestic credit to private sector (% of GDP),-0.07935749159083208
"Domestic private health expenditure per capita, PPP (current international $)",0.07547892240929988
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",0.060592350369857335
"Armed forces personnel, total",-0.05766744235142519
Population growth (annual %),-0.03566480221109785
"Government expenditure on education, total (% of government expenditure)",-0.0290655062638264
"Literacy rate, adult male (% of males ages 15 and above)",0.014898963310678501
GNI growth (annual %),-0.011035125889941676
"Human capital index (HCI), upper bound (scale 0-1)",-0.008758280295510948
