,coefficient
"Population, female (% of total population)",-2.1840077975036527
Final consumption expenditure (% of GDP),-2.029468383373865
Access to electricity (% of population),-1.2187607965025502
Population ages 15-64 (% of total population),-1.134418090853212
CPIA fiscal policy rating (1=low to 6=high),-0.8458293959497298
Urban population (% of total population),0.8273994866899559
Rule of Law: Estimate,-0.8040508568147688
Population ages 65 and above (% of total population),0.6620110454683188
Current health expenditure (% of GDP),-0.6122965601541764
Population density (people per sq. km of land area),0.571240615476464
Individuals using the Internet (% of population),-0.5595765527203812
Fixed telephone subscriptions (per 100 people),0.5503033377228692
Employment in industry (% of total employment) (modeled ILO estimate),0.5488969151690399
Voice and Accountability: Estimate,0.507065786323473
External health expenditure (% of current health expenditure),0.4995558954984606
"Industry (including construction), value added (% of GDP)",-0.49496179912887467
Out-of-pocket expenditure (% of current health expenditure),0.4615201842170581
"Labor force, female (% of total labor force)",0.42667466580083113
"Agriculture, forestry, and fishing, value added (% of GDP)",-0.35790215091795174
Proportion of seats held by women in national parliaments (%),0.3570540980704478
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",-0.34485617415394815
General government final consumption expenditure (% of GDP),0.3410953283996238
Domestic credit to private sector (% of GDP),0.3397896845526421
"Manufacturing, value added (% of GDP)",0.3372998298058952
Gross savings (% of GDP),-0.3362099722269626
Armed forces personnel (% of total labor force),0.3348596132363433
"Agriculture, forestry, and fishing, value added (current US$)",0.33470249332990026
"External health expenditure per capita, PPP (current international $)",-0.32032914972958554
Compensation of employees (% of expense),0.31667880998754344
"School enrollment, primary (% gross)",-0.286259444673131
Employment in agriculture (% of total employment) (modeled ILO estimate),0.27352598570085757
Political Stability and Absence of Violence/Terrorism: Estimate,-0.24909043157841143
"Personal remittances, received (current US$)",0.2477974270772492
"Armed forces personnel, total",-0.2442364134572332
Fixed broadband subscriptions (per 100 people),-0.2378205771511295
Gross capital formation (% of GDP),-0.2141677020166106
Domestic general government health expenditure (% of general government expenditure),0.20557989119613646
"Out-of-pocket expenditure per capita, PPP (current international $)",-0.1945128633113909
Income share held by lowest 20%,-0.19397437020459768
"Labor force, total",0.19181219186799034
GDP (current US$),-0.18763338340456515
"Government expenditure on education, total (% of government expenditure)",0.16729631369741757
"Net intake rate in grade 1, female (% of official school-age population)",0.16569778795384224
CPIA macroeconomic management rating (1=low to 6=high),0.13522788586309037
"Unemployment, total (% of total labor force) (national estimate)",0.12842347032240972
"Net bilateral aid flows from DAC donors, Total (current US$)",0.09126115389279961
"School enrollment, secondary (% gross)",0.08621478900165801
Public and publicly guaranteed debt service (% of GNI),-0.08523536708090508
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",-0.08270729007351674
"Literacy rate, adult male (% of males ages 15 and above)",-0.06649155289203722
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",-0.06544124545728709
Goods and services expense (% of expense),-0.05668134345263331
Adjusted net national income per capita (annual % growth),-0.04940520870254724
"Human capital index (HCI), upper bound (scale 0-1)",-0.04806511722437264
Expense (% of GDP),-0.04553852285165017
Income share held by highest 10%,-0.04392869193701293
"Services, value added (% of GDP)",0.03747309187530982
"Employment to population ratio, 15+, total (%) (national estimate)",0.03348857952116987
Population growth (annual %),0.029714528382333884
"Government expenditure on education, total (% of GDP)",-0.02498344877004438
"Inflation, consumer prices (annual %)",-0.023980447834311285
GNI growth (annual %),-0.023187229212332197
"Personal remittances, received (% of GDP)",0.011428531573664549
