,coefficient
Out-of-pocket expenditure (% of current health expenditure),-0.9324051381461402
"Agriculture, forestry, and fishing, value added (% of GDP)",-0.655567468470438
Domestic general government health expenditure (% of current health expenditure),0.5864526760069655
Gross capital formation (% of GDP),-0.3237514130571251
GDP per capita growth (annual %),0.3218763481282827
Adjusted net national income per capita (annual % growth),-0.20484187804812812
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",-0.19119471583809688
"Unemployment, total (% of total labor force) (national estimate)",-0.1402854947106781
Domestic credit to private sector (% of GDP),-0.10112096697160262
Population growth (annual %),-0.0998688670363008
Final consumption expenditure (% of GDP),-0.07895825439306188
"Human capital index (HCI), upper bound (scale 0-1)",0.07398948699856996
"School enrollment, tertiary (% gross)",0.07299983702717411
Gross savings (% of GNI),0.06620310051070945
"Net intake rate in grade 1, female (% of official school-age population)",-0.05253703480883907
"Government expenditure on education, total (% of GDP)",-0.03861625992526946
"School enrollment, primary (% gross)",0.035896750740643475
Goods and services expense (% of expense),-0.028730753110289872
Voice and Accountability: Estimate,-0.021419936587508483
"Employment to population ratio, 15+, total (%) (national estimate)",-0.0157847171277418
Individuals using the Internet (% of population),-0.014828088731222783
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.011544162218881632
