,coefficient
Population ages 15-64 (% of total population),8.103905981260855
Population density (people per sq. km of land area),-6.902385243582142
Employment in agriculture (% of total employment) (modeled ILO estimate),-4.4593440513745595
Urban population (% of total population),-3.398184662167393
"Agriculture, forestry, and fishing, value added (% of GDP)",3.0765446361361604
"GDP per capita, PPP (current international $)",-2.751375343800453
Population ages 65 and above (% of total population),-2.4891236618152943
"Manufacturing, value added (% of GDP)",2.288384559631521
General government final consumption expenditure (% of GDP),-2.1603261109399736
"Labor force, total",2.072317568847135
"Labor force, female (% of total labor force)",1.6108126347376315
Employment in industry (% of total employment) (modeled ILO estimate),1.063510068267956
Fixed broadband subscriptions (per 100 people),1.045557732981415
External health expenditure (% of current health expenditure),-1.022514875007364
"Personal remittances, received (current US$)",-1.007276107617147
Domestic general government health expenditure (% of general government expenditure),0.8850205133361445
Access to electricity (% of population),-0.805909560694154
Proportion of seats held by women in national parliaments (%),0.7461449837223123
"Services, value added (% of GDP)",0.7433082890478491
Individuals using the Internet (% of population),-0.670339554303403
Final consumption expenditure (% of GDP),-0.6504199460450774
Goods and services expense (% of expense),0.6172869951496268
Public and publicly guaranteed debt service (% of GNI),0.49387708380808376
Voice and Accountability: Estimate,-0.4638477997578375
Domestic general government health expenditure (% of GDP),0.44906959734412066
Domestic general government health expenditure (% of current health expenditure),-0.4474560821733832
Compensation of employees (% of expense),-0.43420832295704853
Domestic credit to private sector (% of GDP),-0.4292994051597998
Population growth (annual %),0.424957813993111
GDP per capita growth (annual %),0.4081409603587587
Rule of Law: Estimate,0.3717819454348097
"Compulsory education, duration (years)",0.3668366754093654
Armed forces personnel (% of total labor force),-0.36353053775101746
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",-0.3614048180524548
"Domestic private health expenditure per capita, PPP (current international $)",-0.35911464934571413
CPIA macroeconomic management rating (1=low to 6=high),0.3488300500424205
"School enrollment, secondary (% gross)",-0.3437912318268979
"Government expenditure on education, total (% of government expenditure)",0.3250930989769949
CPIA fiscal policy rating (1=low to 6=high),0.3188737750380156
Gross savings (% of GDP),-0.3183155990376503
"School enrollment, primary (% gross)",0.28739944454428196
Gross capital formation (% of GDP),-0.23122088915190978
Current health expenditure (% of GDP),0.23004216361788796
"School enrollment, tertiary (% gross)",0.22696222993485868
"External health expenditure per capita, PPP (current international $)",-0.2226667008824434
"Government expenditure on education, total (% of GDP)",0.19278359392512523
Income share held by highest 10%,-0.16411121744997978
"Net intake rate in grade 1, female (% of official school-age population)",0.16131213225268518
"Population, female (% of total population)",-0.15697259777136624
GNI growth (annual %),-0.14487827226771208
GDP (current US$),-0.12865501477233468
"Armed forces personnel, total",0.10306410980031218
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",0.09791579962606521
Expense (% of GDP),0.09609336749049274
"Unemployment, total (% of total labor force) (national estimate)",0.08827749164010174
Political Stability and Absence of Violence/Terrorism: Estimate,0.07628359871515326
"Human capital index (HCI), upper bound (scale 0-1)",-0.07309102642646162
"Personal remittances, received (% of GDP)",0.06612959437576418
"Inflation, consumer prices (annual %)",0.05305340231291388
"Employment to population ratio, 15+, total (%) (national estimate)",-0.046380925605569646
Income share held by lowest 20%,-0.04113360559560702
Fixed telephone subscriptions (per 100 people),0.03681929283992241
Adjusted net national income per capita (annual % growth),-0.004695165740652938
