,coefficient
"Population, female (% of total population)",2.1050775699126802
Voice and Accountability: Estimate,-1.9141214132156763
Domestic general government health expenditure (% of GDP),1.6465587613733048
Final consumption expenditure (% of GDP),1.5439157779900747
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",1.4436663469657443
"GDP per capita, PPP (current international $)",1.3584502724876835
Employment in industry (% of total employment) (modeled ILO estimate),1.2611914696532973
Employment in agriculture (% of total employment) (modeled ILO estimate),1.1652442524185374
"Agriculture, forestry, and fishing, value added (current US$)",-1.1479077696246167
GDP (current US$),1.1382855896937714
Population ages 15-64 (% of total population),1.0520045776005464
Gross savings (% of GNI),0.9960463547608116
Domestic general government health expenditure (% of general government expenditure),-0.9737795161117878
"Domestic private health expenditure per capita, PPP (current international $)",-0.7917159961130119
"Agriculture, forestry, and fishing, value added (% of GDP)",-0.7747246709377809
CPIA macroeconomic management rating (1=low to 6=high),0.7600693894234091
Population density (people per sq. km of land area),-0.7448816944972574
Urban population (% of total population),-0.7232942487679337
"Manufacturing, value added (% of GDP)",0.7137024348387738
Compensation of employees (% of expense),0.6814179525454326
"Out-of-pocket expenditure per capita, PPP (current international $)",-0.6670125544546178
"Current health expenditure per capita, PPP (current international $)",-0.6293545414821204
"Industry (including construction), value added (% of GDP)",0.5651707556704337
Proportion of seats held by women in national parliaments (%),-0.5488242117391915
"Compulsory education, duration (years)",0.5176057479147178
Access to electricity (% of population),0.46446122328105266
Gross capital formation (% of GDP),-0.4255943029558494
"Government expenditure on education, total (% of government expenditure)",0.4235139986598683
Fixed broadband subscriptions (per 100 people),0.41921548398718106
"Labor force, total",-0.41401334328438577
"Government expenditure on education, total (% of GDP)",-0.3918382850292516
"Net intake rate in grade 1, female (% of official school-age population)",0.3792261717188444
"Services, value added (% of GDP)",0.3688712224466109
"Labor force, female (% of total labor force)",0.3376672573863343
"Personal remittances, received (current US$)",0.3247649808713851
"External health expenditure per capita, PPP (current international $)",0.3171746425954828
Population growth (annual %),-0.29208523685960835
Out-of-pocket expenditure (% of current health expenditure),0.27658141880799686
"School enrollment, secondary (% gross)",0.26190426911728615
Current health expenditure (% of GDP),0.25827467506654933
"Personal remittances, received (% of GDP)",0.23609135457453723
General government final consumption expenditure (% of GDP),0.23499766059188215
CPIA fiscal policy rating (1=low to 6=high),-0.2305367540068722
Goods and services expense (% of expense),0.21575685486720783
Fixed telephone subscriptions (per 100 people),-0.21322712641093056
GDP per capita growth (annual %),0.20875727119614498
"Net bilateral aid flows from DAC donors, Total (current US$)",-0.1976819184240885
Domestic credit to private sector (% of GDP),0.19760979709361984
GNI growth (annual %),-0.15332700929390686
"School enrollment, primary (% gross)",-0.14617059266859225
Armed forces personnel (% of total labor force),-0.1290817505748747
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.12794621196235886
Individuals using the Internet (% of population),0.12533265145761954
"Employment to population ratio, 15+, total (%) (national estimate)",-0.12368901095291264
Public and publicly guaranteed debt service (% of GNI),0.11606508684888601
Adjusted net national income per capita (annual % growth),0.11164077655684629
"Human capital index (HCI), upper bound (scale 0-1)",-0.10372388065896997
Domestic general government health expenditure (% of current health expenditure),-0.1020282119035928
Income share held by lowest 20%,-0.09397279713326065
Political Stability and Absence of Violence/Terrorism: Estimate,-0.07165575565353983
"School enrollment, tertiary (% gross)",-0.013103094620138788
"Inflation, consumer prices (annual %)",-0.01242962078064168
"Literacy rate, adult male (% of males ages 15 and above)",-0.0024411418656214517
Expense (% of GDP),0.0010973957345278185
