,coefficient
"Labor force, female (% of total labor force)",2.3392566385973788
Employment in industry (% of total employment) (modeled ILO estimate),2.083937826598126
Access to electricity (% of population),-2.053216644272429
"Armed forces personnel, total",1.6405754354281112
"Labor force, total",-1.0952470027417152
Out-of-pocket expenditure (% of current health expenditure),-1.0414115798719554
"Government expenditure on education, total (% of GDP)",0.8822889700561416
"Manufacturing, value added (% of GDP)",0.8672907393480251
"Population, female (% of total population)",0.8272611588675347
"Compulsory education, duration (years)",-0.7073608974623424
"External health expenditure per capita, PPP (current international $)",0.5116081320340822
Compensation of employees (% of expense),-0.38792414165439526
Armed forces personnel (% of total labor force),0.24240383634174067
GDP (current US$),-0.23097582972773315
Public and publicly guaranteed debt service (% of GNI),-0.21631916397493778
Population density (people per sq. km of land area),-0.19751231716184042
Employment in agriculture (% of total employment) (modeled ILO estimate),0.1951111047988473
Urban population (% of total population),-0.17977816283914355
Fixed telephone subscriptions (per 100 people),-0.14412188199523943
