,coefficient
Domestic general government health expenditure (% of GDP),3.2448665566076373
Current health expenditure (% of GDP),-2.683072148177966
"Agriculture, forestry, and fishing, value added (% of GDP)",2.4269954376575833
Domestic general government health expenditure (% of current health expenditure),-1.7729038526710634
"GDP per capita, PPP (current international $)",-1.3378224645263233
"Manufacturing, value added (% of GDP)",0.8534784749778727
GDP per capita (current US$),0.8156192089609485
Urban population (% of total population),0.7735846586842945
Compensation of employees (% of expense),-0.768550466588001
Final consumption expenditure (% of GDP),-0.7672457789227687
"Compulsory education, duration (years)",-0.7436138871356871
"Labor force, female (% of total labor force)",0.703263690225001
"Labor force, total",0.6621328232095721
Population density (people per sq. km of land area),-0.6153833904897087
Population ages 15-64 (% of total population),0.6023615985519246
Fixed broadband subscriptions (per 100 people),0.5512540444884091
External health expenditure (% of current health expenditure),-0.550632381005738
Population ages 65 and above (% of total population),-0.47284660191762645
Gross savings (% of GDP),0.4275190757776683
Political Stability and Absence of Violence/Terrorism: Estimate,0.4176035815106739
"Armed forces personnel, total",0.41470134755043975
"Personal remittances, received (% of GDP)",0.3986488619712652
"Agriculture, forestry, and fishing, value added (current US$)",-0.3963792191503886
Individuals using the Internet (% of population),-0.3912907930543712
Access to electricity (% of population),0.3881331370787188
"School enrollment, secondary (% gross)",0.3789546937749195
"Population, female (% of total population)",0.36070068708463215
"Employment to population ratio, 15+, total (%) (national estimate)",-0.35228055690992355
General government final consumption expenditure (% of GDP),0.35027262633840894
"Unemployment, total (% of total labor force) (national estimate)",-0.3149982998702443
"Government expenditure on education, total (% of government expenditure)",0.30421208290672613
Voice and Accountability: Estimate,-0.29311941174797146
Fixed telephone subscriptions (per 100 people),0.29128610890689255
Proportion of seats held by women in national parliaments (%),-0.2748664463935743
"Services, value added (% of GDP)",0.27403832609169143
"Out-of-pocket expenditure per capita, PPP (current international $)",0.26968955303993747
GNI growth (annual %),-0.26647855527261277
Rule of Law: Estimate,-0.24510248935178638
GDP per capita growth (annual %),0.22082383232295186
"Current health expenditure per capita, PPP (current international $)",0.21640744884852617
"Personal remittances, received (current US$)",0.19423179276822972
"External health expenditure per capita, PPP (current international $)",0.18794896353540463
"School enrollment, primary (% gross)",0.1879306145731614
Employment in industry (% of total employment) (modeled ILO estimate),0.18123655571097425
Out-of-pocket expenditure (% of current health expenditure),-0.18050594527497352
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.17098983118835903
Gross capital formation (% of GDP),0.13652885751020807
CPIA fiscal policy rating (1=low to 6=high),-0.1318169549290497
"Net bilateral aid flows from DAC donors, Total (current US$)",-0.12449846712510616
Employment in agriculture (% of total employment) (modeled ILO estimate),-0.11438348313049841
Domestic credit to private sector (% of GDP),-0.11261518608847705
Public and publicly guaranteed debt service (% of GNI),-0.09885161521462008
"School enrollment, tertiary (% gross)",0.08794852946058304
Goods and services expense (% of expense),-0.08465556069321867
"Net intake rate in grade 1, female (% of official school-age population)",0.07765945585576478
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",-0.07364399753543363
"Literacy rate, adult male (% of males ages 15 and above)",-0.06469888439826137
"Inflation, consumer prices (annual %)",-0.05533739348383365
Armed forces personnel (% of total labor force),-0.05340293858570312
Expense (% of GDP),0.05004974757988393
Adjusted net national income per capita (annual % growth),0.04761717539504549
Domestic general government health expenditure (% of general government expenditure),-0.039810314501669726
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",-0.03762610898345786
"Human capital index (HCI), upper bound (scale 0-1)",-0.024388053463375785
Income share held by lowest 20%,-0.02353270043636061
"Industry (including construction), value added (% of GDP)",-0.017494480221197584
Income share held by highest 10%,0.0050844120311714265
