,coefficient
"Labor force, female (% of total labor force)",0.8527266546535255
"Current health expenditure per capita, PPP (current international $)",-0.778774122661422
"GDP per capita, PPP (current international $)",-0.6595823730549815
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",-0.6002319874690865
Domestic general government health expenditure (% of GDP),0.5502321107252176
Urban population (% of total population),-0.5128971342148582
Domestic general government health expenditure (% of general government expenditure),-0.4806388337936035
Final consumption expenditure (% of GDP),0.4772914013547701
Rule of Law: Estimate,-0.4483908734718203
Population density (people per sq. km of land area),-0.4006954447760775
Population ages 15-64 (% of total population),0.35151858908923017
"Manufacturing, value added (% of GDP)",-0.35123607729790285
Armed forces personnel (% of total labor force),0.3375741675034463
Compensation of employees (% of expense),0.3158834113713757
"Net bilateral aid flows from DAC donors, Total (current US$)",-0.31586627314270804
"Industry (including construction), value added (% of GDP)",0.3120898135945981
"Compulsory education, duration (years)",-0.29189263464760645
Domestic credit to private sector (% of GDP),0.28423962497387856
"Out-of-pocket expenditure per capita, PPP (current international $)",-0.25357056165322506
"External health expenditure per capita, PPP (current international $)",0.24339422469598385
Fixed telephone subscriptions (per 100 people),-0.23249053991366045
Domestic general government health expenditure (% of current health expenditure),-0.22530320770702042
Current health expenditure (% of GDP),0.21908540097471718
Employment in agriculture (% of total employment) (modeled ILO estimate),-0.20728903975143387
"School enrollment, primary (% gross)",-0.20060704515412656
Population ages 65 and above (% of total population),-0.15207745614254817
Gross capital formation (% of GDP),-0.14748871526081056
Gross savings (% of GDP),0.1468688523406483
"Labor force, total",-0.126522141935125
External health expenditure (% of current health expenditure),-0.10592884416764649
Population growth (annual %),-0.09386341779211474
"Population, female (% of total population)",0.0849182583888023
"School enrollment, secondary (% gross)",-0.08295410103584343
CPIA macroeconomic management rating (1=low to 6=high),0.08004498948054535
Expense (% of GDP),0.07663372263127596
Fixed broadband subscriptions (per 100 people),0.07570748431730821
"Agriculture, forestry, and fishing, value added (% of GDP)",-0.06837334211656729
GDP per capita growth (annual %),0.0643794241140087
General government final consumption expenditure (% of GDP),-0.06245678685262881
"Personal remittances, received (current US$)",0.05154411619507406
"School enrollment, tertiary (% gross)",-0.05142837708501129
"Personal remittances, received (% of GDP)",0.046062506440532225
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",-0.04151647778053418
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",-0.041364938580146005
GDP (current US$),-0.04116161608938197
"Inflation, consumer prices (annual %)",-0.03870734357276686
Public and publicly guaranteed debt service (% of GNI),0.03255405655148603
"Government expenditure on education, total (% of GDP)",0.03230283816542185
Goods and services expense (% of expense),0.0222738396297274
"Unemployment, total (% of total labor force) (national estimate)",0.01937494654978044
Proportion of seats held by women in national parliaments (%),0.013076910295006778
"Net intake rate in grade 1, female (% of official school-age population)",-0.010815170427156948
Individuals using the Internet (% of population),-0.010712333432183916
"Literacy rate, adult male (% of males ages 15 and above)",-0.01035967250891913
Adjusted net national income per capita (annual % growth),-0.010234551037765716
"Human capital index (HCI), upper bound (scale 0-1)",-0.0002158770989371926
