,coefficient
"Labor force, total",2.559354401296682
Voice and Accountability: Estimate,-0.9708137303527218
Access to electricity (% of population),-0.9418753674458714
"Agriculture, forestry, and fishing, value added (% of GDP)",-0.8767242809602288
Population ages 65 and above (% of total population),0.8748894534676822
Employment in industry (% of total employment) (modeled ILO estimate),0.8005012503528708
Urban population (% of total population),-0.7956486031270879
GDP per capita (current US$),0.7765273473160588
"GDP per capita, PPP (current international $)",-0.7153174946772591
"Out-of-pocket expenditure per capita, PPP (current international $)",-0.705341092687262
"External health expenditure per capita, PPP (current international $)",0.5999948967611664
GDP (current US$),-0.5587359216145027
Out-of-pocket expenditure (% of current health expenditure),-0.5083646908833923
CPIA fiscal policy rating (1=low to 6=high),-0.5064870797770049
Population ages 15-64 (% of total population),-0.49898599107670594
Population density (people per sq. km of land area),-0.48335565149211746
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.45613907852893376
"Industry (including construction), value added (% of GDP)",-0.4499849883015808
"Net bilateral aid flows from DAC donors, Total (current US$)",-0.4464689524992549
Gross savings (% of GDP),-0.44322598091695814
"Government expenditure on education, total (% of government expenditure)",0.4080986134328699
"Population, female (% of total population)",0.4042772912788372
"Armed forces personnel, total",-0.3713060574011606
Rule of Law: Estimate,0.3643940352246128
"School enrollment, tertiary (% gross)",-0.33153542660437485
"Personal remittances, received (% of GDP)",0.33105623617071306
Employment in agriculture (% of total employment) (modeled ILO estimate),0.31320502322138116
"School enrollment, primary (% gross)",0.3022339202174248
"School enrollment, secondary (% gross)",0.295255825915665
Proportion of seats held by women in national parliaments (%),-0.2838952256134689
Gross savings (% of GNI),0.2772902380062655
Gross capital formation (% of GDP),-0.25994381412226664
Domestic general government health expenditure (% of current health expenditure),0.24139442457267618
Population growth (annual %),-0.23763909260290408
External health expenditure (% of current health expenditure),-0.21864400566887873
"Compulsory education, duration (years)",0.20396055821133968
GDP per capita growth (annual %),-0.20081723380146482
Final consumption expenditure (% of GDP),0.1977113624026965
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",-0.19229865706581473
"Human capital index (HCI), upper bound (scale 0-1)",-0.18929119538993155
CPIA macroeconomic management rating (1=low to 6=high),0.16638348728619104
Domestic general government health expenditure (% of general government expenditure),-0.15085180622985378
Armed forces personnel (% of total labor force),0.1450615402714428
Domestic credit to private sector (% of GDP),-0.14474251207441255
Adjusted net national income per capita (annual % growth),0.14051309911543014
"Inflation, consumer prices (annual %)",0.1367120197212526
Goods and services expense (% of expense),0.12769366281046132
Political Stability and Absence of Violence/Terrorism: Estimate,-0.12001456406973135
Compensation of employees (% of expense),-0.11351820555371464
Expense (% of GDP),0.10310818936851394
GNI growth (annual %),0.09207198134899919
Fixed broadband subscriptions (per 100 people),-0.085867889117982
Fixed telephone subscriptions (per 100 people),-0.07441922123475288
"Labor force, female (% of total labor force)",-0.07414875263417098
"Employment to population ratio, 15+, total (%) (national estimate)",0.05321945930346757
Income share held by highest 10%,-0.049848955331702936
"Government expenditure on education, total (% of GDP)",0.03832515602168474
"Services, value added (% of GDP)",-0.03815528254836744
"Net intake rate in grade 1, female (% of official school-age population)",-0.03732281137666934
"Literacy rate, adult male (% of males ages 15 and above)",-0.03490925404518907
General government final consumption expenditure (% of GDP),0.029690016762074917
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",-0.023695721625648366
Domestic general government health expenditure (% of GDP),0.012349011780670377
"Agriculture, forestry, and fishing, value added (current US$)",-0.004473395212295085
Individuals using the Internet (% of population),0.002104414550132916
