,coefficient
"Labor force, total",2.3878516205429237
"Domestic private health expenditure per capita, PPP (current international $)",1.2545374883583655
"Agriculture, forestry, and fishing, value added (current US$)",-1.1654452754133937
Political Stability and Absence of Violence/Terrorism: Estimate,0.8214648302171789
"Out-of-pocket expenditure per capita, PPP (current international $)",-0.814340000359023
"Armed forces personnel, total",-0.6940471156443109
"GDP per capita, PPP (current international $)",0.6661377927452085
Rule of Law: Estimate,-0.6557477378585231
"Industry (including construction), value added (% of GDP)",-0.5667821573523973
Individuals using the Internet (% of population),-0.527875729094128
General government final consumption expenditure (% of GDP),0.5204600184544275
"Labor force, female (% of total labor force)",0.5096233525460745
Population density (people per sq. km of land area),-0.4820704354615801
Domestic general government health expenditure (% of current health expenditure),0.45188795322202735
Income share held by lowest 20%,0.444524677958798
Access to electricity (% of population),0.43801517909835175
GDP per capita (current US$),-0.40061033026828907
Current health expenditure (% of GDP),-0.3897004229584079
"Manufacturing, value added (% of GDP)",0.3808012922714189
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",-0.3675797302883362
"Services, value added (% of GDP)",-0.3619168529053245
"School enrollment, secondary (% gross)",-0.35269387624820436
"External health expenditure per capita, PPP (current international $)",0.3366708479755957
Population ages 0-14 (% of total population),0.32473827600723
Domestic general government health expenditure (% of general government expenditure),0.31256658852757907
"Population, female (% of total population)",0.2963644318156819
Public and publicly guaranteed debt service (% of GNI),-0.29327655223824567
"Compulsory education, duration (years)",-0.289429216987769
"Inflation, consumer prices (annual %)",0.2819340404957849
Compensation of employees (% of expense),-0.27986517390655624
"Personal remittances, received (% of GDP)",-0.24561988498372164
Voice and Accountability: Estimate,0.20637062596689246
CPIA macroeconomic management rating (1=low to 6=high),-0.19812717484876755
Out-of-pocket expenditure (% of current health expenditure),-0.19121245447153878
"Government expenditure on education, total (% of government expenditure)",-0.19038649307210356
Gross capital formation (% of GDP),0.18516552700039376
"Personal remittances, received (current US$)",-0.1788075677489314
"Current health expenditure per capita, PPP (current international $)",-0.17326144404241953
Domestic credit to private sector (% of GDP),0.17068733884915077
Fixed broadband subscriptions (per 100 people),-0.17055424939854433
"School enrollment, primary (% gross)",-0.16331932349965947
Proportion of seats held by women in national parliaments (%),0.16276359406720167
"School enrollment, tertiary (% gross)",-0.13478332647339264
GDP per capita growth (annual %),-0.13184203436264225
GNI growth (annual %),0.11485402098185905
External health expenditure (% of current health expenditure),-0.09811788974588037
Armed forces personnel (% of total labor force),-0.089176604660684
Goods and services expense (% of expense),0.082427826377197
Adjusted net national income per capita (annual % growth),0.062351509430418055
Final consumption expenditure (% of GDP),0.060362476540856275
"Unemployment, total (% of total labor force) (national estimate)",-0.05145131729140598
"Literacy rate, adult male (% of males ages 15 and above)",0.04576548340292756
Employment in agriculture (% of total employment) (modeled ILO estimate),-0.04238076281068065
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",-0.04076546695834693
Employment in industry (% of total employment) (modeled ILO estimate),0.03769632130295408
"Net bilateral aid flows from DAC donors, Total (current US$)",0.025203223508868722
Population ages 65 and above (% of total population),-0.016684013807854982
"Human capital index (HCI), upper bound (scale 0-1)",-0.008142607685016356
