,coefficient
Access to electricity (% of population),-1.1354128208850933
"Labor force, total",0.9737533766232447
"Agriculture, forestry, and fishing, value added (current US$)",-0.8070311132546376
"Services, value added (% of GDP)",-0.670135683819701
Employment in industry (% of total employment) (modeled ILO estimate),0.6669192946252966
Out-of-pocket expenditure (% of current health expenditure),-0.557612201553949
"Industry (including construction), value added (% of GDP)",-0.4805299221911097
GDP per capita (current US$),0.43113907395092216
"Compulsory education, duration (years)",-0.42299479576550575
Gross savings (% of GNI),0.40395639048509596
"Manufacturing, value added (% of GDP)",0.3935838054526654
"Labor force, female (% of total labor force)",0.38753900707219846
Gross savings (% of GDP),-0.386549204983031
"Government expenditure on education, total (% of GDP)",0.3777741802097611
"Population, female (% of total population)",0.3775125171779527
Population ages 0-14 (% of total population),0.3617241403217183
Compensation of employees (% of expense),-0.3615380702077067
"Armed forces personnel, total",0.3416072779323521
"External health expenditure per capita, PPP (current international $)",0.32030390412347526
CPIA fiscal policy rating (1=low to 6=high),-0.31968124732986747
"Personal remittances, received (% of GDP)",0.2664289567834453
"GDP per capita, PPP (current international $)",-0.26590325935905657
General government final consumption expenditure (% of GDP),0.25525699732619944
"Net bilateral aid flows from DAC donors, Total (current US$)",-0.24597053153859208
Expense (% of GDP),-0.23595942550354226
"Personal remittances, received (current US$)",0.23387503492516645
Fixed telephone subscriptions (per 100 people),0.21609956789354715
Employment in agriculture (% of total employment) (modeled ILO estimate),0.19565232519709166
Individuals using the Internet (% of population),-0.18607015575694136
Public and publicly guaranteed debt service (% of GNI),-0.18465482235496244
Rule of Law: Estimate,-0.18057109864916773
Population growth (annual %),-0.17891828382630912
Political Stability and Absence of Violence/Terrorism: Estimate,0.17850623821994097
Domestic credit to private sector (% of GDP),0.17592171834488038
Current health expenditure (% of GDP),-0.17381257152183865
"Current health expenditure per capita, PPP (current international $)",0.16936061238131112
Armed forces personnel (% of total labor force),0.1576434238054099
Goods and services expense (% of expense),0.15044249804798276
"School enrollment, secondary (% gross)",0.14590517876117542
"Agriculture, forestry, and fishing, value added (% of GDP)",-0.1377015904063565
"School enrollment, tertiary (% gross)",0.10970021664970112
"Domestic private health expenditure per capita, PPP (current international $)",0.09592300394919615
Income share held by highest 10%,-0.09382433292235001
"Out-of-pocket expenditure per capita, PPP (current international $)",0.0910263911838501
"School enrollment, primary (% gross)",-0.0901493117503791
"Government expenditure on education, total (% of government expenditure)",0.08610840297428267
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",-0.08086596407995406
Income share held by lowest 20%,0.07865428543581975
"Human capital index (HCI), upper bound (scale 0-1)",-0.06977106214011926
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",-0.05967058109868422
External health expenditure (% of current health expenditure),-0.05909469213121746
"Unemployment, total (% of total labor force) (national estimate)",-0.05636830482322194
Domestic general government health expenditure (% of general government expenditure),0.05545315529140778
GDP (current US$),-0.05458101667328089
Population ages 15-64 (% of total population),-0.050258919172993584
Proportion of seats held by women in national parliaments (%),0.047742033385043674
Urban population (% of total population),0.046772521042990574
Gross capital formation (% of GDP),-0.04626217620988712
Adjusted net national income per capita (annual % growth),0.03680434080972275
CPIA macroeconomic management rating (1=low to 6=high),0.03252926101485289
Domestic general government health expenditure (% of current health expenditure),-0.024345668465381453
GNI growth (annual %),-0.021734936477989297
"Inflation, consumer prices (annual %)",0.021701897788471924
GDP per capita growth (annual %),0.018817593268926538
"Net intake rate in grade 1, female (% of official school-age population)",-0.015337824994517132
Voice and Accountability: Estimate,-0.005739098316634442
"Literacy rate, adult male (% of males ages 15 and above)",0.001814481121332419
