,coefficient
"Agriculture, forestry, and fishing, value added (current US$)",-4.291200496748349
"Labor force, total",2.636094883897923
GDP (current US$),2.4682586305114085
"Current health expenditure per capita, PPP (current international $)",-2.175806251232656
"Out-of-pocket expenditure per capita, PPP (current international $)",2.137935483216909
"Industry (including construction), value added (% of GDP)",-1.8578843773747618
Fixed broadband subscriptions (per 100 people),1.3865589777459513
"GDP per capita, PPP (current international $)",-1.3855105537244903
Employment in industry (% of total employment) (modeled ILO estimate),-1.2922851861359552
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",1.1650261968368936
Domestic general government health expenditure (% of current health expenditure),1.152396207205892
Access to electricity (% of population),1.06118628179155
External health expenditure (% of current health expenditure),1.0098695679847716
Current health expenditure (% of GDP),1.0057274398130904
Employment in agriculture (% of total employment) (modeled ILO estimate),-0.9953441207338433
Domestic general government health expenditure (% of GDP),-0.9742727667000917
"Domestic private health expenditure per capita, PPP (current international $)",-0.8824953710055425
Final consumption expenditure (% of GDP),-0.8336439054821312
Fixed telephone subscriptions (per 100 people),0.7531285156829607
Population ages 65 and above (% of total population),-0.7466258183554706
"School enrollment, tertiary (% gross)",0.734417375184424
Armed forces personnel (% of total labor force),0.6572279967465718
Political Stability and Absence of Violence/Terrorism: Estimate,0.6311399757312701
"Armed forces personnel, total",0.6091046683830055
"Services, value added (% of GDP)",-0.5837641506217282
"External health expenditure per capita, PPP (current international $)",-0.5243753423224072
Population density (people per sq. km of land area),-0.45199961060563715
Individuals using the Internet (% of population),-0.4439117837160695
Voice and Accountability: Estimate,0.40543492462680486
Domestic general government health expenditure (% of general government expenditure),0.3675089370604657
Proportion of seats held by women in national parliaments (%),-0.35431169386922906
"Manufacturing, value added (% of GDP)",0.3541603007817621
"Government expenditure on education, total (% of GDP)",0.3314619818396588
General government final consumption expenditure (% of GDP),0.30810262513487785
Population ages 0-14 (% of total population),0.2996609008306238
Population growth (annual %),-0.29516006774139275
Gross savings (% of GDP),-0.23830471372817327
GDP per capita growth (annual %),-0.21824720749601878
"Agriculture, forestry, and fishing, value added (% of GDP)",-0.204066934355096
Domestic credit to private sector (% of GDP),0.20054109935629202
Compensation of employees (% of expense),-0.17893118125128157
CPIA macroeconomic management rating (1=low to 6=high),0.17205083411390462
"School enrollment, primary (% gross)",0.17175970899249587
Expense (% of GDP),-0.17098376324679865
"Labor force, female (% of total labor force)",-0.16609847154164054
Rule of Law: Estimate,0.15259891381522325
Urban population (% of total population),0.1473922821042386
Goods and services expense (% of expense),0.11617447165179651
Gross savings (% of GNI),0.1150732603238884
"Employment to population ratio, 15+, total (%) (national estimate)",-0.10586081207550968
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.10515665637638252
"Personal remittances, received (% of GDP)",-0.09514983129331045
"Inflation, consumer prices (annual %)",0.08502975434960187
Public and publicly guaranteed debt service (% of GNI),-0.07936949601346446
"Unemployment, total (% of total labor force) (national estimate)",0.07104189044851182
"School enrollment, secondary (% gross)",-0.07018875496678714
"Net bilateral aid flows from DAC donors, Total (current US$)",0.06962925840413939
Gross capital formation (% of GDP),0.06844563697930776
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",0.06776343284820173
"Compulsory education, duration (years)",-0.05110904230221958
Income share held by highest 10%,-0.049260836393681236
"Population, female (% of total population)",0.046427453055895844
"Human capital index (HCI), upper bound (scale 0-1)",-0.03408316385567009
"Government expenditure on education, total (% of government expenditure)",-0.0332162677793733
"Personal remittances, received (current US$)",-0.012488531482395522
Adjusted net national income per capita (annual % growth),-0.01170179213910658
GNI growth (annual %),0.008524313093361007
"Net intake rate in grade 1, female (% of official school-age population)",0.001751329135413426
